,artist,region,n,year,Rank
2340,Ed Sheeran,Thailand,24,2017,1
2341,BTS,Thailand,22,2017,2
2342,Taylor Swift,Thailand,19,2017,3
2343,EXO,Thailand,13,2017,4
2344,Wanna One,Thailand,13,2017,5
2345,Sam Smith,Thailand,12,2017,6
2346,OneRepublic,Thailand,10,2017,7
2347,Atom Chanakan,Thailand,9,2017,8
2348,TAEYEON,Thailand,7,2017,9
2349,Maroon 5,Thailand,7,2017,10
2350,Taylor Swift,United Kingdom,74,2021,1
2351,Adele,United Kingdom,30,2021,2
2352,Kanye West,United Kingdom,29,2021,3
2353,Polo G,United Kingdom,27,2021,4
2354,Drake,United Kingdom,26,2021,5
2355,Billie Eilish,United Kingdom,25,2021,6
2356,Pop Smoke,United Kingdom,25,2021,7
2357,Ed Sheeran,United Kingdom,25,2021,8
2358,Fredo,United Kingdom,23,2021,9
2359,Summer Walker,United Kingdom,19,2021,10
2360,Future,United States,43,2017,1
2361,Linkin Park,United States,28,2017,2
2362,Lil Uzi Vert,United States,26,2017,3
2363,Taylor Swift,United States,25,2017,4
2364,Ed Sheeran,United States,25,2017,5
2365,Drake,United States,24,2017,6
2366,Bryson Tiller,United States,23,2017,7
2367,Eminem,United States,20,2017,8
2368,Gucci Mane,United States,19,2017,9
2369,DJ Khaled,United States,18,2017,10
2370,Taylor Swift,United States,88,2021,1
2371,Kanye West,United States,35,2021,2
2372,Polo G,United States,34,2021,3
2373,Morgan Wallen,United States,34,2021,4
2374,Juice WRLD,United States,32,2021,5
2375,Drake,United States,27,2021,6
2376,Adele,United States,25,2021,7
2377,Pop Smoke,United States,24,2021,8
2378,Billie Eilish,United States,23,2021,9
2379,Justin Bieber,United States,21,2021,10
2380,Ed Sheeran,Uruguay,21,2017,1
2381,No Te Va Gustar,Uruguay,17,2017,2
2382,Marama,Uruguay,13,2017,3
2383,Ozuna,Uruguay,12,2017,4
2384,#TocoParaVos,Uruguay,12,2017,5
2385,Rombai,Uruguay,12,2017,6
2386,El Cuarteto De Nos,Uruguay,12,2017,7
2387,Maluma,Uruguay,10,2017,8
2388,BTS,Uruguay,10,2017,9
2389,Harry Styles,Uruguay,10,2017,10
2390,Morat,Uruguay,23,2018,1
2391,BTS,Uruguay,21,2018,2
2392,La Vela Puerca,Uruguay,19,2018,3
2393,Ariana Grande,Uruguay,18,2018,4
2394,Bad Bunny,Uruguay,17,2018,5
2395,Arctic Monkeys,Uruguay,11,2018,6
2396,Shawn Mendes,Uruguay,11,2018,7
2397,Paulo Londra,Uruguay,10,2018,8
2398,XXXTENTACION,Uruguay,10,2018,9
2399,Drake,Uruguay,10,2018,10
2400,BTS,Vietnam,64,2020,1
2401,Taylor Swift,Vietnam,42,2020,2
2402,RAP VIỆT,Vietnam,40,2020,3
2403,Ariana Grande,Vietnam,20,2020,4
2404,Sơn Tùng M-TP,Vietnam,19,2020,5
2405,BLACKPINK,Vietnam,18,2020,6
2406,Selena Gomez,Vietnam,17,2020,7
2407,NCT 127,Vietnam,16,2020,8
2408,Lady Gaga,Vietnam,16,2020,9
2409,Justin Bieber,Vietnam,15,2020,10
2410,Ed Sheeran,Argentina,20,2019,1
2411,Paulo Londra,Argentina,18,2019,2
2412,Ariana Grande,Argentina,17,2019,3
2413,Billie Eilish,Argentina,16,2019,4
2414,YSY A,Argentina,16,2019,5
2415,DJ Alex,Argentina,15,2019,6
2416,Duki,Argentina,14,2019,7
2417,Ozuna,Argentina,12,2019,8
2418,Harry Styles,Argentina,12,2019,9
2419,WOS,Argentina,11,2019,10
2420,One Direction,Argentina,27,2020,1
2421,Bad Bunny,Argentina,27,2020,2
2422,Taylor Swift,Argentina,25,2020,3
2423,BTS,Argentina,25,2020,4
2424,Ariana Grande,Argentina,17,2020,5
2425,Fer Palacio,Argentina,17,2020,6
2426,Lady Gaga,Argentina,15,2020,7
2427,DJ Alex,Argentina,14,2020,8
2428,Dua Lipa,Argentina,13,2020,9
2429,WOS,Argentina,11,2020,10
2430,Taylor Swift,Argentina,24,2021,1
2431,WOS,Argentina,13,2021,2
2432,Billie Eilish,Argentina,13,2021,3
2433,Duki,Argentina,12,2021,4
2434,Olivia Rodrigo,Argentina,11,2021,5
2435,Fer Palacio,Argentina,11,2021,6
2436,Maria Becerra,Argentina,11,2021,7
2437,Rauw Alejandro,Argentina,10,2021,8
2438,ZAYN,Argentina,9,2021,9
2439,Justin Bieber,Argentina,9,2021,10
2440,Ed Sheeran,Belgium,35,2017,1
2441,Lacrim,Belgium,23,2017,2
2442,Linkin Park,Belgium,22,2017,3
2443,Coldplay,Belgium,20,2017,4
2444,Eminem,Belgium,19,2017,5
2445,Drake,Belgium,18,2017,6
2446,Sam Smith,Belgium,17,2017,7
2447,Lil Kleine,Belgium,16,2017,8
2448,Kendrick Lamar,Belgium,15,2017,9
2449,Gorillaz,Belgium,15,2017,10
2450,XXXTENTACION,Belgium,44,2018,1
2451,Damso,Belgium,29,2018,2
2452,Drake,Belgium,25,2018,3
2453,Ariana Grande,Belgium,20,2018,4
2454,Post Malone,Belgium,20,2018,5
2455,Avicii,Belgium,20,2018,6
2456,Travis Scott,Belgium,19,2018,7
2457,Vald,Belgium,19,2018,8
2458,Shawn Mendes,Belgium,18,2018,9
2459,A$AP Rocky,Belgium,17,2018,10
2460,Ed Sheeran,Brazil,21,2017,1
2461,Linkin Park,Brazil,20,2017,2
2462,Henrique & Juliano,Brazil,18,2017,3
2463,Matheus & Kauan,Brazil,16,2017,4
2464,Wesley Safadão,Brazil,16,2017,5
2465,Marília Mendonça,Brazil,15,2017,6
2466,Lana Del Rey,Brazil,15,2017,7
2467,Jorge & Mateus,Brazil,13,2017,8
2468,Kendrick Lamar,Brazil,12,2017,9
2469,Lorde,Brazil,11,2017,10
2470,Drake,Bulgaria,23,2018,1
2471,Travis Scott,Bulgaria,17,2018,2
2472,XXXTENTACION,Bulgaria,14,2018,3
2473,21 Savage,Bulgaria,14,2018,4
2474,Quavo,Bulgaria,12,2018,5
2475,Twenty One Pilots,Bulgaria,8,2018,6
2476,Metro Boomin,Bulgaria,8,2018,7
2477,Eminem,Bulgaria,7,2018,8
2478,V:RGO,Bulgaria,7,2018,9
2479,Ariana Grande,Bulgaria,6,2018,10
2480,Ariana Grande,Bulgaria,22,2019,1
2481,Ed Sheeran,Bulgaria,16,2019,2
2482,Billie Eilish,Bulgaria,16,2019,3
2483,Post Malone,Bulgaria,16,2019,4
2484,SAMMY & LESEN,Bulgaria,15,2019,5
2485,Secta,Bulgaria,14,2019,6
2486,Taylor Swift,Bulgaria,14,2019,7
2487,Offset,Bulgaria,12,2019,8
2488,Harry Styles,Bulgaria,12,2019,9
2489,Boro Purvi,Bulgaria,12,2019,10
2490,Future,Canada,33,2017,1
2491,Ed Sheeran,Canada,29,2017,2
2492,The Tragically Hip,Canada,28,2017,3
2493,Linkin Park,Canada,26,2017,4
2494,Lil Uzi Vert,Canada,22,2017,5
2495,Drake,Canada,22,2017,6
2496,Eminem,Canada,21,2017,7
2497,Bryson Tiller,Canada,20,2017,8
2498,Sam Smith,Canada,18,2017,9
2499,DJ Khaled,Canada,17,2017,10
2500,Pop Smoke,Canada,41,2020,1
2501,Taylor Swift,Canada,38,2020,2
2502,Lil Uzi Vert,Canada,37,2020,3
2503,Eminem,Canada,33,2020,4
2504,Juice WRLD,Canada,28,2020,5
2505,NAV,Canada,26,2020,6
2506,Lil Baby,Canada,25,2020,7
2507,BTS,Canada,24,2020,8
2508,Tory Lanez,Canada,24,2020,9
2509,DaBaby,Canada,23,2020,10
2510,Mon Laferte,Chile,24,2017,1
2511,Ed Sheeran,Chile,20,2017,2
2512,Bruno Mars,Chile,15,2017,3
2513,Maluma,Chile,14,2017,4
2514,Linkin Park,Chile,13,2017,5
2515,Yandel,Chile,12,2017,6
2516,Ozuna,Chile,12,2017,7
2517,"Roberto Parra, Angel Parra",Chile,12,2017,8
2518,Michael Bublé,Chile,12,2017,9
2519,Noche de Brujas,Chile,11,2017,10
2520,Maihuen de los Angeles,Chile,32,2019,1
2521,Paulo Londra,Chile,18,2019,2
2522,Bad Bunny,Chile,18,2019,3
2523,Cami,Chile,16,2019,4
2524,Ariana Grande,Chile,15,2019,5
2525,Backstreet Boys,Chile,14,2019,6
2526,Los Prisioneros,Chile,13,2019,7
2527,Luis Miguel,Chile,13,2019,8
2528,Ozuna,Chile,12,2019,9
2529,Ed Sheeran,Chile,12,2019,10
2530,Maihuen de los Angeles,Chile,33,2020,1
2531,Bad Bunny,Chile,30,2020,2
2532,BTS,Chile,25,2020,3
2533,Myke Towers,Chile,21,2020,4
2534,Ariana Grande,Chile,17,2020,5
2535,Lady Gaga,Chile,15,2020,6
2536,Anuel AA,Chile,14,2020,7
2537,One Direction,Chile,14,2020,8
2538,Ozuna,Chile,14,2020,9
2539,Los Hermanos Campos,Chile,13,2020,10
2540,Bad Bunny,Colombia,29,2020,1
2541,BTS,Colombia,26,2020,2
2542,"RBD, Anahí, Dulce María, Maite Perroni, Christian Chávez, Christopher von Uckermann, Alfonso Herrera",Colombia,23,2020,3
2543,Maluma,Colombia,23,2020,4
2544,Silvestre Dangond,Colombia,21,2020,5
2545,Taylor Swift,Colombia,18,2020,6
2546,Ariana Grande,Colombia,17,2020,7
2547,Dua Lipa,Colombia,15,2020,8
2548,Feid,Colombia,15,2020,9
2549,Lady Gaga,Colombia,15,2020,10
2550,Ed Sheeran,Costa Rica,31,2017,1
2551,Linkin Park,Costa Rica,22,2017,2
2552,Bruno Mars,Costa Rica,21,2017,3
2553,Justin Bieber,Costa Rica,15,2017,4
2554,Kendrick Lamar,Costa Rica,11,2017,5
2555,Drake,Costa Rica,10,2017,6
2556,Ozuna,Costa Rica,10,2017,7
2557,Coldplay,Costa Rica,8,2017,8
2558,BTS,Costa Rica,8,2017,9
2559,Sam Smith,Costa Rica,7,2017,10
2560,XXXTENTACION,Costa Rica,26,2018,1
2561,Drake,Costa Rica,21,2018,2
2562,Pink Floyd,Costa Rica,19,2018,3
2563,Bad Bunny,Costa Rica,19,2018,4
2564,Ariana Grande,Costa Rica,18,2018,5
2565,The Killers,Costa Rica,18,2018,6
2566,BTS,Costa Rica,18,2018,7
2567,Ozuna,Costa Rica,17,2018,8
2568,Travis Scott,Costa Rica,17,2018,9
2569,Post Malone,Costa Rica,17,2018,10
2570,Luis Miguel,Costa Rica,20,2019,1
2571,Ariana Grande,Costa Rica,20,2019,2
2572,TOOL,Costa Rica,20,2019,3
2573,Paulo Londra,Costa Rica,18,2019,4
2574,Foo Fighters,Costa Rica,18,2019,5
2575,Billie Eilish,Costa Rica,17,2019,6
2576,Ed Sheeran,Costa Rica,15,2019,7
2577,Post Malone,Costa Rica,15,2019,8
2578,Slipknot,Costa Rica,15,2019,9
2579,Taylor Swift,Costa Rica,14,2019,10
2580,XXXTENTACION,Czech Republic,39,2018,1
2581,Imagine Dragons,Czech Republic,33,2018,2
2582,Avicii,Czech Republic,30,2018,3
2583,Dětský sbor Camerata,Czech Republic,30,2018,4
2584,Post Malone,Czech Republic,21,2018,5
2585,Queen,Czech Republic,20,2018,6
2586,Ariana Grande,Czech Republic,20,2018,7
2587,Twenty One Pilots,Czech Republic,18,2018,8
2588,Travis Scott,Czech Republic,18,2018,9
2589,Shawn Mendes,Czech Republic,18,2018,10
2590,Ed Sheeran,Czech Republic,43,2019,1
2591,Bambini Di Praga,Czech Republic,36,2019,2
2592,Karel Gott,Czech Republic,34,2019,3
2593,Dětský sbor Camerata,Czech Republic,26,2019,4
2594,Yzomandias,Czech Republic,24,2019,5
2595,Billie Eilish,Czech Republic,22,2019,6
2596,Ariana Grande,Czech Republic,20,2019,7
2597,Post Malone,Czech Republic,19,2019,8
2598,Dorian,Czech Republic,16,2019,9
2599,MC Gey,Czech Republic,16,2019,10
2600,Ed Sheeran,Ecuador,20,2017,1
2601,Linkin Park,Ecuador,13,2017,2
2602,Ozuna,Ecuador,12,2017,3
2603,Bruno Mars,Ecuador,11,2017,4
2604,La Máquina Camaleón,Ecuador,11,2017,5
2605,Nicky Jam,Ecuador,10,2017,6
2606,BTS,Ecuador,10,2017,7
2607,Yandel,Ecuador,9,2017,8
2608,Maluma,Ecuador,9,2017,9
2609,CNCO,Ecuador,9,2017,10
2610,Bad Bunny,Ecuador,19,2018,1
2611,BTS,Ecuador,18,2018,2
2612,Morat,Ecuador,16,2018,3
2613,Queen,Ecuador,15,2018,4
2614,XXXTENTACION,Ecuador,13,2018,5
2615,Luis Miguel,Ecuador,13,2018,6
2616,Maluma,Ecuador,12,2018,7
2617,Maroon 5,Ecuador,11,2018,8
2618,Avicii,Ecuador,11,2018,9
2619,Drake,Ecuador,10,2018,10
2620,BTS,Egypt,45,2020,1
2621,Eminem,Egypt,32,2020,2
2622,Amr Diab,Egypt,24,2020,3
2623,Wegz,Egypt,23,2020,4
2624,Taylor Swift,Egypt,20,2020,5
2625,The Weeknd,Egypt,18,2020,6
2626,Ariana Grande,Egypt,17,2020,7
2627,Abyusif,Egypt,16,2020,8
2628,Juice WRLD,Egypt,16,2020,9
2629,Kid Cudi,Egypt,13,2020,10
2630,Ed Sheeran,El Salvador,20,2017,1
2631,Linkin Park,El Salvador,14,2017,2
2632,Ozuna,El Salvador,10,2017,3
2633,BTS,El Salvador,8,2017,4
2634,La Sonora Dinamita,El Salvador,7,2017,5
2635,Los Hermanos Flores,El Salvador,6,2017,6
2636,Aniceto Molina,El Salvador,5,2017,7
2637,Major Lazer,El Salvador,5,2017,8
2638,Ricardo Arjona,El Salvador,5,2017,9
2639,Bad Bunny,El Salvador,5,2017,10
2640,Paulo Londra,El Salvador,18,2019,1
2641,Morat,El Salvador,18,2019,2
2642,Ariana Grande,El Salvador,17,2019,3
2643,Taylor Swift,El Salvador,16,2019,4
2644,Bad Bunny,El Salvador,15,2019,5
2645,José José,El Salvador,12,2019,6
2646,Luis Miguel,El Salvador,12,2019,7
2647,Ed Sheeran,El Salvador,12,2019,8
2648,Billie Eilish,El Salvador,12,2019,9
2649,Ozuna,El Salvador,11,2019,10
2650,Ed Sheeran,Estonia,18,2017,1
2651,Kendrick Lamar,Estonia,15,2017,2
2652,Eminem,Estonia,14,2017,3
2653,Linkin Park,Estonia,13,2017,4
2654,Drake,Estonia,10,2017,5
2655,Michael Bublé,Estonia,10,2017,6
2656,Sam Smith,Estonia,8,2017,7
2657,Bing Crosby,Estonia,8,2017,8
2658,Reket,Estonia,7,2017,9
2659,Imagine Dragons,Estonia,5,2017,10
2660,XXXTENTACION,Estonia,38,2018,1
2661,Post Malone,Estonia,21,2018,2
2662,Drake,Estonia,21,2018,3
2663,Ariana Grande,Estonia,17,2018,4
2664,Travis Scott,Estonia,16,2018,5
2665,Avicii,Estonia,15,2018,6
2666,Twenty One Pilots,Estonia,15,2018,7
2667,Reket,Estonia,14,2018,8
2668,Lil Peep,Estonia,13,2018,9
2669,Eminem,Estonia,13,2018,10
2670,Cheek,Finland,38,2018,1
2671,XXXTENTACION,Finland,36,2018,2
2672,Drake,Finland,22,2018,3
2673,Post Malone,Finland,21,2018,4
2674,Ariana Grande,Finland,20,2018,5
2675,Travis Scott,Finland,19,2018,6
2676,$uicideboy$,Finland,18,2018,7
2677,Avicii,Finland,18,2018,8
2678,Twenty One Pilots,Finland,16,2018,9
2679,Eminem,Finland,16,2018,10
2680,Jul,France,40,2020,1
2681,Ninho,France,32,2020,2
2682,Timal,France,27,2020,3
2683,Josman,France,24,2020,4
2684,Leto,France,23,2020,5
2685,PLK,France,23,2020,6
2686,DA Uzi,France,22,2020,7
2687,Damso,France,22,2020,8
2688,Pop Smoke,France,21,2020,9
2689,GIMS,France,20,2020,10
2690,Jul,France,45,2021,1
2691,Naps,France,28,2021,2
2692,Kanye West,France,27,2021,3
2693,Damso,France,26,2021,4
2694,Ziak,France,25,2021,5
2695,SCH,France,25,2021,6
2696,Djadja & Dinaz,France,24,2021,7
2697,Leto,France,23,2021,8
2698,Hatik,France,22,2021,9
2699,Pop Smoke,France,22,2021,10
2700,Linkin Park,Germany,32,2017,1
2701,Ed Sheeran,Germany,26,2017,2
2702,"KC Rebell, Summer Cem",Germany,21,2017,3
2703,Eminem,Germany,20,2017,4
2704,Ufo361,Germany,19,2017,5
2705,Capo,Germany,17,2017,6
2706,Kontra K,Germany,17,2017,7
2707,SpongeBOZZ,Germany,17,2017,8
2708,RAF Camora,Germany,16,2017,9
2709,Michael Bublé,Germany,16,2017,10
2710,Capital Bra,Germany,25,2019,1
2711,Kontra K,Germany,22,2019,2
2712,MERO,Germany,21,2019,3
2713,Shindy,Germany,20,2019,4
2714,Ariana Grande,Germany,19,2019,5
2715,RAF Camora,Germany,18,2019,6
2716,Post Malone,Germany,18,2019,7
2717,Kollegah,Germany,18,2019,8
2718,Luciano,Germany,18,2019,9
2719,Summer Cem,Germany,17,2019,10
2720,Apache 207,Germany,25,2020,1
2721,Die drei ???,Germany,25,2020,2
2722,Samra,Germany,25,2020,3
2723,Luciano,Germany,24,2020,4
2724,Kontra K,Germany,24,2020,5
2725,Juice WRLD,Germany,22,2020,6
2726,Eminem,Germany,20,2020,7
2727,Farid Bang,Germany,20,2020,8
2728,Bonez MC,Germany,20,2020,9
2729,Ariana Grande,Germany,18,2020,10
2730,Juice WRLD,Global,29,2019,1
2731,Ariana Grande,Global,24,2019,2
2732,Drake,Global,23,2019,3
2733,Taylor Swift,Global,22,2019,4
2734,Billie Eilish,Global,22,2019,5
2735,Khalid,Global,21,2019,6
2736,Ed Sheeran,Global,20,2019,7
2737,Post Malone,Global,20,2019,8
2738,Jonas Brothers,Global,16,2019,9
2739,PNL,Global,16,2019,10
2740,Taylor Swift,Global,71,2021,1
2741,Kanye West,Global,28,2021,2
2742,Juice WRLD,Global,26,2021,3
2743,Adele,Global,25,2021,4
2744,Drake,Global,24,2021,5
2745,Polo G,Global,24,2021,6
2746,Pop Smoke,Global,24,2021,7
2747,Billie Eilish,Global,23,2021,8
2748,Ed Sheeran,Global,20,2021,9
2749,Justin Bieber,Global,19,2021,10
2750,XXXTENTACION,Greece,41,2018,1
2751,BTS,Greece,26,2018,2
2752,Drake,Greece,24,2018,3
2753,Ariana Grande,Greece,22,2018,4
2754,Post Malone,Greece,20,2018,5
2755,Travis Scott,Greece,20,2018,6
2756,Migos,Greece,19,2018,7
2757,A$AP Rocky,Greece,18,2018,8
2758,Shawn Mendes,Greece,17,2018,9
2759,Arctic Monkeys,Greece,17,2018,10
2760,Ariana Grande,Greece,26,2019,1
2761,Billie Eilish,Greece,24,2019,2
2762,Saske,Greece,24,2019,3
2763,Post Malone,Greece,20,2019,4
2764,Taylor Swift,Greece,19,2019,5
2765,Ed Sheeran,Greece,16,2019,6
2766,Bloody Hawk,Greece,15,2019,7
2767,Lana Del Rey,Greece,14,2019,8
2768,Mente Fuerte,Greece,14,2019,9
2769,Sin Boy,Greece,13,2019,10
2770,Linkin Park,Hong Kong,40,2017,1
2771,Jay Chou,Hong Kong,27,2017,2
2772,Eason Chan,Hong Kong,25,2017,3
2773,Ed Sheeran,Hong Kong,25,2017,4
2774,Leslie Cheung,Hong Kong,19,2017,5
2775,Sam Smith,Hong Kong,18,2017,6
2776,BTS,Hong Kong,16,2017,7
2777,Taylor Swift,Hong Kong,15,2017,8
2778,BIGBANG,Hong Kong,14,2017,9
2779,Jason Chan,Hong Kong,13,2017,10
2780,Taylor Swift,Hong Kong,39,2020,1
2781,BTS,Hong Kong,34,2020,2
2782,Leslie Cheung,Hong Kong,32,2020,3
2783,Eason Chan,Hong Kong,27,2020,4
2784,Justin Bieber,Hong Kong,21,2020,5
2785,Ariana Grande,Hong Kong,20,2020,6
2786,Lady Gaga,Hong Kong,16,2020,7
2787,Billie Eilish,Hong Kong,16,2020,8
2788,BLACKPINK,Hong Kong,15,2020,9
2789,The Weeknd,Hong Kong,15,2020,10
2790,Linkin Park,Hungary,53,2017,1
2791,Ed Sheeran,Hungary,30,2017,2
2792,Eminem,Hungary,21,2017,3
2793,Michael Bublé,Hungary,19,2017,4
2794,P!nk,Hungary,18,2017,5
2795,Imagine Dragons,Hungary,16,2017,6
2796,Kendrick Lamar,Hungary,15,2017,7
2797,Drake,Hungary,14,2017,8
2798,Sia,Hungary,14,2017,9
2799,Foo Fighters,Hungary,13,2017,10
2800,Taylor Swift,Hungary,30,2020,1
2801,Juice WRLD,Hungary,25,2020,2
2802,Eminem,Hungary,24,2020,3
2803,BTS,Hungary,22,2020,4
2804,Ariana Grande,Hungary,20,2020,5
2805,Michael Bublé,Hungary,19,2020,6
2806,Lil Uzi Vert,Hungary,18,2020,7
2807,Justin Bieber,Hungary,18,2020,8
2808,Shawn Mendes,Hungary,16,2020,9
2809,Lady Gaga,Hungary,16,2020,10
2810,Ed Sheeran,Iceland,47,2019,1
2811,Juice WRLD,Iceland,29,2019,2
2812,Billie Eilish,Iceland,21,2019,3
2813,Ariana Grande,Iceland,20,2019,4
2814,Post Malone,Iceland,20,2019,5
2815,Michael Bublé,Iceland,19,2019,6
2816,Floni,Iceland,19,2019,7
2817,Baggalútur,Iceland,17,2019,8
2818,ScHoolboy Q,Iceland,15,2019,9
2819,Beyoncé,Iceland,14,2019,10
2820,Taylor Swift,India,23,2019,1
2821,Post Malone,India,16,2019,2
2822,BTS,India,16,2019,3
2823,Billie Eilish,India,14,2019,4
2824,Ariana Grande,India,12,2019,5
2825,DIVINE,India,9,2019,6
2826,Avicii,India,9,2019,7
2827,Khalid,India,9,2019,8
2828,Shawn Mendes,India,7,2019,9
2829,Diljit Dosanjh,India,7,2019,10
2830,Linkin Park,Indonesia,37,2017,1
2831,BTS,Indonesia,30,2017,2
2832,Ed Sheeran,Indonesia,25,2017,3
2833,EXO,Indonesia,21,2017,4
2834,Payung Teduh,Indonesia,16,2017,5
2835,Coldplay,Indonesia,15,2017,6
2836,AGNEZ MO,Indonesia,10,2017,7
2837,Sam Smith,Indonesia,10,2017,8
2838,Bruno Mars,Indonesia,9,2017,9
2839,Sheila On 7,Indonesia,9,2017,10
2840,BTS,Indonesia,41,2020,1
2841,Glenn Fredly,Indonesia,25,2020,2
2842,Taylor Swift,Indonesia,25,2020,3
2843,Pamungkas,Indonesia,20,2020,4
2844,NCT U,Indonesia,16,2020,5
2845,One Direction,Indonesia,16,2020,6
2846,Ardhito Pramono,Indonesia,13,2020,7
2847,BLACKPINK,Indonesia,12,2020,8
2848,Ariana Grande,Indonesia,11,2020,9
2849,Nadin Amizah,Indonesia,11,2020,10
2850,Taylor Swift,Ireland,79,2021,1
2851,Kanye West,Ireland,31,2021,2
2852,Adele,Ireland,29,2021,3
2853,Ed Sheeran,Ireland,27,2021,4
2854,Billie Eilish,Ireland,24,2021,5
2855,Drake,Ireland,24,2021,6
2856,Polo G,Ireland,24,2021,7
2857,Pop Smoke,Ireland,22,2021,8
2858,Justin Bieber,Ireland,17,2021,9
2859,ABBA,Ireland,17,2021,10
2860,Sfera Ebbasta,Italy,24,2020,1
2861,Eminem,Italy,21,2020,2
2862,Gemitaiz,Italy,20,2020,3
2863,tha Supreme,Italy,20,2020,4
2864,Ghali,Italy,20,2020,5
2865,PSICOLOGI,Italy,18,2020,6
2866,Dani Faiv,Italy,18,2020,7
2867,Guè Pequeno,Italy,18,2020,8
2868,Izi,Italy,17,2020,9
2869,Carl Brave,Italy,17,2020,10
2870,Kanye West,Italy,27,2021,1
2871,Capo Plaza,Italy,24,2021,2
2872,Il Tre,Italy,22,2021,3
2873,Pop Smoke,Italy,22,2021,4
2874,Baby Gang,Italy,22,2021,5
2875,Drake,Italy,21,2021,6
2876,Salmo,Italy,20,2021,7
2877,Ultimo,Italy,20,2021,8
2878,Madame,Italy,19,2021,9
2879,Franco Battiato,Italy,18,2021,10
2880,Taylor Swift,Latvia,30,2020,1
2881,Lil Uzi Vert,Latvia,29,2020,2
2882,Juice WRLD,Latvia,27,2020,3
2883,Playboi Carti,Latvia,25,2020,4
2884,BTS,Latvia,24,2020,5
2885,Eminem,Latvia,23,2020,6
2886,Kid Cudi,Latvia,19,2020,7
2887,Ariana Grande,Latvia,19,2020,8
2888,Pop Smoke,Latvia,18,2020,9
2889,Joji,Latvia,18,2020,10
2890,XXXTENTACION,Lithuania,30,2018,1
2891,Drake,Lithuania,22,2018,2
2892,Post Malone,Lithuania,20,2018,3
2893,BTS,Lithuania,19,2018,4
2894,Ariana Grande,Lithuania,19,2018,5
2895,Travis Scott,Lithuania,18,2018,6
2896,Avicii,Lithuania,15,2018,7
2897,Twenty One Pilots,Lithuania,15,2018,8
2898,Eminem,Lithuania,13,2018,9
2899,J. Cole,Lithuania,12,2018,10
2900,Ariana Grande,Lithuania,20,2019,1
2901,Billie Eilish,Lithuania,20,2019,2
2902,Post Malone,Lithuania,19,2019,3
2903,Lilas ir Innomine,Lithuania,16,2019,4
2904,Michael Bublé,Lithuania,12,2019,5
2905,Harry Styles,Lithuania,12,2019,6
2906,GJan,Lithuania,11,2019,7
2907,Ed Sheeran,Lithuania,11,2019,8
2908,Lana Del Rey,Lithuania,11,2019,9
2909,"Tyler, The Creator",Lithuania,11,2019,10
2910,Måneskin,Lithuania,34,2021,1
2911,Kanye West,Lithuania,28,2021,2
2912,Drake,Lithuania,23,2021,3
2913,Pop Smoke,Lithuania,22,2021,4
2914,Billie Eilish,Lithuania,22,2021,5
2915,Adele,Lithuania,21,2021,6
2916,"Tyler, The Creator",Lithuania,17,2021,7
2917,Free Finga,Lithuania,16,2021,8
2918,Tuur Deconinck,Lithuania,15,2021,9
2919,MORGENSHTERN,Lithuania,15,2021,10
2920,Pop Smoke,Luxembourg,20,2020,1
2921,Juice WRLD,Luxembourg,18,2020,2
2922,Zola,Luxembourg,12,2020,3
2923,Michael Bublé,Luxembourg,12,2020,4
2924,Damso,Luxembourg,11,2020,5
2925,Bonez MC,Luxembourg,10,2020,6
2926,Eminem,Luxembourg,10,2020,7
2927,Luciano,Luxembourg,8,2020,8
2928,Gzuz,Luxembourg,8,2020,9
2929,Bing Crosby,Luxembourg,7,2020,10
2930,Luis Miguel,Mexico,26,2017,1
2931,Ed Sheeran,Mexico,20,2017,2
2932,Banda MS de Sergio Lizárraga,Mexico,13,2017,3
2933,Linkin Park,Mexico,13,2017,4
2934,Gorillaz,Mexico,11,2017,5
2935,Ozuna,Mexico,10,2017,6
2936,Harry Styles,Mexico,10,2017,7
2937,Coldplay,Mexico,9,2017,8
2938,Cartel De Santa,Mexico,9,2017,9
2939,Maluma,Mexico,9,2017,10
2940,Luis Miguel,Mexico,43,2018,1
2941,Ariana Grande,Mexico,18,2018,2
2942,Zoé,Mexico,17,2018,3
2943,Queen,Mexico,17,2018,4
2944,Bad Bunny,Mexico,16,2018,5
2945,Avicii,Mexico,16,2018,6
2946,Banda MS de Sergio Lizárraga,Mexico,13,2018,7
2947,Morat,Mexico,13,2018,8
2948,Drake,Mexico,13,2018,9
2949,Arctic Monkeys,Mexico,12,2018,10
2950,Ed Sheeran,Netherlands,29,2017,1
2951,LouiVos,Netherlands,26,2017,2
2952,Kinderliedjes,Netherlands,20,2017,3
2953,Lijpe,Netherlands,19,2017,4
2954,Eminem,Netherlands,19,2017,5
2955,Ismo,Netherlands,19,2017,6
2956,Boef,Netherlands,16,2017,7
2957,Sam Smith,Netherlands,16,2017,8
2958,Lil Kleine,Netherlands,16,2017,9
2959,Jonna Fraser,Netherlands,15,2017,10
2960,Ed Sheeran,New Zealand,34,2017,1
2961,Linkin Park,New Zealand,22,2017,2
2962,Michael Bublé,New Zealand,19,2017,3
2963,Adele,New Zealand,19,2017,4
2964,Eminem,New Zealand,19,2017,5
2965,Sam Smith,New Zealand,17,2017,6
2966,Kendrick Lamar,New Zealand,16,2017,7
2967,Lorde,New Zealand,16,2017,8
2968,Drake,New Zealand,16,2017,9
