,artist,region,n,year,Rank
1290,Official HIGE DANdism,Japan,4704,2020,1
1291,King Gnu,Japan,3946,2020,2
1292,Aimyon,Japan,3119,2020,3
1293,Mrs. GREEN APPLE,Japan,2719,2020,4
1294,BTS,Japan,2262,2020,5
1295,back number,Japan,2036,2020,6
1296,TWICE,Japan,1653,2020,7
1297,Kenshi Yonezu,Japan,1595,2020,8
1298,ONE OK ROCK,Japan,1567,2020,9
1299,ARASHI,Japan,1447,2020,10
1300,Måneskin,Latvia,1080,2021,1
1301,Olivia Rodrigo,Latvia,1055,2021,2
1302,Doja Cat,Latvia,940,2021,3
1303,The Weeknd,Latvia,928,2021,4
1304,Billie Eilish,Latvia,831,2021,5
1305,MORGENSHTERN,Latvia,671,2021,6
1306,The Neighbourhood,Latvia,665,2021,7
1307,Lil Nas X,Latvia,633,2021,8
1308,Dua Lipa,Latvia,625,2021,9
1309,J. Cole,Latvia,598,2021,10
1310,BTS,Malaysia,2678,2020,1
1311,Lauv,Malaysia,1841,2020,2
1312,BLACKPINK,Malaysia,1808,2020,3
1313,Ed Sheeran,Malaysia,1654,2020,4
1314,Billie Eilish,Malaysia,1623,2020,5
1315,Taylor Swift,Malaysia,1484,2020,6
1316,Ariana Grande,Malaysia,1408,2020,7
1317,Harry Styles,Malaysia,1243,2020,8
1318,Sam Smith,Malaysia,1096,2020,9
1319,Justin Bieber,Malaysia,982,2020,10
1320,Banda MS de Sergio Lizárraga,Mexico,1614,2019,1
1321,Paulo Londra,Mexico,1397,2019,2
1322,Christian Nodal,Mexico,1382,2019,3
1323,Bad Bunny,Mexico,1298,2019,4
1324,Luis Miguel,Mexico,1264,2019,5
1325,Queen,Mexico,1158,2019,6
1326,Maluma,Mexico,1026,2019,7
1327,Danny Ocean,Mexico,962,2019,8
1328,Ed Sheeran,Mexico,919,2019,9
1329,Ariana Grande,Mexico,782,2019,10
1330,Bad Bunny,Mexico,3314,2020,1
1331,Christian Nodal,Mexico,2640,2020,2
1332,J Balvin,Mexico,1843,2020,3
1333,Luis Miguel,Mexico,1459,2020,4
1334,Maluma,Mexico,1374,2020,5
1335,Danna Paola,Mexico,1150,2020,6
1336,Alejandro Fernández,Mexico,1090,2020,7
1337,Camilo,Mexico,980,2020,8
1338,Banda MS de Sergio Lizárraga,Mexico,948,2020,9
1339,Dua Lipa,Mexico,873,2020,10
1340,Hatim Ammor,Morocco,414,2019,1
1341,ElGrandeToto,Morocco,407,2019,2
1342,Soolking,Morocco,387,2019,3
1343,Naar,Morocco,316,2019,4
1344,PNL,Morocco,296,2019,5
1345,Post Malone,Morocco,292,2019,6
1346,Saad Lamjarred,Morocco,280,2019,7
1347,Ed Sheeran,Morocco,273,2019,8
1348,Billie Eilish,Morocco,250,2019,9
1349,Anas,Morocco,184,2019,10
1350,ElGrandeToto,Morocco,5229,2021,1
1351,Inkonnu,Morocco,2549,2021,2
1352,Draganov,Morocco,1367,2021,3
1353,Smallx,Morocco,1280,2021,4
1354,Snor,Morocco,1172,2021,5
1355,kouz1,Morocco,1118,2021,6
1356,"Stormy, Tagne",Morocco,889,2021,7
1357,The Weeknd,Morocco,805,2021,8
1358,Pop Smoke,Morocco,761,2021,9
1359,Mocci,Morocco,756,2021,10
1360,TIX,Norway,1933,2020,1
1361,Billie Eilish,Norway,1857,2020,2
1362,Juice WRLD,Norway,1592,2020,3
1363,Pop Smoke,Norway,1585,2020,4
1364,Lewis Capaldi,Norway,1375,2020,5
1365,Ava Max,Norway,1353,2020,6
1366,Astrid S,Norway,1042,2020,7
1367,Harry Styles,Norway,982,2020,8
1368,Herman Flesvig,Norway,969,2020,9
1369,The Weeknd,Norway,917,2020,10
1370,Bad Bunny,Panama,4008,2021,1
1371,Boza,Panama,2467,2021,2
1372,Rauw Alejandro,Panama,1516,2021,3
1373,Sech,Panama,1492,2021,4
1374,Olivia Rodrigo,Panama,1387,2021,5
1375,Myke Towers,Panama,1204,2021,6
1376,Camilo,Panama,965,2021,7
1377,KAROL G,Panama,938,2021,8
1378,The Weeknd,Panama,881,2021,9
1379,Dua Lipa,Panama,859,2021,10
1380,Dawid Podsiadło,Poland,2233,2019,1
1381,Billie Eilish,Poland,2037,2019,2
1382,chillwagon,Poland,1734,2019,3
1383,White 2115,Poland,1315,2019,4
1384,Ariana Grande,Poland,1278,2019,5
1385,PRO8L3M,Poland,1182,2019,6
1386,Taco Hemingway,Poland,1163,2019,7
1387,schafter,Poland,1055,2019,8
1388,Post Malone,Poland,994,2019,9
1389,Szpaku,Poland,971,2019,10
1390,XXXTENTACION,Portugal,2662,2018,1
1391,Post Malone,Portugal,1769,2018,2
1392,Wet Bed Gang,Portugal,1584,2018,3
1393,Piruka,Portugal,1461,2018,4
1394,Drake,Portugal,1459,2018,5
1395,Imagine Dragons,Portugal,1439,2018,6
1396,Ed Sheeran,Portugal,1093,2018,7
1397,Richie Campbell,Portugal,1092,2018,8
1398,Khalid,Portugal,1019,2018,9
1399,Travis Scott,Portugal,999,2018,10
1400,Billie Eilish,Portugal,2353,2019,1
1401,Wet Bed Gang,Portugal,2317,2019,2
1402,Post Malone,Portugal,1852,2019,3
1403,ProfJam,Portugal,1659,2019,4
1404,Ariana Grande,Portugal,1419,2019,5
1405,Ed Sheeran,Portugal,1253,2019,6
1406,Plutónio,Portugal,1223,2019,7
1407,Khalid,Portugal,1189,2019,8
1408,Imagine Dragons,Portugal,1041,2019,9
1409,"Deejay Telio, Deedz B",Portugal,975,2019,10
1410,Nane,Romania,3223,2020,1
1411,XXXTENTACION,Romania,1904,2020,2
1412,Travis Scott,Romania,1876,2020,3
1413,Billie Eilish,Romania,1710,2020,4
1414,Juice WRLD,Romania,1608,2020,5
1415,Pop Smoke,Romania,1380,2020,6
1416,The Weeknd,Romania,1352,2020,7
1417,Ian,Romania,1339,2020,8
1418,"Ian, Azteca",Romania,1273,2020,9
1419,Post Malone,Romania,1131,2020,10
1420,Tzanca Uraganu,Romania,2677,2021,1
1421,Pop Smoke,Romania,1587,2021,2
1422,Måneskin,Romania,1537,2021,3
1423,The Weeknd,Romania,1469,2021,4
1424,Olivia Rodrigo,Romania,1329,2021,5
1425,Doja Cat,Romania,1112,2021,6
1426,Travis Scott,Romania,1051,2021,7
1427,Arctic Monkeys,Romania,1005,2021,8
1428,Dua Lipa,Romania,933,2021,9
1429,Billie Eilish,Romania,850,2021,10
1430,Ed Sheeran,Singapore,3603,2017,1
1431,Jay Chou,Singapore,1770,2017,2
1432,JJ Lin,Singapore,1643,2017,3
1433,BTS,Singapore,1522,2017,4
1434,Coldplay,Singapore,1512,2017,5
1435,Charlie Puth,Singapore,1300,2017,6
1436,Shawn Mendes,Singapore,1203,2017,7
1437,The Chainsmokers,Singapore,1164,2017,8
1438,Bruno Mars,Singapore,1121,2017,9
1439,BLACKPINK,Singapore,1110,2017,10
1440,JJ Lin,Singapore,2213,2020,1
1441,Ed Sheeran,Singapore,2021,2020,2
1442,Eric Chou,Singapore,1979,2020,3
1443,Lauv,Singapore,1971,2020,4
1444,BTS,Singapore,1650,2020,5
1445,BLACKPINK,Singapore,1519,2020,6
1446,G.E.M.,Singapore,1429,2020,7
1447,Jay Chou,Singapore,1298,2020,8
1448,Sam Smith,Singapore,1296,2020,9
1449,Billie Eilish,Singapore,1278,2020,10
1450,Post Malone,South Africa,2536,2019,1
1451,Billie Eilish,South Africa,2405,2019,2
1452,Ed Sheeran,South Africa,2215,2019,3
1453,Khalid,South Africa,1826,2019,4
1454,Ariana Grande,South Africa,1604,2019,5
1455,Imagine Dragons,South Africa,1145,2019,6
1456,Sam Smith,South Africa,964,2019,7
1457,Drake,South Africa,902,2019,8
1458,Bazzi,South Africa,901,2019,9
1459,Taylor Swift,South Africa,830,2019,10
1460,Drake,South Africa,2103,2021,1
1461,Juice WRLD,South Africa,1522,2021,2
1462,Pop Smoke,South Africa,1482,2021,3
1463,Ed Sheeran,South Africa,1385,2021,4
1464,Olivia Rodrigo,South Africa,1369,2021,5
1465,Justin Bieber,South Africa,1285,2021,6
1466,Billie Eilish,South Africa,1254,2021,7
1467,Doja Cat,South Africa,1190,2021,8
1468,The Weeknd,South Africa,1104,2021,9
1469,J. Cole,South Africa,1068,2021,10
1470,Pop Smoke,Switzerland,1594,2020,1
1471,Billie Eilish,Switzerland,1476,2020,2
1472,Apache 207,Switzerland,1458,2020,3
1473,Lewis Capaldi,Switzerland,1143,2020,4
1474,Ava Max,Switzerland,1136,2020,5
1475,Juice WRLD,Switzerland,1083,2020,6
1476,Travis Scott,Switzerland,1073,2020,7
1477,Tones And I,Switzerland,843,2020,8
1478,Ed Sheeran,Switzerland,829,2020,9
1479,Dua Lipa,Switzerland,817,2020,10
1480,Ed Sheeran,Switzerland,1329,2021,1
1481,Pop Smoke,Switzerland,1251,2021,2
1482,Billie Eilish,Switzerland,1216,2021,3
1483,Olivia Rodrigo,Switzerland,1063,2021,4
1484,The Weeknd,Switzerland,1061,2021,5
1485,Justin Bieber,Switzerland,867,2021,6
1486,Lewis Capaldi,Switzerland,792,2021,7
1487,Imagine Dragons,Switzerland,780,2021,8
1488,Dua Lipa,Switzerland,758,2021,9
1489,Doja Cat,Switzerland,710,2021,10
1490,G.E.M.,Taiwan,2206,2021,1
1491,Eric Chou,Taiwan,2131,2021,2
1492,告五人,Taiwan,1859,2021,3
1493,高爾宣 OSN,Taiwan,1327,2021,4
1494,Justin Bieber,Taiwan,1313,2021,5
1495,EggPlantEgg,Taiwan,1223,2021,6
1496,YOASOBI,Taiwan,1125,2021,7
1497,Ren Ran,Taiwan,1101,2021,8
1498,BTS,Taiwan,1079,2021,9
1499,Ed Sheeran,Taiwan,923,2021,10
1500,Polycat,Thailand,1967,2020,1
1501,SCRUBB,Thailand,1866,2020,2
1502,MEAN,Thailand,1803,2020,3
1503,Three Man Down,Thailand,1713,2020,4
1504,BTS,Thailand,1643,2020,5
1505,WANYAi,Thailand,1496,2020,6
1506,Whal & Dolph,Thailand,1309,2020,7
1507,BLACKPINK,Thailand,1263,2020,8
1508,Lauv,Thailand,1236,2020,9
1509,BOWKYLION,Thailand,1049,2020,10
1510,Three Man Down,Thailand,2652,2021,1
1511,BTS,Thailand,1665,2021,2
1512,SERIOUS BACON,Thailand,1479,2021,3
1513,Ariana Grande,Thailand,1402,2021,4
1514,Ink Waruntorn,Thailand,1339,2021,5
1515,BLACKPINK,Thailand,1284,2021,6
1516,Olivia Rodrigo,Thailand,1153,2021,7
1517,Billkin,Thailand,1086,2021,8
1518,Safeplanet,Thailand,1022,2021,9
1519,UrboyTJ,Thailand,984,2021,10
1520,MORGENSHTERN,Ukraine,2253,2021,1
1521,Miyagi & Andy Panda,Ukraine,1757,2021,2
1522,Scriptonite,Ukraine,1289,2021,3
1523,ROCKET,Ukraine,1256,2021,4
1524,kizaru,Ukraine,1151,2021,5
1525,Måneskin,Ukraine,1091,2021,6
1526,SLAVA MARLOW,Ukraine,890,2021,7
1527,GONE.Fludd,Ukraine,864,2021,8
1528,Korol i Shut,Ukraine,828,2021,9
1529,SODA LUV,Ukraine,823,2021,10
1530,BTS,Vietnam,3574,2021,1
1531,Chillies,Vietnam,1791,2021,2
1532,Sơn Tùng M-TP,Vietnam,1653,2021,3
1533,Vũ.,Vietnam,1394,2021,4
1534,BLACKPINK,Vietnam,1348,2021,5
1535,Ariana Grande,Vietnam,1296,2021,6
1536,Olivia Rodrigo,Vietnam,1014,2021,7
1537,RAP VIỆT,Vietnam,999,2021,8
1538,Justin Bieber,Vietnam,886,2021,9
1539,Ed Sheeran,Vietnam,838,2021,10
1540,Paulo Londra,Argentina,1663,2018,1
1541,Ozuna,Argentina,1499,2018,2
1542,Maluma,Argentina,1495,2018,3
1543,Ed Sheeran,Argentina,1417,2018,4
1544,Duki,Argentina,1002,2018,5
1545,Callejeros,Argentina,1001,2018,6
1546,Bad Bunny,Argentina,965,2018,7
1547,Manuel Turizo,Argentina,941,2018,8
1548,Sebastian Yatra,Argentina,921,2018,9
1549,Piso 21,Argentina,902,2018,10
1550,Ed Sheeran,Australia,2854,2018,1
1551,XXXTENTACION,Australia,2672,2018,2
1552,Post Malone,Australia,2537,2018,3
1553,Drake,Australia,1660,2018,4
1554,Khalid,Australia,1384,2018,5
1555,Eminem,Australia,1371,2018,6
1556,Imagine Dragons,Australia,974,2018,7
1557,Kendrick Lamar,Australia,972,2018,8
1558,Billie Eilish,Australia,921,2018,9
1559,Travis Scott,Australia,872,2018,10
1560,Ed Sheeran,Australia,2196,2021,1
1561,Olivia Rodrigo,Australia,1844,2021,2
1562,Justin Bieber,Australia,1570,2021,3
1563,Juice WRLD,Australia,1515,2021,4
1564,Billie Eilish,Australia,1453,2021,5
1565,The Kid LAROI,Australia,1395,2021,6
1566,Pop Smoke,Australia,1366,2021,7
1567,Doja Cat,Australia,1213,2021,8
1568,Dua Lipa,Australia,1065,2021,9
1569,Taylor Swift,Australia,1056,2021,10
1570,RAF Camora,Austria,1621,2018,1
1571,Capital Bra,Austria,1432,2018,2
1572,Post Malone,Austria,1374,2018,3
1573,XXXTENTACION,Austria,1261,2018,4
1574,"Bonez MC, RAF Camora",Austria,1185,2018,5
1575,Ed Sheeran,Austria,1132,2018,6
1576,Imagine Dragons,Austria,1083,2018,7
1577,Drake,Austria,938,2018,8
1578,Eminem,Austria,928,2018,9
1579,Avicii,Austria,770,2018,10
1580,Ed Sheeran,Bulgaria,423,2017,1
1581,Kendrick Lamar,Bulgaria,233,2017,2
1582,Imagine Dragons,Bulgaria,180,2017,3
1583,Luis Fonsi,Bulgaria,169,2017,4
1584,"The Weeknd, Daft Punk",Bulgaria,167,2017,5
1585,Clean Bandit,Bulgaria,143,2017,6
1586,Future,Bulgaria,129,2017,7
1587,Zedd,Bulgaria,124,2017,8
1588,Jason Derulo,Bulgaria,119,2017,9
1589,DJ Khaled,Bulgaria,118,2017,10
1590,Pop Smoke,Bulgaria,2037,2021,1
1591,Måneskin,Bulgaria,1240,2021,2
1592,Doja Cat,Bulgaria,1230,2021,3
1593,Travis Scott,Bulgaria,1173,2021,4
1594,The Weeknd,Bulgaria,1116,2021,5
1595,Olivia Rodrigo,Bulgaria,1112,2021,6
1596,FYRE,Bulgaria,998,2021,7
1597,Lil Nas X,Bulgaria,905,2021,8
1598,Medi,Bulgaria,901,2021,9
1599,Dua Lipa,Bulgaria,888,2021,10
1600,Post Malone,Canada,2944,2018,1
1601,XXXTENTACION,Canada,2606,2018,2
1602,Drake,Canada,2405,2018,3
1603,Travis Scott,Canada,1705,2018,4
1604,Khalid,Canada,1330,2018,5
1605,Ed Sheeran,Canada,1317,2018,6
1606,Imagine Dragons,Canada,1189,2018,7
1607,Eminem,Canada,1096,2018,8
1608,Kendrick Lamar,Canada,1087,2018,9
1609,Juice WRLD,Canada,866,2018,10
1610,Bad Bunny,Chile,3448,2021,1
1611,Rauw Alejandro,Chile,1741,2021,2
1612,Olivia Rodrigo,Chile,1274,2021,3
1613,Ak4:20,Chile,1170,2021,4
1614,Dua Lipa,Chile,1094,2021,5
1615,Myke Towers,Chile,926,2021,6
1616,KAROL G,Chile,870,2021,7
1617,The Weeknd,Chile,841,2021,8
1618,Camilo,Chile,819,2021,9
1619,Marcianeke,Chile,805,2021,10
1620,Manuel Turizo,Colombia,1586,2019,1
1621,Bad Bunny,Colombia,1344,2019,2
1622,Ed Sheeran,Colombia,1293,2019,3
1623,Fonseca,Colombia,1234,2019,4
1624,Paulo Londra,Colombia,1115,2019,5
1625,Queen,Colombia,1031,2019,6
1626,Maluma,Colombia,1025,2019,7
1627,Danny Ocean,Colombia,993,2019,8
1628,Ozuna,Colombia,933,2019,9
1629,Piso 21,Colombia,837,2019,10
1630,Bad Bunny,Colombia,3061,2021,1
1631,Feid,Colombia,1290,2021,2
1632,Olivia Rodrigo,Colombia,1232,2021,3
1633,KAROL G,Colombia,1167,2021,4
1634,J Balvin,Colombia,1154,2021,5
1635,Camilo,Colombia,1086,2021,6
1636,Rauw Alejandro,Colombia,1052,2021,7
1637,Maluma,Colombia,1051,2021,8
1638,Christian Nodal,Colombia,1036,2021,9
1639,Dua Lipa,Colombia,996,2021,10
1640,Ozuna,Dominican Republic,3039,2018,1
1641,Bad Bunny,Dominican Republic,1913,2018,2
1642,Anuel AA,Dominican Republic,1523,2018,3
1643,Drake,Dominican Republic,1177,2018,4
1644,Romeo Santos,Dominican Republic,1169,2018,5
1645,Maluma,Dominican Republic,1141,2018,6
1646,Ed Sheeran,Dominican Republic,1073,2018,7
1647,Manuel Turizo,Dominican Republic,919,2018,8
1648,XXXTENTACION,Dominican Republic,851,2018,9
1649,El Alfa,Dominican Republic,817,2018,10
1650,Amr Diab,Egypt,680,2019,1
1651,Marwan Pablo,Egypt,301,2019,2
1652,Post Malone,Egypt,295,2019,3
1653,Wegz,Egypt,241,2019,4
1654,Billie Eilish,Egypt,230,2019,5
1655,Mohamed Hamaki,Egypt,222,2019,6
1656,Cairokee,Egypt,171,2019,7
1657,Halsey,Egypt,157,2019,8
1658,Tamer Ashour,Egypt,150,2019,9
1659,Imagine Dragons,Egypt,145,2019,10
1660,Billie Eilish,Estonia,1425,2019,1
1661,nublu,Estonia,1109,2019,2
1662,Post Malone,Estonia,841,2019,3
1663,Ed Sheeran,Estonia,748,2019,4
1664,Ariana Grande,Estonia,726,2019,5
1665,Lil Nas X,Estonia,406,2019,6
1666,Reket,Estonia,363,2019,7
1667,"MiyaGi & Endspiel, Rem Digga",Estonia,343,2019,8
1668,Juice WRLD,Estonia,311,2019,9
1669,Sam Smith,Estonia,310,2019,10
1670,Måneskin,Estonia,1027,2021,1
1671,The Weeknd,Estonia,869,2021,2
1672,Doja Cat,Estonia,820,2021,3
1673,Olivia Rodrigo,Estonia,809,2021,4
1674,nublu,Estonia,747,2021,5
1675,Lil Nas X,Estonia,658,2021,6
1676,5MIINUST,Estonia,656,2021,7
1677,The Neighbourhood,Estonia,572,2021,8
1678,Billie Eilish,Estonia,565,2021,9
1679,Dua Lipa,Estonia,491,2021,10
1680,Ninho,France,3479,2019,1
1681,PNL,France,3014,2019,2
1682,Nekfeu,France,1772,2019,3
1683,Aya Nakamura,France,1514,2019,4
1684,Zola,France,1437,2019,5
1685,Koba LaD,France,1436,2019,6
1686,Angèle,France,1397,2019,7
1687,Niska,France,1343,2019,8
1688,PLK,France,1336,2019,9
1689,Lomepal,France,1333,2019,10
1690,Apache 207,Germany,1192,2021,1
1691,Olivia Rodrigo,Germany,1023,2021,2
1692,The Weeknd,Germany,955,2021,3
1693,Luciano,Germany,806,2021,4
1694,Pashanim,Germany,730,2021,5
1695,Justin Bieber,Germany,686,2021,6
1696,Juice WRLD,Germany,658,2021,7
1697,Doja Cat,Germany,639,2021,8
1698,Billie Eilish,Germany,622,2021,9
1699,Lil Nas X,Germany,617,2021,10
1700,XXXTENTACION,Global,2747,2018,1
1701,Post Malone,Global,2408,2018,2
1702,Ed Sheeran,Global,2019,2018,3
1703,Drake,Global,1746,2018,4
1704,Imagine Dragons,Global,1253,2018,5
1705,Travis Scott,Global,1238,2018,6
1706,Khalid,Global,1104,2018,7
1707,Kendrick Lamar,Global,870,2018,8
1708,Eminem,Global,851,2018,9
1709,Ariana Grande,Global,847,2018,10
1710,Ed Sheeran,Greece,1028,2017,1
1711,Kendrick Lamar,Greece,627,2017,2
1712,Imagine Dragons,Greece,624,2017,3
1713,Clean Bandit,Greece,473,2017,4
1714,Drake,Greece,399,2017,5
1715,Future,Greece,398,2017,6
1716,"Calvin Harris, Funk Wav",Greece,376,2017,7
1717,"The Weeknd, Daft Punk",Greece,371,2017,8
1718,Charlie Puth,Greece,366,2017,9
1719,Jason Derulo,Greece,340,2017,10
1720,Dear Jane,Hong Kong,2507,2021,1
1721,Terence Lam,Hong Kong,2372,2021,2
1722,YOASOBI,Hong Kong,1888,2021,3
1723,Hins Cheung,Hong Kong,1817,2021,4
1724,陳卓賢 Ian,Hong Kong,1524,2021,5
1725,Ed Sheeran,Hong Kong,1376,2021,6
1726,Jer 柳應廷,Hong Kong,1314,2021,7
1727,Justin Bieber,Hong Kong,1268,2021,8
1728,BTS,Hong Kong,1216,2021,9
1729,Eason Chan,Hong Kong,1189,2021,10
1730,Ed Sheeran,Ireland,5052,2017,1
1731,Picture This,Ireland,1617,2017,2
1732,Drake,Ireland,1138,2017,3
1733,Kendrick Lamar,Ireland,945,2017,4
1734,Justin Bieber,Ireland,854,2017,5
1735,Little Mix,Ireland,820,2017,6
1736,Shawn Mendes,Ireland,793,2017,7
1737,Dua Lipa,Ireland,765,2017,8
1738,Major Lazer,Ireland,728,2017,9
1739,Clean Bandit,Ireland,681,2017,10
1740,Eden Hason,Israel,3331,2019,1
1741,Omer Adam,Israel,2725,2019,2
1742,Billie Eilish,Israel,1718,2019,3
1743,Ishay Ribo,Israel,1675,2019,4
1744,Post Malone,Israel,1602,2019,5
1745,Ariana Grande,Israel,1506,2019,6
1746,Queen,Israel,1342,2019,7
1747,Ed Sheeran,Israel,1292,2019,8
1748,Itay Levi,Israel,1249,2019,9
1749,Dennis Lloyd,Israel,1241,2019,10
1750,Ghali,Italy,2332,2017,1
1751,Ed Sheeran,Italy,2026,2017,2
1752,Sfera Ebbasta,Italy,1859,2017,3
1753,"J-AX, Fedez",Italy,1440,2017,4
1754,Coez,Italy,1365,2017,5
1755,Izi,Italy,1031,2017,6
1756,Dark Polo Gang,Italy,916,2017,7
1757,Rkomi,Italy,813,2017,8
1758,Imagine Dragons,Italy,793,2017,9
1759,Clean Bandit,Italy,724,2017,10
1760,Sfera Ebbasta,Italy,3260,2018,1
1761,Capo Plaza,Italy,2537,2018,2
1762,Gemitaiz,Italy,1899,2018,3
1763,Ultimo,Italy,1728,2018,4
1764,XXXTENTACION,Italy,1381,2018,5
1765,"Tedua, Chris Nolan",Italy,1287,2018,6
1766,Coez,Italy,1109,2018,7
1767,Salmo,Italy,1087,2018,8
1768,Carl Brave,Italy,1036,2018,9
1769,Emis Killa,Italy,984,2018,10
1770,TWICE,Japan,3194,2018,1
1771,BTS,Japan,2223,2018,2
1772,ONE OK ROCK,Japan,2114,2018,3
1773,Shota Shimizu,Japan,2014,2018,4
1774,Hikaru Utada,Japan,1495,2018,5
1775,Aimyon,Japan,1460,2018,6
1776,Ed Sheeran,Japan,1387,2018,7
1777,AAA,Japan,1340,2018,8
1778,Mr.Children,Japan,1281,2018,9
1779,Justin Bieber,Japan,1242,2018,10
1780,Ed Sheeran,Latvia,772,2017,1
1781,Imagine Dragons,Latvia,527,2017,2
1782,Kendrick Lamar,Latvia,524,2017,3
1783,Clean Bandit,Latvia,306,2017,4
1784,"Calvin Harris, Funk Wav",Latvia,304,2017,5
1785,"Post Malone, Quavo",Latvia,295,2017,6
1786,Lil Uzi Vert,Latvia,268,2017,7
1787,Khalid,Latvia,259,2017,8
1788,Lauv,Latvia,246,2017,9
1789,Future,Latvia,245,2017,10
1790,Billie Eilish,Latvia,1899,2019,1
1791,Post Malone,Latvia,1385,2019,2
1792,Tima Belorusskih,Latvia,905,2019,3
1793,Ed Sheeran,Latvia,781,2019,4
1794,Ariana Grande,Latvia,763,2019,5
1795,Juice WRLD,Latvia,481,2019,6
1796,Lil Nas X,Latvia,461,2019,7
1797,XXXTENTACION,Latvia,421,2019,8
1798,Travis Scott,Latvia,406,2019,9
1799,5 Seconds of Summer,Latvia,394,2019,10
1800,Billie Eilish,Lithuania,1371,2020,1
1801,OG Version,Lithuania,1280,2020,2
1802,Harry Styles,Lithuania,996,2020,3
1803,Dua Lipa,Lithuania,959,2020,4
1804,The Weeknd,Lithuania,932,2020,5
1805,Travis Scott,Lithuania,843,2020,6
1806,Lewis Capaldi,Lithuania,636,2020,7
1807,Juice WRLD,Lithuania,608,2020,8
1808,Pop Smoke,Lithuania,598,2020,9
1809,Joji,Lithuania,597,2020,10
1810,Ed Sheeran,Luxembourg,40,2019,1
1811,Post Malone,Luxembourg,35,2019,2
1812,Apache 207,Luxembourg,29,2019,3
1813,Billie Eilish,Luxembourg,27,2019,4
1814,Michael Bublé,Luxembourg,21,2019,5
1815,Lewis Capaldi,Luxembourg,21,2019,6
1816,Selena Gomez,Luxembourg,21,2019,7
1817,"Shawn Mendes, Camila Cabello",Luxembourg,19,2019,8
1818,Travis Scott,Luxembourg,18,2019,9
1819,Tones And I,Luxembourg,18,2019,10
1820,ElGrandeToto,Morocco,2328,2020,1
1821,Inkonnu,Morocco,1161,2020,2
1822,Travis Scott,Morocco,1120,2020,3
1823,Zouhair Bahaoui,Morocco,1100,2020,4
1824,Lbenj,Morocco,989,2020,5
1825,Billie Eilish,Morocco,964,2020,6
1826,Hatim Ammor,Morocco,942,2020,7
1827,Stormy,Morocco,925,2020,8
1828,Pop Smoke,Morocco,915,2020,9
1829,Saad Lamjarred,Morocco,831,2020,10
1830,Billie Eilish,Netherlands,1522,2019,1
1831,Post Malone,Netherlands,1220,2019,2
1832,Ed Sheeran,Netherlands,1174,2019,3
1833,Snelle,Netherlands,1166,2019,4
1834,Ariana Grande,Netherlands,959,2019,5
1835,Martin Garrix,Netherlands,803,2019,6
1836,Davina Michelle,Netherlands,757,2019,7
1837,Lil Kleine,Netherlands,674,2019,8
1838,Josylvio,Netherlands,649,2019,9
1839,Boef,Netherlands,643,2019,10
1840,Suzan & Freek,Netherlands,1366,2020,1
1841,Pop Smoke,Netherlands,1326,2020,2
1842,Juice WRLD,Netherlands,1231,2020,3
1843,Snelle,Netherlands,1145,2020,4
1844,Billie Eilish,Netherlands,1108,2020,5
1845,Lewis Capaldi,Netherlands,1041,2020,6
1846,Dua Lipa,Netherlands,960,2020,7
1847,The Weeknd,Netherlands,896,2020,8
1848,Racoon,Netherlands,844,2020,9
1849,Davina Michelle,Netherlands,826,2020,10
1850,SIX60,New Zealand,4233,2020,1
1851,Juice WRLD,New Zealand,1966,2020,2
1852,Billie Eilish,New Zealand,1733,2020,3
1853,Ed Sheeran,New Zealand,1681,2020,4
1854,Pop Smoke,New Zealand,1524,2020,5
1855,Lewis Capaldi,New Zealand,1390,2020,6
1856,Harry Styles,New Zealand,1337,2020,7
1857,L.A.B.,New Zealand,1334,2020,8
1858,Fleetwood Mac,New Zealand,1327,2020,9
1859,Post Malone,New Zealand,1275,2020,10
1860,XXXTENTACION,Norway,2105,2018,1
1861,Post Malone,Norway,1995,2018,2
1862,Ed Sheeran,Norway,1619,2018,3
1863,Drake,Norway,1096,2018,4
1864,Eminem,Norway,1007,2018,5
1865,Imagine Dragons,Norway,950,2018,6
1866,Avicii,Norway,941,2018,7
1867,Astrid S,Norway,831,2018,8
1868,Alan Walker,Norway,751,2018,9
1869,Camila Cabello,Norway,719,2018,10
1870,Ozuna,Panama,1703,2017,1
1871,Ed Sheeran,Panama,1466,2017,2
1872,Nicky Jam,Panama,1017,2017,3
1873,Maluma,Panama,823,2017,4
1874,Bad Bunny,Panama,815,2017,5
1875,Shakira,Panama,800,2017,6
1876,Piso 21,Panama,689,2017,7
1877,CNCO,Panama,641,2017,8
1878,Major Lazer,Panama,588,2017,9
1879,Zion & Lennox,Panama,576,2017,10
1880,Bad Bunny,Panama,3156,2019,1
1881,Sech,Panama,2295,2019,2
1882,Ozuna,Panama,1286,2019,3
1883,Paulo Londra,Panama,1263,2019,4
1884,Ed Sheeran,Panama,1042,2019,5
1885,Manuel Turizo,Panama,1024,2019,6
1886,Maluma,Panama,976,2019,7
1887,Billie Eilish,Panama,767,2019,8
1888,"J Balvin, Bad Bunny",Panama,723,2019,9
1889,Ariana Grande,Panama,721,2019,10
1890,Ozuna,Paraguay,1965,2018,1
1891,Imagine Dragons,Paraguay,1527,2018,2
1892,Anuel AA,Paraguay,1509,2018,3
1893,Piso 21,Paraguay,1376,2018,4
1894,Bad Bunny,Paraguay,1368,2018,5
