,region,year(date),stream,population
173,Greece,2021,523673330,10641221
174,Costa Rica,2020,516245090,5153957
175,Czech Republic,2021,496837106,10505772
176,Czech Republic,2020,482802177,10505772
177,Switzerland,2017,473316809,8703405
178,Vietnam,2020,466621801,97468029
179,Israel,2021,466557778,9364000
180,Portugal,2018,459039520,10325147
181,Austria,2018,457467479,8955797
182,Costa Rica,2021,455333346,5153957
183,Taiwan,2018,452636188,23942969
184,Costa Rica,2019,445764447,5153957
185,Taiwan,2017,433914893,23942969
186,Portugal,2017,430359422,10325147
187,Hong Kong,2021,422077405,7481000
188,Paraguay,2019,411980464,6703799
189,Ecuador,2018,407573577,17797737
190,Israel,2020,385356199,9364000
191,Guatemala,2019,383429003,17109746
192,Bolivia,2021,379690676,12079472
193,Greece,2020,371779395,10641221
194,Costa Rica,2018,365313936,5153957
195,Hungary,2021,364538430,9709891
196,Hong Kong,2020,358828665,7481000
197,Czech Republic,2019,354891927,10505772
198,Costa Rica,2017,353731059,5153957
199,South Africa,2021,349128456,59392255
200,Hungary,2020,341681188,9709891
201,Austria,2017,333840016,8955797
202,Ukraine,2021,333264348,43792855
203,Uruguay,2021,331419473,3426260
204,Hong Kong,2019,327258535,7481000
205,Thailand,2018,324574005,71601103
206,Bolivia,2020,314910011,12079472
207,El Salvador,2021,310961074,6314167
208,Uruguay,2020,309460689,3426260
209,Ecuador,2017,309275981,17797737
210,Japan,2017,304515792,125681593
211,Hong Kong,2018,289572782,7481000
212,Hong Kong,2017,288253782,7481000
213,Dominican Republic,2020,287696464,11117873
214,Dominican Republic,2021,280120547,11117873
215,El Salvador,2020,279150007,6314167
216,Panama,2020,278137921,4351267
217,Uruguay,2019,275421513,3426260
218,Morocco,2021,272761567,37076584
219,Israel,2019,272754002,9364000
220,Panama,2021,267968503,4351267
221,Hungary,2019,266308702,9709891
222,Paraguay,2018,261078166,6703799
223,Czech Republic,2018,257939283,10505772
224,Panama,2019,256947505,4351267
225,South Africa,2020,252677213,59392255
226,Romania,2021,252246469,19119880
227,Saudi Arabia,2021,250247626,35950396
228,Romania,2020,248738364,19119880
229,Dominican Republic,2019,247942772,11117873
230,Vietnam,2019,243142896,97468029
231,Bolivia,2019,236252662,12079472
232,Guatemala,2018,232749541,17109746
233,Saudi Arabia,2020,228152156,35950396
234,Honduras,2021,224355098,10278345
235,Greece,2019,219062896,10641221
236,Uruguay,2018,217593560,3426260
237,Honduras,2020,217036330,10278345
238,Czech Republic,2017,203169178,10505772
239,Egypt,2021,202940120,107465134
240,Slovakia,2020,199637602,5447247
241,Hungary,2018,197669439,9709891
242,Slovakia,2021,194395742,5447247
243,El Salvador,2019,189197350,6314167
244,Uruguay,2017,188934839,3426260
245,Dominican Republic,2018,186095288,11117873
246,Romania,2019,177798442,19119880
247,Guatemala,2017,171952354,17109746
248,Panama,2018,168039524,4351267
249,United Arab Emirates,2021,163635143,9365145
250,Paraguay,2017,161118785,6703799
251,South Korea,2021,160064720,51836239
252,South Africa,2019,154700805,59392255
253,Honduras,2019,150468701,10278345
254,Dominican Republic,2017,149841021,11117873
255,Hungary,2017,148816924,9709891
256,Bolivia,2018,145785505,12079472
257,Slovakia,2019,139776971,5447247
258,Panama,2017,127442932,4351267
259,Morocco,2020,125595370,37076584
260,El Salvador,2018,109883321,6314167
261,United Arab Emirates,2020,107873986,9365145
262,Lithuania,2021,106754125,2800839
263,Israel,2018,105866327,9364000
264,Iceland,2019,105416212,372520
265,Nicaragua,2021,103745963,6850540
266,Ukraine,2020,103412215,43792855
267,Egypt,2020,103003397,107465134
268,Iceland,2018,99343933,372520
