,artist,region,stream,year,Rank
2775,Khalid,Global,1312113028,2019,6
2776,Sam Smith,Global,1263224692,2019,7
2777,XXXTENTACION,Global,1233752003,2019,8
2778,Taylor Swift,Global,1179359054,2019,9
2779,Queen,Global,1165436978,2019,10
2780,Olivia Rodrigo,Global,4995366282,2021,1
2781,Doja Cat,Global,2738570054,2021,2
2782,The Weeknd,Global,2637264224,2021,3
2783,Lil Nas X,Global,2492471969,2021,4
2784,Justin Bieber,Global,2387214347,2021,5
2785,Ed Sheeran,Global,2174115200,2021,6
2786,Dua Lipa,Global,2158522446,2021,7
2787,Billie Eilish,Global,2109371865,2021,8
2788,Drake,Global,1859539135,2021,9
2789,The Kid LAROI,Global,1788797229,2021,10
2790,Drake,Greece,4903320,2018,1
2791,XXXTENTACION,Greece,3418605,2018,2
2792,Ariana Grande,Greece,3309347,2018,3
2793,Eminem,Greece,2707117,2018,4
2794,Post Malone,Greece,2603240,2018,5
2795,Travis Scott,Greece,2015936,2018,6
2796,Imagine Dragons,Greece,1732289,2018,7
2797,Dua Lipa,Greece,1676368,2018,8
2798,Camila Cabello,Greece,1433898,2018,9
2799,The Weeknd,Greece,1344025,2018,10
2800,Ed Sheeran,Hong Kong,15075796,2017,1
2801,Dear Jane,Hong Kong,6842154,2017,2
2802,Charlie Puth,Hong Kong,6148791,2017,3
2803,Jason Chan,Hong Kong,5216972,2017,4
2804,The Chainsmokers,Hong Kong,4778301,2017,5
2805,Supper Moment,Hong Kong,4513953,2017,6
2806,Bruno Mars,Hong Kong,4243344,2017,7
2807,Jay Chou,Hong Kong,4139266,2017,8
2808,Charmaine Fong,Hong Kong,4072808,2017,9
2809,Clean Bandit,Hong Kong,3922314,2017,10
2810,Dear Jane,Hong Kong,13249456,2020,1
2811,BLACKPINK,Hong Kong,11590755,2020,2
2812,Eason Chan,Hong Kong,8964524,2020,3
2813,BTS,Hong Kong,7935989,2020,4
2814,Hins Cheung,Hong Kong,7268391,2020,5
2815,Ed Sheeran,Hong Kong,7153835,2020,6
2816,Billie Eilish,Hong Kong,7117163,2020,7
2817,Ariana Grande,Hong Kong,6468780,2020,8
2818,Justin Bieber,Hong Kong,6338824,2020,9
2819,Eric Chou,Hong Kong,5788723,2020,10
2820,Follow The Flow,Hungary,8825426,2020,1
2821,Billie Eilish,Hungary,8671069,2020,2
2822,Dua Lipa,Hungary,8566892,2020,3
2823,Juice WRLD,Hungary,7823398,2020,4
2824,Ava Max,Hungary,7777915,2020,5
2825,The Weeknd,Hungary,7459221,2020,6
2826,Bagossy Brothers Company,Hungary,6642562,2020,7
2827,Travis Scott,Hungary,5937171,2020,8
2828,SAINt JHN,Hungary,5479560,2020,9
2829,Eminem,Hungary,5215258,2020,10
2830,Billie Eilish,Iceland,6995423,2019,1
2831,Ed Sheeran,Iceland,3502805,2019,2
2832,Post Malone,Iceland,3415302,2019,3
2833,Herra Hnetusmjör,Iceland,3290043,2019,4
2834,Floni,Iceland,3265929,2019,5
2835,"Herra Hnetusmjör, Huginn",Iceland,3195207,2019,6
2836,"ClubDub, Ra:tio",Iceland,3122049,2019,7
2837,Ariana Grande,Iceland,2937432,2019,8
2838,Auður,Iceland,2501657,2019,9
2839,Huginn,Iceland,1815450,2019,10
2840,Post Malone,India,33804506,2019,1
2841,"Shawn Mendes, Camila Cabello",India,24224127,2019,2
2842,"Arijit Singh, Mithoon",India,21425900,2019,3
2843,Arijit Singh,India,20403235,2019,4
2844,Billie Eilish,India,19401005,2019,5
2845,"Sachet Tandon, Sachet-Parampara",India,17380880,2019,6
2846,"Pritam, Arijit Singh",India,16770574,2019,7
2847,"Akhil, Dhvani Bhanushali, Abhijit Vaghani, Bob",India,16084459,2019,8
2848,"Arijit Singh, Asees Kaur",India,15745884,2019,9
2849,Badshah,India,15269064,2019,10
2850,Ed Sheeran,Indonesia,64286517,2017,1
2851,Payung Teduh,Indonesia,30628554,2017,2
2852,Bruno Mars,Indonesia,30567625,2017,3
2853,Charlie Puth,Indonesia,24598219,2017,4
2854,Clean Bandit,Indonesia,24550446,2017,5
2855,BTS,Indonesia,17343273,2017,6
2856,Tulus,Indonesia,17027582,2017,7
2857,"The Chainsmokers, Coldplay",Indonesia,16545355,2017,8
2858,The Chainsmokers,Indonesia,16087923,2017,9
2859,Imagine Dragons,Indonesia,15375274,2017,10
2860,Pamungkas,Indonesia,205848038,2020,1
2861,BTS,Indonesia,137728746,2020,2
2862,Andmesh,Indonesia,110085113,2020,3
2863,Fiersa Besari,Indonesia,105772722,2020,4
2864,Hindia,Indonesia,104002679,2020,5
2865,BLACKPINK,Indonesia,103473231,2020,6
2866,Lewis Capaldi,Indonesia,95210129,2020,7
2867,Ardhito Pramono,Indonesia,94025428,2020,8
2868,Justin Bieber,Indonesia,82961717,2020,9
2869,Mahen,Indonesia,75216220,2020,10
2870,Olivia Rodrigo,Ireland,51111349,2021,1
2871,Ed Sheeran,Ireland,26065780,2021,2
2872,Dermot Kennedy,Ireland,20233655,2021,3
2873,Doja Cat,Ireland,19135338,2021,4
2874,Lil Nas X,Ireland,18011371,2021,5
2875,Adele,Ireland,16985657,2021,6
2876,The Kid LAROI,Ireland,16374345,2021,7
2877,Dua Lipa,Ireland,15973709,2021,8
2878,The Weeknd,Ireland,15853012,2021,9
2879,Justin Bieber,Ireland,15828079,2021,10
2880,tha Supreme,Italy,177484268,2020,1
2881,Ghali,Italy,161604567,2020,2
2882,Sfera Ebbasta,Italy,144029398,2020,3
2883,Marracash,Italy,120865929,2020,4
2884,Ernia,Italy,102453460,2020,5
2885,Pinguini Tattici Nucleari,Italy,94654289,2020,6
2886,Irama,Italy,93061313,2020,7
2887,Ultimo,Italy,88837202,2020,8
2888,Lazza,Italy,88659075,2020,9
2889,Mahmood,Italy,82273521,2020,10
2890,BLANCO,Italy,276454011,2021,1
2891,sangiovanni,Italy,222021895,2021,2
2892,Måneskin,Italy,212289875,2021,3
2893,Madame,Italy,156643634,2021,4
2894,Capo Plaza,Italy,137196026,2021,5
2895,Pinguini Tattici Nucleari,Italy,124939773,2021,6
2896,Salmo,Italy,119600993,2021,7
2897,MACE,Italy,108038747,2021,8
2898,Sfera Ebbasta,Italy,105953454,2021,9
2899,Rkomi,Italy,104684806,2021,10
2900,Drake,Lithuania,1345627,2018,1
2901,XXXTENTACION,Lithuania,1248859,2018,2
2902,Post Malone,Lithuania,1210326,2018,3
2903,Ariana Grande,Lithuania,1114212,2018,4
2904,Eminem,Lithuania,603130,2018,5
2905,Calvin Harris,Lithuania,569483,2018,6
2906,Dennis Lloyd,Lithuania,564020,2018,7
2907,"Dynoro, Gigi D'Agostino",Lithuania,537957,2018,8
2908,Clean Bandit,Lithuania,521765,2018,9
2909,Queen,Lithuania,508337,2018,10
2910,Billie Eilish,Lithuania,4398051,2019,1
2911,Post Malone,Lithuania,2150695,2019,2
2912,Ariana Grande,Lithuania,1947486,2019,3
2913,Ed Sheeran,Lithuania,1686719,2019,4
2914,Tones And I,Lithuania,1195345,2019,5
2915,Sam Smith,Lithuania,1122577,2019,6
2916,Lil Nas X,Lithuania,1120270,2019,7
2917,"Shawn Mendes, Camila Cabello",Lithuania,922171,2019,8
2918,Lewis Capaldi,Lithuania,765109,2019,9
2919,Queen,Lithuania,626798,2019,10
2920,Måneskin,Lithuania,9776153,2021,1
2921,Doja Cat,Lithuania,3249425,2021,2
2922,The Weeknd,Lithuania,3190152,2021,3
2923,Olivia Rodrigo,Lithuania,2762221,2021,4
2924,Lil Nas X,Lithuania,2682327,2021,5
2925,Billie Eilish,Lithuania,2260067,2021,6
2926,Dua Lipa,Lithuania,2229345,2021,7
2927,"Justinas Jarutis, Jessica Shy",Lithuania,1726583,2021,8
2928,Ed Sheeran,Lithuania,1613780,2021,9
2929,The Kid LAROI,Lithuania,1411813,2021,10
2930,Pop Smoke,Luxembourg,240274,2020,1
2931,Michael Bublé,Luxembourg,102663,2020,2
2932,Ariana Grande,Luxembourg,86216,2020,3
2933,Mariah Carey,Luxembourg,80729,2020,4
2934,The Weeknd,Luxembourg,68647,2020,5
2935,Justin Bieber,Luxembourg,66460,2020,6
2936,DaBaby,Luxembourg,63992,2020,7
2937,Wham!,Luxembourg,63577,2020,8
2938,Dean Martin,Luxembourg,52392,2020,9
2939,24kGoldn,Luxembourg,50752,2020,10
2940,Maluma,Mexico,192912141,2017,1
2941,Ed Sheeran,Mexico,174074228,2017,2
2942,Ozuna,Mexico,169811278,2017,3
2943,Danny Ocean,Mexico,129703973,2017,4
2944,Nicky Jam,Mexico,117741573,2017,5
2945,Shakira,Mexico,116165805,2017,6
2946,Luis Fonsi,Mexico,99063182,2017,7
2947,Piso 21,Mexico,97965748,2017,8
2948,Manuel Turizo,Mexico,85271462,2017,9
2949,Zion & Lennox,Mexico,78767309,2017,10
2950,Luis Miguel,Mexico,265887006,2018,1
2951,Maluma,Mexico,190255106,2018,2
2952,Ozuna,Mexico,178509283,2018,3
2953,Banda MS de Sergio Lizárraga,Mexico,155933475,2018,4
2954,Danny Ocean,Mexico,148543136,2018,5
2955,Piso 21,Mexico,142080514,2018,6
2956,Bad Bunny,Mexico,129352853,2018,7
2957,Manuel Turizo,Mexico,114679944,2018,8
2958,"Nicky Jam, J Balvin",Mexico,106590535,2018,9
2959,Reik,Mexico,103015304,2018,10
2960,Ed Sheeran,Netherlands,170174108,2017,1
2961,Lil Kleine,Netherlands,83758920,2017,2
2962,Boef,Netherlands,63169751,2017,3
2963,Clean Bandit,Netherlands,48435983,2017,4
2964,Broederliefde,Netherlands,44940770,2017,5
2965,Imagine Dragons,Netherlands,35273974,2017,6
2966,"Lil Kleine, Boef",Netherlands,34655841,2017,7
2967,Equalz,Netherlands,34523852,2017,8
2968,"Ronnie Flex, Frenna",Netherlands,33939950,2017,9
2969,DJ Khaled,Netherlands,32996827,2017,10
2970,Ed Sheeran,New Zealand,58211713,2017,1
2971,Kendrick Lamar,New Zealand,20586343,2017,2
2972,Khalid,New Zealand,13192740,2017,3
2973,Lorde,New Zealand,12772052,2017,4
2974,Bruno Mars,New Zealand,12539391,2017,5
2975,Imagine Dragons,New Zealand,12272194,2017,6
2976,"Calvin Harris, Funk Wav",New Zealand,12085134,2017,7
2977,Drake,New Zealand,11037445,2017,8
2978,DJ Khaled,New Zealand,10782312,2017,9
2979,Major Lazer,New Zealand,9993885,2017,10
2980,SIX60,New Zealand,44570868,2021,1
2981,Olivia Rodrigo,New Zealand,34260227,2021,2
2982,L.A.B.,New Zealand,28339935,2021,3
2983,Doja Cat,New Zealand,22661249,2021,4
2984,Ed Sheeran,New Zealand,20777662,2021,5
2985,Justin Bieber,New Zealand,20043093,2021,6
2986,The Kid LAROI,New Zealand,14914880,2021,7
2987,Lil Nas X,New Zealand,14758733,2021,8
2988,Dua Lipa,New Zealand,13857222,2021,9
2989,Fleetwood Mac,New Zealand,13837538,2021,10
2990,Ed Sheeran,Norway,90062963,2017,1
2991,Astrid S,Norway,44317048,2017,2
2992,Kygo,Norway,35204227,2017,3
2993,Alan Walker,Norway,31440612,2017,4
2994,Clean Bandit,Norway,30107452,2017,5
2995,"Luis Fonsi, Daddy Yankee, Justin Bieber",Norway,29766066,2017,6
2996,Cezinando,Norway,27686999,2017,7
2997,Imagine Dragons,Norway,26817428,2017,8
2998,Freddy Kalas,Norway,23221819,2017,9
2999,"Hkeem, Temur",Norway,20515939,2017,10
3000,Bad Bunny,Panama,18827054,2020,1
3001,Boza,Panama,9968955,2020,2
3002,J Balvin,Panama,8005828,2020,3
3003,Myke Towers,Panama,6731196,2020,4
3004,Camilo,Panama,5947811,2020,5
3005,Maluma,Panama,5226312,2020,6
3006,Sech,Panama,4578957,2020,7
3007,Rauw Alejandro,Panama,4437582,2020,8
3008,Anuel AA,Panama,4112336,2020,9
3009,"KAROL G, Nicki Minaj",Panama,3667195,2020,10
3010,Paulo Londra,Paraguay,17814303,2019,1
3011,Bad Bunny,Paraguay,10642381,2019,2
3012,"J Balvin, Bad Bunny",Paraguay,7954582,2019,3
3013,"Bad Bunny, Tainy",Paraguay,6290257,2019,4
3014,"Sech, Darell",Paraguay,5974025,2019,5
3015,Maluma,Paraguay,5693132,2019,6
3016,"Anuel AA, KAROL G",Paraguay,5553081,2019,7
3017,"Lunay, Daddy Yankee, Bad Bunny",Paraguay,5218461,2019,8
3018,Ozuna,Paraguay,5193397,2019,9
3019,"DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago",Paraguay,5111441,2019,10
3020,Paulo Londra,Peru,58929939,2019,1
3021,Maluma,Peru,44381363,2019,2
3022,"J Balvin, Bad Bunny",Peru,34430321,2019,3
3023,Bad Bunny,Peru,32501268,2019,4
3024,Daniela Darcourt,Peru,30533501,2019,5
3025,"Mau y Ricky, Manuel Turizo, Camilo",Peru,29141737,2019,6
3026,"Piso 21, Micro TDH",Peru,25629608,2019,7
3027,"Anuel AA, KAROL G",Peru,24693334,2019,8
3028,"Daddy Yankee, Snow",Peru,23687673,2019,9
3029,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Peru,23562898,2019,10
3030,Aseel Hameem,Saudi Arabia,4785214,2019,1
3031,Post Malone,Saudi Arabia,3288928,2019,2
3032,XXXTENTACION,Saudi Arabia,3243051,2019,3
3033,Billie Eilish,Saudi Arabia,3043644,2019,4
3034,Imagine Dragons,Saudi Arabia,2076604,2019,5
3035,Ed Sheeran,Saudi Arabia,1882674,2019,6
3036,Lil Nas X,Saudi Arabia,1793051,2019,7
3037,Fahed Bin Fasla,Saudi Arabia,1607642,2019,8
3038,"Shawn Mendes, Camila Cabello",Saudi Arabia,1538166,2019,9
3039,Halsey,Saudi Arabia,1497584,2019,10
3040,Abdullah Al Farwan,Saudi Arabia,13402298,2021,1
3041,Lil Nas X,Saudi Arabia,6713684,2021,2
3042,Doja Cat,Saudi Arabia,6152310,2021,3
3043,غريب ال مخلص,Saudi Arabia,5964007,2021,4
3044,XXXTENTACION,Saudi Arabia,5313229,2021,5
3045,Aseel Hameem,Saudi Arabia,5178313,2021,6
3046,The Weeknd,Saudi Arabia,4782883,2021,7
3047,Olivia Rodrigo,Saudi Arabia,4697293,2021,8
3048,Masked Wolf,Saudi Arabia,4614272,2021,9
3049,Dua Lipa,Saudi Arabia,4306385,2021,10
3050,Ed Sheeran,Singapore,24992091,2018,1
3051,JJ Lin,Singapore,22609266,2018,2
3052,BTS,Singapore,17280855,2018,3
3053,Ariana Grande,Singapore,16690075,2018,4
3054,Jay Chou,Singapore,16613938,2018,5
3055,Lauv,Singapore,15214394,2018,6
3056,Eric Chou,Singapore,15083735,2018,7
3057,BLACKPINK,Singapore,14016458,2018,8
3058,Camila Cabello,Singapore,13654776,2018,9
3059,Drake,Singapore,12598933,2018,10
3060,Imagine Dragons,Slovakia,2678009,2018,1
3061,Post Malone,Slovakia,2352958,2018,2
3062,Ego,Slovakia,2155899,2018,3
3063,XXXTENTACION,Slovakia,1937994,2018,4
3064,Eminem,Slovakia,1871159,2018,5
3065,Drake,Slovakia,1684241,2018,6
3066,Ariana Grande,Slovakia,1440343,2018,7
3067,Dua Lipa,Slovakia,1387392,2018,8
3068,Clean Bandit,Slovakia,1014431,2018,9
3069,Camila Cabello,Slovakia,956410,2018,10
3070,Separ,Slovakia,5247689,2020,1
3071,The Weeknd,Slovakia,4490666,2020,2
3072,Nerieš,Slovakia,4425634,2020,3
3073,Billie Eilish,Slovakia,3992346,2020,4
3074,Kontrafakt,Slovakia,3666092,2020,5
3075,Dua Lipa,Slovakia,3349092,2020,6
3076,DMS,Slovakia,3196353,2020,7
3077,Travis Scott,Slovakia,3177990,2020,8
3078,Harry Styles,Slovakia,2998318,2020,9
3079,Ego,Slovakia,2884900,2020,10
3080,Drake,South Africa,2317784,2018,1
3081,Post Malone,South Africa,1421532,2018,2
3082,XXXTENTACION,South Africa,1377841,2018,3
3083,Ariana Grande,South Africa,1167431,2018,4
3084,Eminem,South Africa,1053778,2018,5
3085,Khalid,South Africa,1041601,2018,6
3086,Travis Scott,South Africa,872726,2018,7
3087,benny blanco,South Africa,683458,2018,8
3088,5 Seconds of Summer,South Africa,672651,2018,9
3089,Imagine Dragons,South Africa,669519,2018,10
3090,Juice WRLD,South Africa,9051290,2020,1
3091,Pop Smoke,South Africa,8291706,2020,2
3092,Billie Eilish,South Africa,6318909,2020,3
3093,Drake,South Africa,6134890,2020,4
3094,The Weeknd,South Africa,5416903,2020,5
3095,Ed Sheeran,South Africa,5044701,2020,6
3096,Lewis Capaldi,South Africa,4357890,2020,7
3097,Harry Styles,South Africa,4247685,2020,8
3098,Justin Bieber,South Africa,4174800,2020,9
3099,Travis Scott,South Africa,4049067,2020,10
3100,Ed Sheeran,Sweden,213629590,2017,1
3101,Zara Larsson,Sweden,66130965,2017,2
3102,Hov1,Sweden,57170501,2017,3
3103,Avicii,Sweden,53580245,2017,4
3104,Clean Bandit,Sweden,52993216,2017,5
3105,"Luis Fonsi, Daddy Yankee, Justin Bieber",Sweden,49061197,2017,6
3106,Imagine Dragons,Sweden,42789430,2017,7
3107,"Joakim Lundell, Arrhult",Sweden,38857438,2017,8
3108,Kygo,Sweden,34588088,2017,9
3109,"The Chainsmokers, Coldplay",Sweden,33630988,2017,10
3110,Molly Sandén,Sweden,98685186,2019,1
3111,Einár,Sweden,94124441,2019,2
3112,Billie Eilish,Sweden,92495860,2019,3
3113,Avicii,Sweden,80367367,2019,4
3114,Hov1,Sweden,75006311,2019,5
3115,Post Malone,Sweden,70574051,2019,6
3116,Ed Sheeran,Sweden,68968874,2019,7
3117,Ant Wan,Sweden,62616089,2019,8
3118,Veronica Maggio,Sweden,59317140,2019,9
3119,Z.E,Sweden,47946340,2019,10
3120,XXXTENTACION,Switzerland,17270886,2018,1
3121,Drake,Switzerland,16143144,2018,2
3122,Capital Bra,Switzerland,14684785,2018,3
3123,Post Malone,Switzerland,12630066,2018,4
3124,Imagine Dragons,Switzerland,10532446,2018,5
3125,Ed Sheeran,Switzerland,10520929,2018,6
3126,Eminem,Switzerland,10442228,2018,7
3127,Lo & Leduc,Switzerland,9509757,2018,8
3128,"Bonez MC, RAF Camora",Switzerland,7758342,2018,9
3129,Ariana Grande,Switzerland,7235290,2018,10
3130,Billie Eilish,Switzerland,20051919,2019,1
3131,Capital Bra,Switzerland,17908916,2019,2
3132,Ed Sheeran,Switzerland,17587030,2019,3
3133,Post Malone,Switzerland,15431280,2019,4
3134,Ariana Grande,Switzerland,12115686,2019,5
3135,"Capital Bra, Samra",Switzerland,11988699,2019,6
3136,MERO,Switzerland,10816013,2019,7
3137,Lewis Capaldi,Switzerland,9572841,2019,8
3138,Apache 207,Switzerland,9512211,2019,9
3139,Lil Nas X,Switzerland,8906055,2019,10
3140,Polycat,Thailand,26768263,2019,1
3141,BLACKPINK,Thailand,22904113,2019,2
3142,WANYAi,Thailand,19910331,2019,3
3143,Lipta,Thailand,18831810,2019,4
3144,MEAN,Thailand,15587098,2019,5
3145,The Toys,Thailand,14427251,2019,6
3146,Ariana Grande,Thailand,14357513,2019,7
3147,Whal & Dolph,Thailand,13617818,2019,8
3148,Ink Waruntorn,Thailand,12967390,2019,9
3149,BTS,Thailand,12619011,2019,10
3150,"Murda, Ezhel",Turkey,133929539,2020,1
3151,Yüzyüzeyken Konuşuruz,Turkey,105876107,2020,2
3152,Gazapizm,Turkey,86647764,2020,3
3153,Ezhel,Turkey,84975844,2020,4
3154,Reynmen,Turkey,77840360,2020,5
3155,Zeynep Bastık,Turkey,76055355,2020,6
3156,Emir Can İğrek,Turkey,71582820,2020,7
3157,Sezen Aksu,Turkey,61091593,2020,8
3158,Adamlar,Turkey,58216943,2020,9
3159,Patron,Turkey,56575854,2020,10
3160,UZI,Turkey,195793053,2021,1
3161,Ezhel,Turkey,115591125,2021,2
3162,Madrigal,Turkey,88406381,2021,3
3163,Yüzyüzeyken Konuşuruz,Turkey,85105632,2021,4
3164,Sefo,Turkey,80804057,2021,5
3165,Kaan Boşnak,Turkey,76034973,2021,6
3166,Duman,Turkey,70929366,2021,7
3167,EDIS,Turkey,69459082,2021,8
3168,Emir Can İğrek,Turkey,67520212,2021,9
3169,cakal,Turkey,64355479,2021,10
3170,Post Malone,United States,1931113925,2018,1
3171,XXXTENTACION,United States,1790548850,2018,2
3172,Drake,United States,1774128417,2018,3
3173,Travis Scott,United States,917010135,2018,4
3174,Juice WRLD,United States,758940625,2018,5
3175,Khalid,United States,594271528,2018,6
3176,Ariana Grande,United States,580994870,2018,7
3177,Kendrick Lamar,United States,528671334,2018,8
3178,Cardi B,United States,437917684,2018,9
3179,Lil Skies,United States,402831519,2018,10
3180,Juice WRLD,United States,1738954501,2020,1
3181,DaBaby,United States,793567472,2020,2
3182,Lil Uzi Vert,United States,783716364,2020,3
3183,Post Malone,United States,683655595,2020,4
3184,Pop Smoke,United States,678966586,2020,5
3185,Taylor Swift,United States,662154491,2020,6
3186,The Weeknd,United States,633150088,2020,7
3187,Billie Eilish,United States,630715955,2020,8
3188,Roddy Ricch,United States,629206134,2020,9
3189,Lil Baby,United States,554888478,2020,10
3190,Mỹ Tâm,Vietnam,5477539,2018,1
3191,BTS,Vietnam,4833347,2018,2
3192,Ed Sheeran,Vietnam,1617231,2018,3
3193,Ariana Grande,Vietnam,1392611,2018,4
3194,Bich Phuong,Vietnam,1268748,2018,5
3195,Charlie Puth,Vietnam,1198584,2018,6
3196,BLACKPINK,Vietnam,1174403,2018,7
3197,MIN,Vietnam,901633,2018,8
3198,Camila Cabello,Vietnam,899032,2018,9
3199,Vũ.,Vietnam,872431,2018,10
3200,BTS,Vietnam,11647705,2019,1
3201,Ariana Grande,Vietnam,8900010,2019,2
3202,Billie Eilish,Vietnam,8339526,2019,3
3203,Taylor Swift,Vietnam,7953252,2019,4
3204,Hoang Thuy Linh,Vietnam,7631292,2019,5
3205,Ed Sheeran,Vietnam,7339412,2019,6
3206,Mỹ Tâm,Vietnam,6744573,2019,7
3207,BLACKPINK,Vietnam,6059451,2019,8
3208,Vũ.,Vietnam,5774835,2019,9
3209,"Shawn Mendes, Camila Cabello",Vietnam,4973480,2019,10
