,artist,region,n,date,Rank
0,Ed Sheeran,Australia,10,2017-02,1
1,Adele,Australia,7,2017-02,2
2,J. Cole,Australia,5,2017-02,3
3,Zara Larsson,Australia,4,2017-02,4
4,Tash Sultana,Australia,4,2017-02,5
5,Major Lazer,Australia,4,2017-02,6
6,Sia,Australia,4,2017-02,7
7,Bruno Mars,Australia,3,2017-02,8
8,Justin Bieber,Australia,3,2017-02,9
9,Milky Chance,Australia,3,2017-02,10
10,Ed Sheeran,Australia,18,2017-05,1
11,Kendrick Lamar,Australia,15,2017-05,2
12,Harry Styles,Australia,10,2017-05,3
13,The Chainsmokers,Australia,5,2017-05,4
14,Calvin Harris,Australia,5,2017-05,5
15,Drake,Australia,5,2017-05,6
16,Shawn Mendes,Australia,4,2017-05,7
17,Major Lazer,Australia,3,2017-05,8
18,Soundgarden,Australia,3,2017-05,9
19,Zara Larsson,Australia,3,2017-05,10
20,XXXTENTACION,Australia,9,2017-09,1
21,Ed Sheeran,Australia,9,2017-09,2
22,BTS,Australia,7,2017-09,3
23,Sam Smith,Australia,4,2017-09,4
24,Foo Fighters,Australia,4,2017-09,5
25,Vance Joy,Australia,4,2017-09,6
26,Kendrick Lamar,Australia,4,2017-09,7
27,Taylor Swift,Australia,4,2017-09,8
28,Khalid,Australia,3,2017-09,9
29,Macklemore,Australia,3,2017-09,10
30,Post Malone,Australia,21,2018-04,1
31,Avicii,Australia,16,2018-04,2
32,J. Cole,Australia,13,2018-04,3
33,Ed Sheeran,Australia,10,2018-04,4
34,Cardi B,Australia,9,2018-04,5
35,XXXTENTACION,Australia,9,2018-04,6
36,The Weeknd,Australia,5,2018-04,7
37,Kendrick Lamar,Australia,4,2018-04,8
38,Khalid,Australia,4,2018-04,9
39,Vance Joy,Australia,4,2018-04,10
40,DaBaby,Australia,10,2020-04,1
41,Dua Lipa,Australia,8,2020-04,2
42,The Weeknd,Australia,8,2020-04,3
43,Post Malone,Australia,6,2020-04,4
44,Sam Smith,Australia,6,2020-04,5
45,Billie Eilish,Australia,6,2020-04,6
46,Juice WRLD,Australia,5,2020-04,7
47,5 Seconds of Summer,Australia,5,2020-04,8
48,Ed Sheeran,Australia,5,2020-04,9
49,Travis Scott,Australia,5,2020-04,10
50,Lady Gaga,Australia,16,2020-05,1
51,Drake,Australia,14,2020-05,2
52,KSI,Australia,12,2020-05,3
53,Ed Sheeran,Australia,6,2020-05,4
54,Juice WRLD,Australia,6,2020-05,5
55,Hp Boyz,Australia,5,2020-05,6
56,Billie Eilish,Australia,5,2020-05,7
57,Post Malone,Australia,5,2020-05,8
58,Sam Smith,Australia,5,2020-05,9
59,Doja Cat,Australia,4,2020-05,10
60,Ariana Grande,Australia,16,2020-11,1
61,The Kid LAROI,Australia,11,2020-11,2
62,Pop Smoke,Australia,7,2020-11,3
63,BTS,Australia,7,2020-11,4
64,Juice WRLD,Australia,6,2020-11,5
65,Miley Cyrus,Australia,6,2020-11,6
66,ONEFOUR,Australia,6,2020-11,7
67,Billie Eilish,Australia,5,2020-11,8
68,Ed Sheeran,Australia,5,2020-11,9
69,Justin Bieber,Australia,4,2020-11,10
70,Michael Bublé,Australia,19,2020-12,1
71,Taylor Swift,Australia,19,2020-12,2
72,Juice WRLD,Australia,7,2020-12,3
73,Ariana Grande,Australia,7,2020-12,4
74,Pop Smoke,Australia,7,2020-12,5
75,The Kid LAROI,Australia,7,2020-12,6
76,Mariah Carey,Australia,6,2020-12,7
77,Ed Sheeran,Australia,6,2020-12,8
78,Kid Cudi,Australia,6,2020-12,9
79,Miley Cyrus,Australia,5,2020-12,10
80,Pop Smoke,Australia,8,2021-02,1
81,Ed Sheeran,Australia,7,2021-02,2
82,Billie Eilish,Australia,6,2021-02,3
83,Juice WRLD,Australia,6,2021-02,4
84,Ariana Grande,Australia,6,2021-02,5
85,The Kid LAROI,Australia,5,2021-02,6
86,Taylor Swift,Australia,4,2021-02,7
87,Dua Lipa,Australia,4,2021-02,8
88,Harry Styles,Australia,4,2021-02,9
89,Fleetwood Mac,Australia,4,2021-02,10
90,Justin Bieber,Australia,16,2021-03,1
91,Pop Smoke,Australia,8,2021-03,2
92,Ed Sheeran,Australia,7,2021-03,3
93,Juice WRLD,Australia,6,2021-03,4
94,The Kid LAROI,Australia,6,2021-03,5
95,Billie Eilish,Australia,5,2021-03,6
96,Ariana Grande,Australia,5,2021-03,7
97,Taylor Swift,Australia,4,2021-03,8
98,Fleetwood Mac,Australia,4,2021-03,9
99,Harry Styles,Australia,4,2021-03,10
100,Kanye West,Australia,30,2021-08,1
101,Billie Eilish,Australia,18,2021-08,2
102,Lorde,Australia,12,2021-08,3
103,Ed Sheeran,Australia,9,2021-08,4
104,The Kid LAROI,Australia,9,2021-08,5
105,Olivia Rodrigo,Australia,9,2021-08,6
106,Doja Cat,Australia,6,2021-08,7
107,Trippie Redd,Australia,5,2021-08,8
108,Juice WRLD,Australia,5,2021-08,9
109,Pop Smoke,Australia,4,2021-08,10
110,Eminem,Austria,20,2017-12,1
111,Michael Bublé,Austria,17,2017-12,2
112,RAF Camora,Austria,12,2017-12,3
113,Ed Sheeran,Austria,7,2017-12,4
114,"Huncho Jack, Travis Scott, Quavo",Austria,5,2017-12,5
115,Dean Martin,Austria,4,2017-12,6
116,Stevie Wonder,Austria,4,2017-12,7
117,Pentatonix,Austria,4,2017-12,8
118,Post Malone,Austria,3,2017-12,9
119,Kamaliya,Austria,3,2017-12,10
120,Camila Cabello,Austria,9,2018-01,1
121,Ed Sheeran,Austria,7,2018-01,2
122,Migos,Austria,7,2018-01,3
123,RAF Camora,Austria,7,2018-01,4
124,Fall Out Boy,Austria,5,2018-01,5
125,Eminem,Austria,5,2018-01,6
126,RIN,Austria,4,2018-01,7
127,The Cranberries,Austria,3,2018-01,8
128,Imagine Dragons,Austria,3,2018-01,9
129,Azet,Austria,3,2018-01,10
130,Ed Sheeran,Austria,16,2019-07,1
131,Shindy,Austria,15,2019-07,2
132,Billie Eilish,Austria,7,2019-07,3
133,MERO,Austria,6,2019-07,4
134,Capital Bra,Austria,5,2019-07,5
135,Samra,Austria,4,2019-07,6
136,Fero47,Austria,4,2019-07,7
137,Post Malone,Austria,4,2019-07,8
138,Lil Nas X,Austria,4,2019-07,9
139,Dardan,Austria,4,2019-07,10
140,"Capital Bra, Samra",Austria,14,2019-10,1
141,Apache 207,Austria,12,2019-10,2
142,Post Malone,Austria,10,2019-10,3
143,Kanye West,Austria,6,2019-10,4
144,RAF Camora,Austria,6,2019-10,5
145,Sido,Austria,6,2019-10,6
146,Billie Eilish,Austria,5,2019-10,7
147,Summer Cem,Austria,5,2019-10,8
148,RIN,Austria,4,2019-10,9
149,Shirin David,Austria,4,2019-10,10
150,Justin Bieber,Austria,16,2020-02,1
151,BTS,Austria,11,2020-02,2
152,Gzuz,Austria,9,2020-02,3
153,Billie Eilish,Austria,8,2020-02,4
154,AnnenMayKantereit,Austria,8,2020-02,5
155,Apache 207,Austria,7,2020-02,6
156,RIN,Austria,5,2020-02,7
157,Reynmen,Austria,5,2020-02,8
158,Jamule,Austria,4,2020-02,9
159,Capital Bra,Austria,4,2020-02,10
160,Apache 207,Austria,14,2020-08,1
161,Juice WRLD,Austria,8,2020-08,2
162,TJ_beastboy,Austria,8,2020-08,3
163,Luciano,Austria,7,2020-08,4
164,Pop Smoke,Austria,5,2020-08,5
165,Bonez MC,Austria,5,2020-08,6
166,"KC Rebell, Summer Cem",Austria,4,2020-08,7
167,Travis Scott,Austria,4,2020-08,8
168,Dua Lipa,Austria,4,2020-08,9
169,Ava Max,Austria,4,2020-08,10
170,Pop Smoke,Austria,7,2021-02,1
171,Juice WRLD,Austria,6,2021-02,2
172,Billie Eilish,Austria,4,2021-02,3
173,The Weeknd,Austria,4,2021-02,4
174,Apache 207,Austria,4,2021-02,5
175,Cro,Austria,4,2021-02,6
176,Luciano,Austria,3,2021-02,7
177,Ariana Grande,Austria,3,2021-02,8
178,Justin Bieber,Austria,3,2021-02,9
179,Dardan,Austria,3,2021-02,10
180,Billie Eilish,Austria,16,2021-07,1
181,Pop Smoke,Austria,16,2021-07,2
182,Luciano,Austria,14,2021-07,3
183,RAF Camora,Austria,11,2021-07,4
184,Olivia Rodrigo,Austria,8,2021-07,5
185,Måneskin,Austria,5,2021-07,6
186,Pashanim,Austria,4,2021-07,7
187,Cro,Austria,4,2021-07,8
188,"Loredana, Mozzik",Austria,3,2021-07,9
189,The Kid LAROI,Austria,3,2021-07,10
190,Vald,Belgium,13,2019-10,1
191,Brihang,Belgium,12,2019-10,2
192,Post Malone,Belgium,9,2019-10,3
193,Lomepal,Belgium,8,2019-10,4
194,Nick Cave & The Bad Seeds,Belgium,8,2019-10,5
195,Billie Eilish,Belgium,7,2019-10,6
196,Kanye West,Belgium,6,2019-10,7
197,Ed Sheeran,Belgium,5,2019-10,8
198,Camila Cabello,Belgium,5,2019-10,9
199,Niska,Belgium,4,2019-10,10
200,PLK,Belgium,18,2020-08,1
201,Leto,Belgium,14,2020-08,2
202,Juice WRLD,Belgium,7,2020-08,3
203,Pop Smoke,Belgium,6,2020-08,4
204,Billie Eilish,Belgium,5,2020-08,5
205,Dua Lipa,Belgium,4,2020-08,6
206,Lewis Capaldi,Belgium,4,2020-08,7
207,Kaaris,Belgium,4,2020-08,8
208,XXXTENTACION,Belgium,4,2020-08,9
209,Travis Scott,Belgium,4,2020-08,10
210,PLK,Belgium,18,2020-09,1
211,Damso,Belgium,13,2020-09,2
212,Wejdene,Belgium,9,2020-09,3
213,Pop Smoke,Belgium,8,2020-09,4
214,Freeze corleone,Belgium,8,2020-09,5
215,Kaaris,Belgium,8,2020-09,6
216,Billie Eilish,Belgium,5,2020-09,7
217,Juice WRLD,Belgium,5,2020-09,8
218,Travis Scott,Belgium,5,2020-09,9
219,Kevin,Belgium,4,2020-09,10
220,"Tyler, The Creator",Belgium,13,2021-06,1
221,Olivia Rodrigo,Belgium,11,2021-06,2
222,Måneskin,Belgium,10,2021-06,3
223,Migos,Belgium,9,2021-06,4
224,Polo G,Belgium,6,2021-06,5
225,Dua Lipa,Belgium,5,2021-06,6
226,Jul,Belgium,5,2021-06,7
227,Billie Eilish,Belgium,5,2021-06,8
228,Ed Sheeran,Belgium,4,2021-06,9
229,XXXTENTACION,Belgium,4,2021-06,10
230,Maluma,Bolivia,7,2018-09,1
231,Zoé,Bolivia,6,2018-09,2
232,Piso 21,Bolivia,5,2018-09,3
233,Ozuna,Bolivia,4,2018-09,4
234,Sebastian Yatra,Bolivia,4,2018-09,5
235,Ed Sheeran,Bolivia,4,2018-09,6
236,Luis Miguel,Bolivia,3,2018-09,7
237,Manuel Turizo,Bolivia,3,2018-09,8
238,Reik,Bolivia,3,2018-09,9
239,CNCO,Bolivia,3,2018-09,10
240,Bad Bunny,Bolivia,9,2019-01,1
241,Queen,Bolivia,7,2019-01,2
242,Maluma,Bolivia,5,2019-01,3
243,Paulo Londra,Bolivia,5,2019-01,4
244,Piso 21,Bolivia,5,2019-01,5
245,Manuel Turizo,Bolivia,4,2019-01,6
246,Ed Sheeran,Bolivia,4,2019-01,7
247,Dua Lipa,Bolivia,3,2019-01,8
248,Imagine Dragons,Bolivia,3,2019-01,9
249,Post Malone,Bolivia,3,2019-01,10
250,Sebastian Yatra,Bolivia,12,2019-04,1
251,BTS,Bolivia,9,2019-04,2
252,Billie Eilish,Bolivia,7,2019-04,3
253,Paulo Londra,Bolivia,6,2019-04,4
254,Queen,Bolivia,5,2019-04,5
255,Bad Bunny,Bolivia,5,2019-04,6
256,Danny Ocean,Bolivia,4,2019-04,7
257,Ed Sheeran,Bolivia,4,2019-04,8
258,Sech,Bolivia,4,2019-04,9
259,Manuel Turizo,Bolivia,4,2019-04,10
260,Ed Sheeran,Bolivia,10,2019-07,1
261,Paulo Londra,Bolivia,9,2019-07,2
262,"J Balvin, Bad Bunny",Bolivia,6,2019-07,3
263,Billie Eilish,Bolivia,5,2019-07,4
264,Maluma,Bolivia,5,2019-07,5
265,Bad Bunny,Bolivia,4,2019-07,6
266,Manuel Turizo,Bolivia,4,2019-07,7
267,Sebastian Yatra,Bolivia,4,2019-07,8
268,Lil Nas X,Bolivia,3,2019-07,9
269,DJ Snake,Bolivia,3,2019-07,10
270,Marília Mendonça,Brazil,12,2019-07,1
271,Gusttavo Lima,Brazil,11,2019-07,2
272,Zé Neto & Cristiano,Brazil,9,2019-07,3
273,Ed Sheeran,Brazil,9,2019-07,4
274,Dilsinho,Brazil,5,2019-07,5
275,Wesley Safadão,Brazil,4,2019-07,6
276,Post Malone,Brazil,4,2019-07,7
277,Lil Nas X,Brazil,4,2019-07,8
278,Diego & Victor Hugo,Brazil,4,2019-07,9
279,Melim,Brazil,3,2019-07,10
280,"RBD, Anahí, Dulce María, Maite Perroni, Christian Chávez, Christopher von Uckermann, Alfonso Herrera",Brazil,32,2020-09,1
281,Os Barões Da Pisadinha,Brazil,17,2020-09,2
282,Matuê,Brazil,10,2020-09,3
283,Marília Mendonça,Brazil,7,2020-09,4
284,Gusttavo Lima,Brazil,7,2020-09,5
285,"BK, JXNV$",Brazil,6,2020-09,6
286,Lil Whind,Brazil,6,2020-09,7
287,"Marília Mendonça, Maiara & Maraisa",Brazil,6,2020-09,8
288,Henrique & Juliano,Brazil,6,2020-09,9
289,Melim,Brazil,5,2020-09,10
290,Os Barões Da Pisadinha,Brazil,20,2020-10,1
291,Ariana Grande,Brazil,14,2020-10,2
292,Matuê,Brazil,8,2020-10,3
293,BLACKPINK,Brazil,8,2020-10,4
294,Gusttavo Lima,Brazil,7,2020-10,5
295,Tierry,Brazil,5,2020-10,6
296,Zé Neto & Cristiano,Brazil,5,2020-10,7
297,Henrique & Juliano,Brazil,5,2020-10,8
298,Marília Mendonça,Brazil,5,2020-10,9
299,Melim,Brazil,5,2020-10,10
300,Jorge & Mateus,Brazil,16,2021-04,1
301,DUDA BEAT,Brazil,9,2021-04,2
302,Zé Vaqueiro,Brazil,7,2021-04,3
303,Os Barões Da Pisadinha,Brazil,6,2021-04,4
304,Gusttavo Lima,Brazil,6,2021-04,5
305,Marília Mendonça,Brazil,5,2021-04,6
306,Matuê,Brazil,5,2021-04,7
307,Taylor Swift,Brazil,5,2021-04,8
308,Demi Lovato,Brazil,4,2021-04,9
309,Teto,Brazil,4,2021-04,10
310,Kendrick Lamar,Bulgaria,14,2017-04,1
311,Ed Sheeran,Bulgaria,2,2017-04,2
312,Zedd,Bulgaria,1,2017-04,3
313,Luis Fonsi,Bulgaria,1,2017-04,4
314,Shawn Mendes,Bulgaria,1,2017-04,5
315,"Luis Fonsi, Daddy Yankee, Justin Bieber",Bulgaria,1,2017-04,6
316,"Calvin Harris, Funk Wav",Bulgaria,1,2017-04,7
317,Harry Styles,Bulgaria,1,2017-04,8
318,The Chainsmokers,Bulgaria,1,2017-04,9
319,Jason Derulo,Bulgaria,1,2017-04,10
320,Quavo,Bulgaria,12,2018-10,1
321,Twenty One Pilots,Bulgaria,8,2018-10,2
322,Eminem,Bulgaria,7,2018-10,3
323,Khalid,Bulgaria,2,2018-10,4
324,Post Malone,Bulgaria,2,2018-10,5
325,XXXTENTACION,Bulgaria,2,2018-10,6
326,Lil Baby,Bulgaria,2,2018-10,7
327,Drake,Bulgaria,2,2018-10,8
328,Ariana Grande,Bulgaria,2,2018-10,9
329,Lil Wayne,Bulgaria,1,2018-10,10
330,V:RGO,Bulgaria,10,2021-03,1
331,Justin Bieber,Bulgaria,10,2021-03,2
332,Pop Smoke,Bulgaria,10,2021-03,3
333,Lana Del Rey,Bulgaria,8,2021-03,4
334,Travis Scott,Bulgaria,4,2021-03,5
335,XXXTENTACION,Bulgaria,4,2021-03,6
336,Drake,Bulgaria,4,2021-03,7
337,The Weeknd,Bulgaria,3,2021-03,8
338,Harry Styles,Bulgaria,3,2021-03,9
339,Juice WRLD,Bulgaria,3,2021-03,10
340,Juice WRLD,Bulgaria,17,2021-12,1
341,Michael Bublé,Bulgaria,12,2021-12,2
342,Preslava,Bulgaria,6,2021-12,3
343,Galena,Bulgaria,6,2021-12,4
344,The Weeknd,Bulgaria,5,2021-12,5
345,Pop Smoke,Bulgaria,5,2021-12,6
346,Doja Cat,Bulgaria,5,2021-12,7
347,Arctic Monkeys,Bulgaria,5,2021-12,8
348,Chase Atlantic,Bulgaria,4,2021-12,9
349,FYRE,Bulgaria,4,2021-12,10
350,Ed Sheeran,Canada,21,2017-03,1
351,Drake,Canada,20,2017-03,2
352,Future,Canada,9,2017-03,3
353,Migos,Canada,5,2017-03,4
354,NAV,Canada,5,2017-03,5
355,Lil Uzi Vert,Canada,4,2017-03,6
356,Major Lazer,Canada,4,2017-03,7
357,Lorde,Canada,3,2017-03,8
358,Gorillaz,Canada,3,2017-03,9
359,The Weeknd,Canada,3,2017-03,10
360,XXXTENTACION,Canada,9,2017-09,1
361,Lil Uzi Vert,Canada,7,2017-09,2
362,Ed Sheeran,Canada,7,2017-09,3
363,BTS,Canada,7,2017-09,4
364,Drake,Canada,6,2017-09,5
365,Macklemore,Canada,5,2017-09,6
366,Kendrick Lamar,Canada,5,2017-09,7
367,Foo Fighters,Canada,5,2017-09,8
368,Migos,Canada,4,2017-09,9
369,Post Malone,Canada,4,2017-09,10
370,Justin Timberlake,Canada,14,2018-02,1
371,Migos,Canada,11,2018-02,2
372,Ed Sheeran,Canada,7,2018-02,3
373,Kendrick Lamar,Canada,7,2018-02,4
374,6ix9ine,Canada,7,2018-02,5
375,Vance Joy,Canada,7,2018-02,6
376,Rich Brian,Canada,6,2018-02,7
377,Post Malone,Canada,5,2018-02,8
378,Drake,Canada,5,2018-02,9
379,Khalid,Canada,4,2018-02,10
380,Morgan Wallen,Canada,33,2021-01,1
381,Taylor Swift,Canada,15,2021-01,2
382,Juice WRLD,Canada,9,2021-01,3
383,Pop Smoke,Canada,8,2021-01,4
384,Billie Eilish,Canada,6,2021-01,5
385,Ed Sheeran,Canada,6,2021-01,6
386,Ariana Grande,Canada,5,2021-01,7
387,The Kid LAROI,Canada,5,2021-01,8
388,Harry Styles,Canada,4,2021-01,9
389,Drake,Canada,4,2021-01,10
390,Taylor Swift,Canada,27,2021-04,1
391,Justin Bieber,Canada,17,2021-04,2
392,Charlotte Cardin,Canada,13,2021-04,3
393,Lil Tjay,Canada,13,2021-04,4
394,DJ Khaled,Canada,12,2021-04,5
395,Pop Smoke,Canada,8,2021-04,6
396,DMX,Canada,6,2021-04,7
397,Juice WRLD,Canada,6,2021-04,8
398,BROCKHAMPTON,Canada,6,2021-04,9
399,Billie Eilish,Canada,6,2021-04,10
400,Ozuna,Chile,6,2018-03,1
401,Red Hot Chili Peppers,Chile,5,2018-03,2
402,Ed Sheeran,Chile,5,2018-03,3
403,Bad Bunny,Chile,5,2018-03,4
404,Jesse & Joy,Chile,5,2018-03,5
405,Moral Distraida,Chile,5,2018-03,6
406,The Weeknd,Chile,5,2018-03,7
407,Bruno Mars,Chile,4,2018-03,8
408,Dua Lipa,Chile,4,2018-03,9
409,Pearl Jam,Chile,4,2018-03,10
410,Arctic Monkeys,Chile,12,2018-05,1
411,BTS,Chile,10,2018-05,2
412,J Balvin,Chile,8,2018-05,3
413,Maluma,Chile,7,2018-05,4
414,Ozuna,Chile,6,2018-05,5
415,Sebastian Yatra,Chile,6,2018-05,6
416,Ed Sheeran,Chile,5,2018-05,7
417,Shawn Mendes,Chile,5,2018-05,8
418,Soda Stereo,Chile,4,2018-05,9
419,Yandel,Chile,4,2018-05,10
420,Bad Bunny,Chile,14,2019-01,1
421,Santaferia,Chile,7,2019-01,2
422,Cami,Chile,6,2019-01,3
423,Ozuna,Chile,6,2019-01,4
424,Queen,Chile,5,2019-01,5
425,Amar Azul,Chile,5,2019-01,6
426,Noche de Brujas,Chile,5,2019-01,7
427,La Sonora De Tommy Rey,Chile,4,2019-01,8
428,"Sonora Malecón, Lucho Lambis",Chile,4,2019-01,9
429,Chico Trujillo,Chile,4,2019-01,10
430,Bad Bunny,Chile,15,2021-02,1
431,"Anuel AA, Ozuna",Chile,10,2021-02,2
432,Rauw Alejandro,Chile,5,2021-02,3
433,Myke Towers,Chile,5,2021-02,4
434,Camilo,Chile,4,2021-02,5
435,Soda Stereo,Chile,4,2021-02,6
436,Dua Lipa,Chile,4,2021-02,7
437,The Weeknd,Chile,4,2021-02,8
438,Maluma,Chile,3,2021-02,9
439,Ak4:20,Chile,3,2021-02,10
440,Avicii,Colombia,16,2018-04,1
441,Ozuna,Colombia,7,2018-04,2
442,Manuel Medrano,Colombia,6,2018-04,3
443,Ed Sheeran,Colombia,5,2018-04,4
444,Andrés Cepeda,Colombia,5,2018-04,5
445,The Weeknd,Colombia,5,2018-04,6
446,Bad Bunny,Colombia,4,2018-04,7
447,Post Malone,Colombia,4,2018-04,8
448,Sebastian Yatra,Colombia,4,2018-04,9
449,Shawn Mendes,Colombia,3,2018-04,10
450,"Rodolfo Aicardi, Los Hispanos",Colombia,9,2019-12,1
451,Pastor Lopez,Colombia,8,2019-12,2
452,Harry Styles,Colombia,6,2019-12,3
453,Manuel Turizo,Colombia,5,2019-12,4
454,Yeison Jimenez,Colombia,5,2019-12,5
455,Jessi Uribe,Colombia,5,2019-12,6
456,Christian Nodal,Colombia,4,2019-12,7
457,"Diomedes Diaz, Juancho Rois",Colombia,4,2019-12,8
458,Morat,Colombia,4,2019-12,9
459,Grupo Niche,Colombia,4,2019-12,10
460,Jarabe De Palo,Colombia,10,2020-06,1
461,Bad Bunny,Colombia,9,2020-06,2
462,J Balvin,Colombia,8,2020-06,3
463,Anuel AA,Colombia,7,2020-06,4
464,Camilo,Colombia,5,2020-06,5
465,Jessi Uribe,Colombia,4,2020-06,6
466,Maluma,Colombia,4,2020-06,7
467,Christian Nodal,Colombia,4,2020-06,8
468,Yeison Jimenez,Colombia,4,2020-06,9
469,Lady Gaga,Colombia,4,2020-06,10
470,Bad Bunny,Colombia,15,2021-02,1
471,Daft Punk,Colombia,9,2021-02,2
472,Maluma,Colombia,8,2021-02,3
473,J Balvin,Colombia,6,2021-02,4
474,Christian Nodal,Colombia,6,2021-02,5
475,The Weeknd,Colombia,5,2021-02,6
476,Camilo,Colombia,4,2021-02,7
477,Dua Lipa,Colombia,4,2021-02,8
478,Myke Towers,Colombia,3,2021-02,9
479,Harry Styles,Colombia,3,2021-02,10
480,Ed Sheeran,Costa Rica,29,2017-06,1
481,Imagine Dragons,Costa Rica,7,2017-06,2
482,Eshconinco,Costa Rica,4,2017-06,3
483,Nicky Jam,Costa Rica,4,2017-06,4
484,Major Lazer,Costa Rica,4,2017-06,5
485,Shawn Mendes,Costa Rica,4,2017-06,6
486,Calvin Harris,Costa Rica,4,2017-06,7
487,CNCO,Costa Rica,3,2017-06,8
488,Maluma,Costa Rica,3,2017-06,9
489,Coldplay,Costa Rica,3,2017-06,10
490,Linkin Park,Costa Rica,22,2017-07,1
491,Ed Sheeran,Costa Rica,9,2017-07,2
492,Ariana Grande,Costa Rica,6,2017-07,3
493,Imagine Dragons,Costa Rica,5,2017-07,4
494,Ozuna,Costa Rica,5,2017-07,5
495,Nicky Jam,Costa Rica,4,2017-07,6
496,Shawn Mendes,Costa Rica,4,2017-07,7
497,Major Lazer,Costa Rica,4,2017-07,8
498,Maluma,Costa Rica,3,2017-07,9
499,Sia,Costa Rica,3,2017-07,10
500,Ed Sheeran,Costa Rica,8,2017-08,1
501,Ozuna,Costa Rica,7,2017-08,2
502,Linkin Park,Costa Rica,4,2017-08,3
503,Shawn Mendes,Costa Rica,4,2017-08,4
504,Major Lazer,Costa Rica,4,2017-08,5
505,Nicky Jam,Costa Rica,4,2017-08,6
506,Bad Bunny,Costa Rica,3,2017-08,7
507,CNCO,Costa Rica,3,2017-08,8
508,Marc Anthony,Costa Rica,3,2017-08,9
509,Twenty One Pilots,Costa Rica,3,2017-08,10
510,Ozuna,Costa Rica,8,2019-11,1
511,Ed Sheeran,Costa Rica,6,2019-11,2
512,Sam Smith,Costa Rica,5,2019-11,3
513,Paulo Londra,Costa Rica,5,2019-11,4
514,Christian Nodal,Costa Rica,4,2019-11,5
515,Sebastian Yatra,Costa Rica,4,2019-11,6
516,Bad Bunny,Costa Rica,3,2019-11,7
517,Travis Scott,Costa Rica,3,2019-11,8
518,Maluma,Costa Rica,3,2019-11,9
519,Post Malone,Costa Rica,3,2019-11,10
520,Bad Bunny,Costa Rica,19,2020-12,1
521,Christian Nodal,Costa Rica,13,2020-12,2
522,Taylor Swift,Costa Rica,9,2020-12,3
523,J Balvin,Costa Rica,5,2020-12,4
524,Shawn Mendes,Costa Rica,5,2020-12,5
525,Maluma,Costa Rica,4,2020-12,6
526,Ariana Grande,Costa Rica,4,2020-12,7
527,Camilo,Costa Rica,4,2020-12,8
528,Luis Miguel,Costa Rica,4,2020-12,9
529,Marc Anthony,Costa Rica,3,2020-12,10
530,Ed Sheeran,Czech Republic,19,2017-04,1
531,Kendrick Lamar,Czech Republic,14,2017-04,2
532,Renne Dang,Czech Republic,13,2017-04,3
533,Gorillaz,Czech Republic,10,2017-04,4
534,The Chainsmokers,Czech Republic,7,2017-04,5
535,Paulie Garand,Czech Republic,7,2017-04,6
536,Linkin Park,Czech Republic,5,2017-04,7
537,Drake,Czech Republic,4,2017-04,8
538,Imagine Dragons,Czech Republic,4,2017-04,9
539,Twenty One Pilots,Czech Republic,4,2017-04,10
540,Billie Eilish,Czech Republic,19,2019-08,1
541,Taylor Swift,Czech Republic,12,2019-08,2
542,Slipknot,Czech Republic,11,2019-08,3
543,Lana Del Rey,Czech Republic,9,2019-08,4
544,Ed Sheeran,Czech Republic,9,2019-08,5
545,Viktor Sheen,Czech Republic,8,2019-08,6
546,Imagine Dragons,Czech Republic,6,2019-08,7
547,Post Malone,Czech Republic,5,2019-08,8
548,STEIN27,Czech Republic,5,2019-08,9
549,Queen,Czech Republic,4,2019-08,10
550,Post Malone,Czech Republic,18,2019-09,1
551,Mirai,Czech Republic,11,2019-09,2
552,Billie Eilish,Czech Republic,10,2019-09,3
553,Ed Sheeran,Czech Republic,9,2019-09,4
554,Viktor Sheen,Czech Republic,8,2019-09,5
555,PSH,Czech Republic,7,2019-09,6
556,Imagine Dragons,Czech Republic,6,2019-09,7
557,Ben Cristovao,Czech Republic,6,2019-09,8
558,Ariana Grande,Czech Republic,6,2019-09,9
559,Lana Del Rey,Czech Republic,5,2019-09,10
560,XXXTENTACION,Denmark,30,2018-06,1
561,Drake,Denmark,22,2018-06,2
562,Post Malone,Denmark,13,2018-06,3
563,Molo,Denmark,11,2018-06,4
564,Skinz,Denmark,9,2018-06,5
565,Ed Sheeran,Denmark,6,2018-06,6
566,Kanye West,Denmark,6,2018-06,7
567,Shawn Mendes,Denmark,6,2018-06,8
568,Gilli,Denmark,6,2018-06,9
569,Scarlet Pleasure,Denmark,6,2018-06,10
570,Lukas Graham,Denmark,12,2019-01,1
571,Jamaika,Denmark,12,2019-01,2
572,XXXTENTACION,Denmark,7,2019-01,3
573,Gilli,Denmark,6,2019-01,4
574,Post Malone,Denmark,6,2019-01,5
575,Ed Sheeran,Denmark,6,2019-01,6
576,Kim Larsen,Denmark,6,2019-01,7
577,KESI,Denmark,5,2019-01,8
578,Drake,Denmark,5,2019-01,9
579,Nik & Jay,Denmark,5,2019-01,10
580,Carmon,Denmark,12,2019-10,1
581,Post Malone,Denmark,11,2019-10,2
582,Stepz,Denmark,10,2019-10,3
583,Ed Sheeran,Denmark,8,2019-10,4
584,KESI,Denmark,7,2019-10,5
585,L.O.C.,Denmark,7,2019-10,6
586,John Mayer,Denmark,6,2019-10,7
587,Kanye West,Denmark,6,2019-10,8
588,Gilli,Denmark,6,2019-10,9
589,Ude Af Kontrol,Denmark,5,2019-10,10
590,NODE,Denmark,13,2019-11,1
