,artist,region,date,n
1259,"Erik Follestad, Linni Meister",Norway,2018,31
1260,"Felipe Araújo, Ferrugem",Brazil,2019,31
1261,"Bad Bunny, Jowell & Randy, Ñengo Flow",Dominican Republic,2020,31
1262,"Anuel AA, KAROL G",Paraguay,2019,31
1263,"Avicii, Aloe Blacc",Sweden,2019,31
1264,Herra Hnetusmjör,Iceland,2019,31
1265,"Black Eyed Peas, J Balvin",Peru,2019,31
1266,Travis Scott,Bulgaria,2019,31
1267,Snelle,Netherlands,2019,31
1268,"Arijit Singh, B Praak",India,2019,31
1269,"Piruka, Bluay",Portugal,2019,31
1270,THE ROOP,Lithuania,2020,31
1271,Boef,Netherlands,2017,31
1272,"J Balvin, Willy William",Italy,2017,31
1273,Kendrick Lamar,Latvia,2017,31
1274,Dua Lipa,United Kingdom,2017,31
1275,Rauw Alejandro,Peru,2020,31
1276,"Reto, Kubi Producent",Poland,2020,31
1277,"Benny Jamz, Gilli, KESI, B.O.C",Denmark,2021,31
1278,Budi Doremi,Indonesia,2020,31
1279,Jamie Miller,Indonesia,2021,31
1280,"Bad Bunny, Jhay Cortez",Costa Rica,2021,31
1281,Nadin Amizah,Indonesia,2021,31
1282,Olivia Rodrigo,Philippines,2021,31
1283,Olivia Rodrigo,Hungary,2021,31
1284,"Sebastian Yatra, Myke Towers",Peru,2021,31
1285,"Bizarrap, L-Gante",Uruguay,2021,31
1286,"Bruno Mars, Anderson .Paak, Silk Sonic",Thailand,2021,31
1287,"Post Malone, 21 Savage",Austria,2017,31
1288,The Kid LAROI,Hungary,2021,31
1289,NO ONE ELSE,Thailand,2021,31
1290,"Coldplay, BTS",Vietnam,2021,31
1291,"Camila Cabello, Young Thug",Malaysia,2017,31
1292,Drake,Israel,2020,30
1293,Bad Bunny,Costa Rica,2018,30
1294,Mabel Matiz,Turkey,2018,30
1295,Maroon 5,Singapore,2018,30
1296,DJ Snake,Panama,2018,30
1297,Capital Bra,Switzerland,2019,30
1298,Bad Bunny,Chile,2018,30
1299,"Anuel AA, KAROL G",Colombia,2019,30
1300,"Daddy Yankee, Snow",Bolivia,2019,30
1301,"Daddy Yankee, Snow",Chile,2019,30
1302,"Anuel AA, KAROL G",Guatemala,2019,30
1303,"Dalex, Rafa Pabön, KHEA, Sech, Cazzu, Feid, Lenny Tavárez",Peru,2019,30
1304,Mahmood,Italy,2019,30
1305,ATYPISK,Denmark,2019,30
1306,Lewis Capaldi,United Kingdom,2019,30
1307,"Shawn Mendes, Camila Cabello",Norway,2019,30
1308,Matthaios,Philippines,2020,30
1309,"KAROL G, Nicki Minaj",Spain,2019,30
1310,"Bad Bunny, Jowell & Randy, Ñengo Flow",Spain,2020,30
1311,Justin Bieber,Singapore,2020,30
1312,Roddy Ricch,United Kingdom,2020,30
1313,Surfaces,Indonesia,2020,30
1314,DJ Khaled,United Kingdom,2017,30
1315,Aron Can,Iceland,2017,30
1316,"Luis Fonsi, Daddy Yankee, Justin Bieber",Taiwan,2017,30
1317,Astrid S,Norway,2017,30
1318,Avicii,Sweden,2017,30
1319,Måneskin,Austria,2021,30
1320,Joel Corry,United Kingdom,2020,30
1321,Eason Chan,Hong Kong,2020,30
1322,"Bad Bunny, Jhay Cortez",Peru,2020,30
1323,Hamza Namira,Egypt,2021,30
1324,"Bad Bunny, Jhay Cortez",Panama,2021,30
1325,"Sebastian Yatra, Myke Towers",Spain,2021,30
1326,"Los Legendarios, Wisin, Jhay Cortez",Ecuador,2021,30
1327,Masked Wolf,Latvia,2021,30
1328,Omer Adam,Israel,2021,30
1329,"Los Legendarios, Wisin, Jhay Cortez",Bolivia,2021,30
1330,Lil Nas X,Russia,2021,30
1331,Ozuna,Chile,2017,30
1332,"Alan Walker, Noah Cyrus, Digital Farm Animals",Norway,2017,30
1333,"Wegz, Disco Misr",Egypt,2021,30
1334,Yuuri,Japan,2021,30
1335,The Kid LAROI,Vietnam,2021,30
1336,Post Malone,New Zealand,2017,30
1337,"Bad Bunny, Prince Royce, J Balvin, Mambo Kingz, DJ Luian",El Salvador,2017,30
1338,Bad Bunny,Nicaragua,2020,29
1339,"MC Kevinho, Simone & Simaria",Brazil,2018,29
1340,Kendrick Lamar,Hong Kong,2018,29
1341,"Ex Battalion, O.C. Dawgs",Philippines,2018,29
1342,Drake,Canada,2020,29
1343,Migos,United States,2017,29
1344,Vegas Jones,Italy,2018,29
1345,Kanye West,Greece,2018,29
1346,Ariana Grande,Philippines,2020,29
1347,Aya Nakamura,Netherlands,2018,29
1348,"Calvin Harris, Jessie Reyez",United Kingdom,2018,29
1349,"Dynoro, Gigi D'Agostino",Sweden,2018,29
1350,Dean Lewis,Australia,2018,29
1351,Drake,Taiwan,2018,29
1352,"Pedro Capó, Farruko",Chile,2019,29
1353,"Jawsh 685, Jason Derulo",Norway,2020,29
1354,"Mc Zaac, Anitta, Tyga",Brazil,2020,29
1355,Ariana Grande,Thailand,2019,29
1356,Jonas Brothers,Singapore,2019,29
1357,Ariana Grande,Poland,2019,29
1358,Ariana Grande,Bulgaria,2019,29
1359,"Jay Chou, 阿信",Taiwan,2019,29
1360,Snelle,Netherlands,2020,29
1361,"J Balvin, Willy William",Global,2017,29
1362,Cardi B,Canada,2020,29
1363,Cardi B,Latvia,2020,29
1364,Binz,Vietnam,2020,29
1365,"Yzomandias, Nik Tendo",Czech Republic,2020,29
1366,BTS,Vietnam,2021,29
1367,"Los Legendarios, Wisin, Jhay Cortez",Nicaragua,2021,29
1368,"Bizarrap, L-Gante",Argentina,2021,29
1369,"Los Legendarios, Wisin, Jhay Cortez",Peru,2021,29
1370,"Nio Garcia, Flow La Movie",Colombia,2021,29
1371,"TINI, Maria Becerra",Uruguay,2021,29
1372,"Miriam Bryant, Victor Leksell",Sweden,2021,29
1373,"Sebastian Yatra, Myke Towers",Ecuador,2021,29
1374,"Los Legendarios, Wisin, Jhay Cortez",Guatemala,2021,29
1375,"Avine Vinny, Matheus Fernandes",Brazil,2021,29
1376,Maria Becerra,Uruguay,2021,29
1377,"Aventura, Bad Bunny",Paraguay,2021,29
1378,Piso 21,El Salvador,2018,29
1379,"Post Malone, 21 Savage",Slovakia,2018,28
1380,Drake,Lithuania,2018,28
1381,ONE OK ROCK,Japan,2018,28
1382,Post Malone,Latvia,2018,28
1383,"Capital Bra, Ufo361",Germany,2018,28
1384,Kendrick Lamar,Thailand,2018,28
1385,"Eli Türkoğlu, Tuğçe Kandemir",Turkey,2018,28
1386,"andrei, Killa Fonic, Nane, bbno$, Azteca",Romania,2020,28
1387,"Capital Bra, Ufo361",Austria,2018,28
1388,"The Chainsmokers, Coldplay",Singapore,2017,28
1389,Maroon 5,Israel,2018,28
1390,benny blanco,Singapore,2018,28
1391,Aitana,Spain,2018,28
1392,Måneskin,Italy,2018,28
1393,Ariana Grande,Iceland,2019,28
1394,"Daddy Yankee, Snow",Spain,2019,28
1395,"Bad Bunny, Tainy",Honduras,2019,28
1396,"Black Eyed Peas, J Balvin",Colombia,2019,28
1397,"TINI, Lalo Ebratt",Argentina,2019,28
1398,"5MIINUST, Villemdrillem",Estonia,2020,28
1399,"J Balvin, Willy William",Nicaragua,2017,28
1400,Imagine Dragons,Austria,2017,28
1401,Maluma,Colombia,2017,28
1402,Axwell /\ Ingrosso,Czech Republic,2017,28
1403,"Mc Davi, Mc Pedrinho, Mc Don Juan",Portugal,2021,28
1404,Aya Nakamura,France,2020,28
1405,"Trueno, Bizarrap, Taiu, TATOOL",Spain,2020,28
1406,"Trueno, Bizarrap, Taiu, TATOOL",Argentina,2020,28
1407,Tainy,Nicaragua,2020,28
1408,DaBaby,Bulgaria,2020,28
1409,The Weeknd,Ukraine,2020,28
1410,Cardi B,United Kingdom,2020,28
1411,Justin Bieber,Canada,2021,28
1412,Hov1,Sweden,2021,28
1413,SLAVA MARLOW,Russia,2021,28
1414,Drake,United States,2021,28
1415,"Hứa Kim Tuyền, Hoàng Duyên",Vietnam,2021,28
1416,"TINI, Maria Becerra",Argentina,2021,28
1417,The Kid LAROI,Slovakia,2021,28
1418,"Draganov, Inkonnu",Morocco,2021,28
1419,Adele,United States,2021,28
1420,"Luis Fonsi, Demi Lovato",Uruguay,2018,28
1421,Haki,Iceland,2020,27
1422,Post Malone,Norway,2018,27
1423,The Chainsmokers,Czech Republic,2018,27
1424,"Luis Fonsi, Demi Lovato",Spain,2018,27
1425,Clean Bandit,Ireland,2017,27
1426,Bad Bunny,Paraguay,2020,27
1427,5 Seconds of Summer,New Zealand,2018,27
1428,"Becky G, Paulo Londra",Bolivia,2018,27
1429,"Dynoro, Gigi D'Agostino",Latvia,2018,27
1430,Ava Max,Sweden,2018,27
1431,"Becky G, Paulo Londra",Peru,2018,27
1432,"$hirak, Lil Kleine",Netherlands,2018,27
1433,Maroon 5,Philippines,2018,27
1434,"Lady Gaga, Bradley Cooper",Lithuania,2018,27
1435,DaBaby,Latvia,2020,27
1436,DJ Snake,Argentina,2018,27
1437,JENNIE,Indonesia,2019,27
1438,ICEKIID,Denmark,2020,27
1439,"Dalex, Rafa Pabön, KHEA, Sech, Cazzu, Feid, Lenny Tavárez",Uruguay,2019,27
1440,Billie Eilish,Norway,2019,27
1441,"Lord Siva, Vera",Denmark,2019,27
1442,John Lundvik,Sweden,2019,27
1443,BTS,Singapore,2019,27
1444,"Anuel AA, KAROL G",Ecuador,2019,27
1445,"J Balvin, Bad Bunny",Paraguay,2019,27
1446,Magnus Haven,Philippines,2020,27
1447,Justin Bieber,New Zealand,2020,27
1448,Kendrick Lamar,Bulgaria,2017,27
1449,"Luis Fonsi, Daddy Yankee, Justin Bieber",Latvia,2017,27
1450,"Trueno, Bizarrap, Taiu, TATOOL",Uruguay,2020,27
1451,Tainy,Colombia,2020,27
1452,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",Panama,2020,27
1453,Wham!,Slovakia,2020,27
1454,"Omar Kamal, Hassan Shakosh",Egypt,2020,27
1455,Haloo Helsinki!,Finland,2021,27
1456,"Sebastian Yatra, Myke Towers",Bolivia,2021,27
1457,SNIK,Greece,2021,27
1458,Artigeardit,Denmark,2021,27
1459,Henrique & Juliano,Brazil,2021,27
1460,BNK48,Thailand,2018,26
1461,Sech,Ecuador,2020,26
1462,The Weeknd,Denmark,2020,26
1463,Ariana Grande,Taiwan,2018,26
1464,Post Malone,Sweden,2018,26
1465,DaBaby,Denmark,2020,26
1466,JVG,Finland,2017,26
1467,Gilli,Denmark,2020,26
1468,The Weeknd,Hungary,2020,26
1469,LOLO,Denmark,2020,26
1470,"Lil Peep, XXXTENTACION",Finland,2018,26
1471,Paulo Londra,Argentina,2019,26
1472,Mr.Children,Japan,2018,26
1473,"Pedro Capó, Farruko",Guatemala,2019,26
1474,"Eyal Golan, Benaia Barabi",Israel,2019,26
1475,Nicolay Ramm,Norway,2019,26
1476,"Shawn Mendes, Camila Cabello",United States,2019,26
1477,Ed Sheeran,Portugal,2019,26
1478,"Bad Bunny, Tainy",Colombia,2019,26
1479,"Samra, Capital Bra",Germany,2019,26
1480,Travis Scott,Canada,2019,26
1481,Moha La Squale,France,2019,26
1482,NODE,Denmark,2019,26
1483,Lil Tecca,United States,2019,26
1484,"Ice Paris, Pearwah",Thailand,2019,26
1485,"DJ Snake, J Balvin",France,2019,26
1486,Tones And I,Canada,2019,26
1487,"Gradur, Heuss L'enfoiré",France,2020,26
1488,Hindia,Indonesia,2020,26
1489,"Shiva, Eiffel 65",Italy,2020,26
1490,"KAROL G, Nicki Minaj",Honduras,2019,26
1491,Danny Ocean,Colombia,2017,26
1492,"Luis Fonsi, Daddy Yankee, Justin Bieber",Poland,2017,26
1493,Olivia Rodrigo,Indonesia,2021,26
1494,Måneskin,Slovakia,2021,26
1495,Vaidas Baumila,Lithuania,2021,26
1496,Rauw Alejandro,Dominican Republic,2020,26
1497,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",Costa Rica,2020,26
1498,Cardi B,Lithuania,2020,26
1499,Egor Kreed,Russia,2021,26
1500,Mariah Carey,Canada,2020,26
1501,Ariana Grande,United Arab Emirates,2020,26
1502,"Guzior, Oskar83",Poland,2020,26
1503,Mariah Carey,Hungary,2020,26
1504,Mariah Carey,United Kingdom,2020,26
1505,Justin Bieber,Netherlands,2021,26
1506,"Bilal Wahib, Ronnie Flex",Netherlands,2021,26
1507,"Los Legendarios, Wisin, Jhay Cortez",Spain,2021,26
1508,"Los Legendarios, Wisin, Jhay Cortez",Costa Rica,2021,26
1509,Madame,Italy,2021,26
1510,"Natti Natasha, Ozuna",Spain,2017,26
1511,Farruko,Mexico,2021,26
1512,Montez,Germany,2021,26
1513,"Mata, Quebonafide, Malik Montana",Poland,2021,26
1514,Adele,Norway,2021,26
1515,Ghali,Italy,2020,25
1516,KESI,Denmark,2018,25
1517,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",Spain,2020,25
1518,Daddy Yankee,Argentina,2018,25
1519,"Juan Caoile, Kyleswish",Philippines,2020,25
1520,Irama,Italy,2018,25
1521,"KESI, Gilli",Denmark,2018,25
1522,"OG-ANIC, Lazyloxy",Thailand,2018,25
1523,Kanye West,New Zealand,2018,25
1524,Drake,Indonesia,2018,25
1525,MERO,Germany,2018,25
1526,Ava Max,Belgium,2018,25
1527,Paulo Londra,Paraguay,2019,25
1528,Billie Eilish,United Kingdom,2019,25
1529,Coez,Italy,2019,25
1530,KESI,Denmark,2019,25
1531,"Anuel AA, KAROL G",Peru,2019,25
1532,"Branco, Gilli",Denmark,2019,25
1533,"Pedro Capó, Farruko",Guatemala,2018,25
1534,Ed Sheeran,Norway,2019,25
1535,Pyhimys,Finland,2019,25
1536,Julinho Ksd,Portugal,2019,25
1537,"Julinho Ksd, Yuran, Trista",Portugal,2019,25
1538,"Black Eyed Peas, J Balvin",Ecuador,2019,25
1539,Trevor Daniel,Latvia,2019,25
1540,Billie Eilish,Lithuania,2020,25
1541,"Elastinen, Jenni Vartiainen",Finland,2020,25
1542,Imagine Dragons,Lithuania,2017,25
1543,Kendrick Lamar,Canada,2017,25
1544,Manuel Turizo,Peru,2017,25
1545,Maluma,Nicaragua,2017,25
1546,Måneskin,Global,2021,25
1547,Ed Sheeran,South Africa,2021,25
1548,Måneskin,Portugal,2021,25
1549,Måneskin,United Arab Emirates,2021,25
1550,"Jawsh 685, Jason Derulo",Slovakia,2020,25
1551,"Dzharakhov, Markul",Russia,2021,25
1552,Mariah Carey,Switzerland,2020,25
1553,BTS,Hong Kong,2021,25
1554,Masked Wolf,Ukraine,2021,25
1555,EDIS,Turkey,2021,25
1556,Rauw Alejandro,Argentina,2021,25
1557,Dua Lipa,Turkey,2017,25
1558,"Sevn Alias, Lil Kleine, Boef",Netherlands,2017,25
1559,"Frenna, Diquenza",Netherlands,2017,25
1560,"Anitta, J Balvin",Brazil,2017,25
1561,"Busta 929, Boohle",South Africa,2021,25
1562,Calin,Czech Republic,2021,25
1563,Calibre 50,Mexico,2021,25
1564,"Petre Stefan, YNY Sebi",Romania,2021,25
1565,"Coldplay, BTS",South Korea,2021,25
1566,"Bad Bunny, Prince Royce, J Balvin, Mambo Kingz, DJ Luian",Honduras,2018,25
1567,Post Malone,Slovakia,2018,24
1568,Bad Bunny,Spain,2018,24
1569,"THE SCOTTS, Travis Scott, Kid Cudi",Romania,2020,24
1570,The Weeknd,Romania,2018,24
1571,Camilo,Ecuador,2020,24
1572,Josylvio,Netherlands,2018,24
1573,"Zac Efron, Zendaya",Hong Kong,2018,24
1574,Camilo,Panama,2020,24
1575,Ariana Grande,Hong Kong,2020,24
1576,Bad Bunny,Guatemala,2020,24
1577,"Rim'K, Ninho",France,2018,24
1578,"Ozuna, Manuel Turizo",Colombia,2018,24
1579,"Lady Gaga, Bradley Cooper",Ireland,2018,24
1580,Gülşen,Turkey,2019,24
1581,Ariana Grande,Portugal,2018,24
1582,DJ Snake,Portugal,2018,24
1583,"Sech, Darell",Dominican Republic,2019,24
1584,Billie Eilish,United States,2019,24
1585,BTS,Taiwan,2019,24
1586,Gülşen,Turkey,2018,24
1587,MERO,Turkey,2019,24
1588,"Capital Bra, Samra",Austria,2019,24
1589,Duki,Argentina,2019,24
1590,"Black Eyed Peas, J Balvin",Mexico,2019,24
1591,"Shawn Mendes, Camila Cabello",Hong Kong,2020,24
1592,The Weeknd,Bulgaria,2020,24
1593,Kendrick Lamar,New Zealand,2017,24
1594,24kGoldn,Portugal,2020,24
1595,"Jawsh 685, Jason Derulo",Belgium,2020,24
1596,"FM95BLÖ, Sverrir Bergmann, Jóhanna Guðrún",Iceland,2021,24
1597,Viktor Sheen,Czech Republic,2020,24
1598,"Peter Pann, Separ, Kali",Slovakia,2021,24
1599,"Maiyarap, MILLI",Thailand,2020,24
1600,Ariana Grande,Ireland,2020,24
1601,Mariah Carey,Czech Republic,2020,24
1602,Olivia Rodrigo,Germany,2021,24
1603,Kali Uchis,Mexico,2021,24
1604,"Snelle, Maan",Netherlands,2021,24
1605,Giveon,Malaysia,2021,24
1606,Manuş Baba,Turkey,2017,24
1607,The Kid LAROI,Russia,2021,24
1608,Adele,United Arab Emirates,2021,24
1609,Piso 21,Paraguay,2018,24
1610,"Kalash, Damso",France,2018,24
1611,Camila Cabello,Hungary,2018,23
1612,Antti Tuisku,Finland,2017,23
1613,Boef,Netherlands,2018,23
1614,Ariana Grande,Canada,2020,23
1615,MC G15,Brazil,2017,23
1616,Camila Cabello,Czech Republic,2018,23
1617,"Nicky Jam, J Balvin",Paraguay,2018,23
1618,Bad Bunny,Ecuador,2018,23
1619,Drake,Slovakia,2018,23
1620,"Jhay Cortez, Bad Bunny",Dominican Republic,2020,23
1621,benny blanco,New Zealand,2018,23
1622,"Dynoro, Gigi D'Agostino",Lithuania,2018,23
1623,"Alan Walker, Au/Ra, Tomine Harket",Norway,2018,23
1624,"J Balvin, Zion & Lennox",Ecuador,2018,23
1625,Post Malone,Slovakia,2019,23
1626,"Boomdabash, Alessandra Amoroso",Italy,2020,23
1627,"Avicii, Aloe Blacc",Norway,2019,23
1628,"Heuss L'enfoiré, Sofiane",France,2019,23
1629,"PDL, Skusta Clee, Jnske, Bullet D, Yuridope, Flow G",Philippines,2019,23
1630,"Lady Gaga, Bradley Cooper",Denmark,2019,23
1631,Jonas Brothers,Hungary,2019,23
1632,"Sachet Tandon, Sachet-Parampara",India,2019,23
1633,"Tymek, Big Scythe",Poland,2019,23
1634,Aitch,United Kingdom,2019,23
1635,"B Praak, Akshay Kumar & Nupur Sanon",India,2019,23
1636,Arizona Zervas,United States,2019,23
1637,Miss Li,Sweden,2019,23
1638,"KAROL G, Nicki Minaj",Paraguay,2019,23
1639,David Guetta,Lithuania,2017,23
1640,Hoang Thuy Linh,Vietnam,2020,23
1641,DJ Khaled,Switzerland,2017,23
1642,"Dua Lipa, Angèle",Belgium,2020,23
1643,Mariah Carey,Latvia,2020,23
1644,Dizzy DROS,Morocco,2020,23
1645,Abdullah Al Farwan,Saudi Arabia,2020,23
1646,Olivia Rodrigo,Bulgaria,2021,23
1647,Lil Nas X,India,2021,23
1648,"El Joker, Haram",Egypt,2021,23
1649,"Camila Cabello, Young Thug",Hungary,2017,23
1650,Farruko,Netherlands,2021,23
1651,Piso 21,Ecuador,2018,23
1652,Drake,Morocco,2020,22
1653,E.SO,Taiwan,2020,22
1654,"Marshmello, Anne-Marie",Hong Kong,2018,22
1655,Bad Bunny,Dominican Republic,2017,22
1656,Shakira,Mexico,2017,22
1657,Blaya,Portugal,2018,22
1658,Camila Cabello,Taiwan,2018,22
1659,Capital Bra,Switzerland,2018,22
1660,BTS,Japan,2018,22
1661,Kanye West,Global,2018,22
1662,"6ix9ine, Anuel AA",Panama,2018,22
1663,benny blanco,Australia,2018,22
1664,Paulo Londra,Ecuador,2019,22
1665,"Lady Gaga, Bradley Cooper",Poland,2019,22
1666,"Lady Gaga, Bradley Cooper",Czech Republic,2018,22
1667,Kodak Black,Canada,2018,22
1668,"December Avenue, Moira Dela Torre",Philippines,2019,22
1669,KitschKrieg,Germany,2018,22
1670,"Dave, Fredo",United Kingdom,2018,22
1671,Ozuna,Spain,2020,22
1672,Ava Max,Denmark,2018,22
1673,"Pedro Capó, Farruko",Costa Rica,2018,22
1674,Ed Sheeran,Canada,2019,22
1675,"Bad Bunny, Tainy",Paraguay,2019,22
1676,"Bad Bunny, Tainy",Ecuador,2019,22
1677,Jonas Brothers,Slovakia,2019,22
1678,"Black Eyed Peas, J Balvin",Uruguay,2019,22
1679,Red Velvet,Thailand,2020,22
1680,Tones And I,Malaysia,2019,22
1681,"Dímelo Flow, Arcangel, Sech",Paraguay,2020,22
1682,ANNA,Italy,2020,22
1683,Mad Clip,Greece,2020,22
1684,"J Balvin, Willy William",Belgium,2017,22
1685,DJ Khaled,Greece,2017,22
1686,"Luis Fonsi, Daddy Yankee, Justin Bieber",Czech Republic,2017,22
1687,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",New Zealand,2017,22
1688,"J Balvin, Willy William",Paraguay,2017,22
1689,"J Balvin, Maria Becerra",Peru,2021,22
1690,Mariah Carey,Austria,2020,22
1691,BTS,Singapore,2021,22
1692,Harnoor,India,2021,22
1693,Branco,Denmark,2020,22
1694,Olivia Rodrigo,Poland,2021,22
1695,Justin Bieber,United Arab Emirates,2021,22
1696,Lil Nas X,United Arab Emirates,2021,22
1697,Drake,Canada,2021,22
1698,Polo G,United States,2021,22
1699,Rauw Alejandro,Uruguay,2021,22
1700,Taylor Swift,Philippines,2021,22
1701,Ozuna,Mexico,2017,22
1702,Ed Sheeran,Thailand,2017,22
1703,The Kid LAROI,Hong Kong,2021,22
1704,Tainy,Colombia,2021,22
1705,Ozuna,Guatemala,2017,22
1706,Dua Lipa,Netherlands,2017,22
1707,"Camila Cabello, Young Thug",Philippines,2017,22
1708,Ariana Grande,Hungary,2018,21
1709,Daddy Yankee,Honduras,2018,21
1710,Bad Bunny,Honduras,2020,21
1711,The Weeknd,Malaysia,2018,21
1712,JVG,Finland,2018,21
1713,Evelina,Finland,2018,21
1714,C. Tangana,Spain,2020,21
1715,The Weeknd,Greece,2018,21
1716,Daddy Yankee,Peru,2018,21
1717,Drake,United States,2020,21
1718,Bausa,Austria,2018,21
1719,Çağatay Akman,Turkey,2017,21
1720,"Profeetat, Cheek, Elastinen",Finland,2017,21
1721,Ariana Grande,Romania,2018,21
1722,"Dynoro, Gigi D'Agostino",Norway,2018,21
1723,"Becky G, Natti Natasha",Peru,2018,21
1724,Anuel AA,Honduras,2018,21
1725,Kanye West,Iceland,2018,21
1726,XXXTENTACION,Romania,2018,21
1727,"Bizzey, Boef",Netherlands,2018,21
1728,"Ozuna, Manuel Turizo",Peru,2018,21
1729,"Marshmello, Bastille",Hong Kong,2018,21
1730,"Lady Gaga, Bradley Cooper",Sweden,2019,21
1731,BLACKPINK,Taiwan,2020,21
1732,DJ Snake,Switzerland,2018,21
1733,Palmy,Thailand,2018,21
1734,"Post Malone, Swae Lee",United States,2019,21
1735,"Herra Hnetusmjör, Huginn",Iceland,2019,21
1736,Ariana Grande,Finland,2019,21
1737,Billie Eilish,South Africa,2019,21
1738,BLACKPINK,Malaysia,2019,21
1739,"Alan Walker, Sabrina Carpenter, Farruko",India,2019,21
1740,Don Patricio,Spain,2019,21
1741,Ed Sheeran,Sweden,2019,21
1742,"Y2K, bbno$",Morocco,2019,21
1743,Eliad,Israel,2019,21
1744,Travis Scott,United States,2019,21
1745,"Taco Hemingway, Dawid Podsiadło",Poland,2019,21
1746,Gambi,France,2020,21
1747,"Chris Jedi, J Balvin, Ozuna, Arcangel",Dominican Republic,2017,21
1748,KESI,Denmark,2020,21
1749,Sơn Tùng M-TP,Vietnam,2020,21
1750,Mariah Carey,Ireland,2020,21
1751,Guzior,Poland,2020,21
1752,"BLOODY VINYL, Slait, tha Supreme",Italy,2020,21
1753,BTS,Indonesia,2021,21
1754,THE ROOP,Lithuania,2021,21
1755,"Lil Tjay, 6LACK",Canada,2021,21
1756,"sanah, Vito Bambino",Poland,2021,21
1757,Lil Nas X,France,2021,21
1758,Doja Cat,New Zealand,2021,21
1759,Farruko,Chile,2021,21
1760,Justin Bieber,Australia,2021,21
1761,Justin Bieber,Hong Kong,2021,21
1762,Young Leosia,Poland,2021,21
1763,"Los Legendarios, Wisin, Jhay Cortez",Mexico,2021,21
1764,Måneskin,Iceland,2021,21
1765,Ozuna,Paraguay,2017,21
1766,"ZAYN, Sia",Taiwan,2017,21
1767,Adele,Singapore,2021,21
1768,Eminem,Sweden,2018,21
1769,"El Alfa, Chael Produciendo, Farruko",Dominican Republic,2021,21
1770,"Maluma, Nego do Borel",Argentina,2018,21
1771,"Maluma, Nego do Borel",Peru,2017,21
1772,"Anuel AA, Bad Bunny",Dominican Republic,2020,20
1773,Clean Bandit,United Kingdom,2017,20
1774,Camila Cabello,Indonesia,2018,20
1775,CNCO,Costa Rica,2017,20
1776,"Powfu, beabadoobee",Singapore,2020,20
1777,Kanye West,South Africa,2018,20
1778,Ariana Grande,New Zealand,2020,20
1779,Bad Bunny,Bolivia,2020,20
1780,Childish Gambino,Israel,2018,20
1781,George Ezra,Ireland,2018,20
1782,Travis Scott,United States,2018,20
1783,Ariana Grande,Latvia,2018,20
1784,"Bonez MC, RAF Camora, Gzuz",Germany,2018,20
1785,Paulo Londra,Bolivia,2019,20
1786,"Lost Frequencies, Zonderling",Belgium,2018,20
1787,Dadju,France,2018,20
1788,George Ezra,New Zealand,2018,20
1789,DJ Snake,Greece,2018,20
1790,Paulo Londra,Spain,2019,20
1791,"Lady Gaga, Bradley Cooper",Hong Kong,2018,20
1792,Aleyna Tilki,Turkey,2019,20
1793,"Anuel AA, KAROL G",Chile,2019,20
1794,PNL,Belgium,2019,20
1795,"Samra, Capital Bra",Switzerland,2019,20
1796,"Nekfeu, Damso",France,2019,20
1797,"Bad Bunny, Tainy",Guatemala,2019,20
1798,Jonas Brothers,Hong Kong,2019,20
1799,"Capital Bra, Samra",Germany,2019,20
1800,Jonas Brothers,India,2019,20
1801,"Pedro Capó, Farruko",El Salvador,2018,20
1802,"Loredana, Mozzik",Germany,2019,20
1803,"Capital Bra, Samra, LEA",Germany,2019,20
1804,tha Supreme,Italy,2020,20
1805,The Weeknd,New Zealand,2020,20
1806,"Soolking, Cheb Mami",Morocco,2020,20
1807,The Weeknd,Slovakia,2020,20
1808,Drake,Denmark,2020,20
1809,Drake,Switzerland,2020,20
1810,Macklemore,Australia,2017,20
1811,21 Savage,United States,2017,20
1812,"Lost Frequencies, Netsky",Belgium,2017,20
1813,Taylor Swift,Thailand,2017,20
1814,Manuel Turizo,Mexico,2017,20
1815,Barry,Saudi Arabia,2020,20
1816,"Jimilian, Fouli",Denmark,2020,20
1817,"Guru Randhawa, Nikhita Gandhi, Tanishk Bagchi, Nora Fatehi",India,2020,20
1818,"Miriam Bryant, Yasin",Sweden,2020,20
1819,KAROL G,Peru,2021,20
1820,Mariah Carey,Netherlands,2020,20
1821,Olivia Rodrigo,Sweden,2021,20
1822,Lil Nas X,Canada,2021,20
1823,"Gera MX, Christian Nodal",Nicaragua,2021,20
1824,Masked Wolf,Hungary,2021,20
1825,Masked Wolf,United Arab Emirates,2021,20
1826,"Natti Natasha, Ozuna",Chile,2017,20
1827,"Selena Gomez, Marshmello",Czech Republic,2017,20
1828,Lil Nas X,New Zealand,2021,20
1829,INSTASAMKA,Russia,2021,20
1830,Mart Hoogkamer,Netherlands,2021,20
1831,"Big Baby Tape, kizaru",Latvia,2021,20
1832,Pikku G,Finland,2017,20
1833,"Post Malone, 21 Savage",Latvia,2018,20
1834,Lvbel C5,Turkey,2021,20
1835,BLANCO,Italy,2021,20
1836,"Maluma, Nego do Borel",Argentina,2017,20
1837,"Ronnie Flex, Maan",Netherlands,2017,20
