,artist,region,date,n
123,"Luis Fonsi, Daddy Yankee, Justin Bieber",Hong Kong,2017,93
124,Bad Bunny,Colombia,2021,93
125,Rauw Alejandro,Mexico,2021,93
126,Olivia Rodrigo,New Zealand,2021,93
127,"Post Malone, 21 Savage",Switzerland,2017,93
128,Ed Sheeran,New Zealand,2017,92
129,Luis Fonsi,Colombia,2017,92
130,"Shawn Mendes, Camila Cabello",Hungary,2019,92
131,Tones And I,Switzerland,2019,92
132,Luis Fonsi,Uruguay,2017,91
133,Ed Sheeran,Singapore,2017,91
134,SAINt JHN,Hungary,2020,91
135,Dawid Podsiadło,Poland,2018,91
136,Tones And I,South Africa,2019,91
137,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Colombia,2019,91
138,"Luis Fonsi, Daddy Yankee, Justin Bieber",Indonesia,2017,91
139,Olivia Rodrigo,Australia,2021,91
140,Luis Fonsi,Guatemala,2017,90
141,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Honduras,2018,90
142,Luis Fonsi,Ecuador,2017,90
143,Luis Fonsi,El Salvador,2017,90
144,DJ-MK,Saudi Arabia,2020,90
145,BLACKPINK,Malaysia,2020,90
146,"Shawn Mendes, Camila Cabello",Israel,2019,90
147,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Ecuador,2019,90
148,"Azahriah, DESH",Hungary,2021,90
149,Luis Fonsi,Bolivia,2017,89
150,Ariana Grande,Hong Kong,2018,89
151,"Sech, Darell",Costa Rica,2019,89
152,Olivia Rodrigo,United Arab Emirates,2021,89
153,"Quebonafide, Duit, Daria Zawiałow",Poland,2020,88
154,Luis Fonsi,Peru,2017,88
155,Luis Fonsi,Nicaragua,2017,88
156,"Sech, Darell",Bolivia,2019,88
157,"Shawn Mendes, Camila Cabello",Taiwan,2019,88
158,"Shawn Mendes, Camila Cabello",Czech Republic,2019,88
159,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Nicaragua,2019,88
160,Apache 207,Germany,2019,88
161,"Luis Fonsi, Daddy Yankee, Justin Bieber",Sweden,2017,88
162,"Luis Fonsi, Daddy Yankee, Justin Bieber",Ireland,2017,88
163,"Rack, Saske",Greece,2021,88
164,Olivia Rodrigo,Canada,2021,88
165,"Post Malone, 21 Savage",Latvia,2017,88
166,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",El Salvador,2018,87
167,Luis Fonsi,Honduras,2017,87
168,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Costa Rica,2019,87
169,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",El Salvador,2019,87
170,"KAROL G, Nicki Minaj",Uruguay,2020,87
171,The Kid LAROI,Norway,2021,87
172,Lo & Leduc,Switzerland,2018,86
173,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Costa Rica,2018,86
174,Luis Fonsi,Dominican Republic,2017,86
175,Luis Fonsi,Argentina,2017,86
176,Drake,Israel,2018,86
177,Luis Fonsi,Chile,2017,86
178,Tones And I,Slovakia,2019,86
179,"Luis Fonsi, Daddy Yankee, Justin Bieber",Denmark,2017,86
180,Bad Bunny,Panama,2021,86
181,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Ecuador,2018,85
182,nublu,Estonia,2018,85
183,BLACKPINK,Singapore,2020,85
184,Idan Rafael Haviv,Israel,2020,85
185,"Elton John, Dua Lipa",Lithuania,2021,85
186,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Panama,2018,84
187,"Bad Bunny, Jowell & Randy, Ñengo Flow",Mexico,2020,84
188,Luis Fonsi,Mexico,2017,84
189,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Guatemala,2019,84
190,"KAROL G, Nicki Minaj",Argentina,2020,84
191,Roddy Ricch,United Arab Emirates,2020,84
192,"Luis Fonsi, Daddy Yankee, Justin Bieber",Iceland,2017,84
193,24kGoldn,Austria,2020,84
194,Olivia Rodrigo,Singapore,2021,84
195,The Kid LAROI,Canada,2021,84
196,BTS,India,2020,83
197,BTS,Vietnam,2020,83
198,"Shawn Mendes, Camila Cabello",South Africa,2019,83
199,"Shawn Mendes, Camila Cabello",Romania,2019,83
200,Tones And I,Czech Republic,2019,83
201,"Luis Fonsi, Daddy Yankee, Justin Bieber",Philippines,2017,83
202,"J Balvin, Willy William",Chile,2017,83
203,24kGoldn,Belgium,2020,83
204,"Bad Bunny, Jhay Cortez",Guatemala,2021,83
205,"TACONAFIDE, Quebonafide, Taco Hemingway",Poland,2018,82
206,"Bad Bunny, Jowell & Randy, Ñengo Flow",El Salvador,2020,82
207,The Weeknd,Global,2020,82
208,Ben Fero,Turkey,2019,82
209,"J Balvin, Willy William",El Salvador,2017,82
210,Maluma,Colombia,2020,82
211,"CKay, ElGrandeToto",Morocco,2020,82
212,"Bad Bunny, Jhay Cortez",Honduras,2021,82
213,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Chile,2018,81
214,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Peru,2018,81
215,Ariana Grande,Singapore,2018,81
216,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Mexico,2019,81
217,Tones And I,Saudi Arabia,2020,81
218,Bausa,Germany,2017,81
219,Apache 207,Germany,2020,80
220,Pop Pongkool,Thailand,2018,80
221,Wet Bed Gang,Portugal,2018,80
222,"Sin Boy, Mad Clip, Ypo, iLLEOo",Greece,2019,80
223,Billie Eilish,Hungary,2019,80
224,"J Balvin, Willy William",Guatemala,2017,80
225,Maluma,Bolivia,2017,80
226,Pamungkas,Indonesia,2021,80
227,"Static & Ben El, Netta",Israel,2021,80
228,Calvin Harris,Belgium,2018,79
229,Drake,Iceland,2018,79
230,Victor Leksell,Norway,2020,79
231,"Bad Bunny, Jowell & Randy, Ñengo Flow",Honduras,2020,79
232,Henrique & Juliano,Brazil,2020,79
233,Olivia Rodrigo,Netherlands,2021,79
234,The Kid LAROI,Global,2021,79
235,Sam Smith,Philippines,2017,79
236,Luis Fonsi,Costa Rica,2017,78
237,Drake,Switzerland,2018,78
238,"Matheus & Kauan, Anitta",Brazil,2018,78
239,"J Balvin, Zion & Lennox",Colombia,2018,78
240,Maroon 5,Philippines,2019,78
241,Roddy Ricch,United States,2020,78
242,24kGoldn,Switzerland,2020,78
243,Ed Sheeran,Denmark,2017,77
244,BLACKPINK,Hong Kong,2020,77
245,Tones And I,Israel,2020,77
246,"Luis Fonsi, Daddy Yankee, Justin Bieber",Hungary,2017,77
247,Olivia Rodrigo,Norway,2021,77
248,Crowd Lu,Taiwan,2021,77
249,SLAVA MARLOW,Ukraine,2020,77
250,Olivia Rodrigo,Portugal,2021,77
251,EggPlantEgg,Taiwan,2021,77
252,"Post Malone, 21 Savage",United Kingdom,2017,77
253,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Guatemala,2018,76
254,Ed Sheeran,Canada,2017,76
255,Ed Sheeran,Indonesia,2017,76
256,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Dominican Republic,2018,76
257,Ariana Grande,Vietnam,2019,76
258,Billie Eilish,Iceland,2019,76
259,Tones And I,Global,2019,76
260,Niska,France,2017,76
261,"J Balvin, Willy William",Honduras,2017,76
262,"Luis Fonsi, Daddy Yankee, Justin Bieber",Greece,2017,76
263,Maluma,Peru,2020,76
264,Maluma,Argentina,2020,76
265,BTS,India,2021,76
266,Maluma,Bolivia,2020,76
267,"Myke Towers, Juhn",Paraguay,2021,76
268,Bad Bunny,Panama,2018,75
269,The Weeknd,Iceland,2020,75
270,"Carlos Vives, Sebastian Yatra",Colombia,2017,75
271,Maluma,Uruguay,2020,75
272,"Post Malone, 21 Savage",Denmark,2017,75
273,Ozuna,Costa Rica,2017,75
274,Ariana Grande,Malaysia,2018,74
275,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Bolivia,2018,74
276,Tones And I,United Kingdom,2019,74
277,Maluma,Mexico,2020,74
278,Calvin Harris,United Kingdom,2018,73
279,J Balvin,Guatemala,2020,73
280,SNIK,Greece,2020,73
281,Tilly Birds,Thailand,2020,73
282,Burry Soprano,Turkey,2018,73
283,"Shawn Mendes, Camila Cabello",Slovakia,2019,73
284,"Shawn Mendes, Camila Cabello",Belgium,2019,73
285,"Bad Bunny, Jhay Cortez",El Salvador,2021,73
286,Olivia Rodrigo,South Africa,2021,73
287,DaBaby,Canada,2020,72
288,Bad Bunny,Guatemala,2018,72
289,"Shawn Mendes, Camila Cabello",India,2019,72
290,Tones And I,Israel,2019,72
291,Maluma,Ecuador,2020,72
292,"Los Legendarios, Wisin, Jhay Cortez",Chile,2021,72
293,Maluma,Peru,2021,72
294,Ed Sheeran,Portugal,2017,71
295,SAINt JHN,Slovakia,2020,71
296,Billie Eilish,Poland,2019,71
297,Lewis Capaldi,Ireland,2019,71
298,Billie Eilish,Romania,2019,71
