,title,artist,region,year,stream,Rank
68,Por Perro,"Sebastian Yatra, Luis Figueroa, Lary Over",Guatemala,2018,2323402,9
69,Dembow,Danny Ocean,Guatemala,2018,2229235,10
70,Tusa,"KAROL G, Nicki Minaj",Guatemala,2020,7899843,1
71,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Guatemala,2020,7122904,2
72,Hawái,Maluma,Guatemala,2020,6933265,3
73,Pa' Olvidarme De Ella,"Piso 21, Christian Nodal",Guatemala,2020,6639057,4
74,Rojo,J Balvin,Guatemala,2020,6548828,5
75,Vete,Bad Bunny,Guatemala,2020,6203574,6
76,Ignorantes,"Bad Bunny, Sech",Guatemala,2020,5912856,7
77,Fantasias,"Rauw Alejandro, Farruko",Guatemala,2020,5852378,8
78,LA CANCIÓN,"J Balvin, Bad Bunny",Guatemala,2020,5666161,9
79,La Jeepeta - Remix,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",Guatemala,2020,5641387,10
80,Me Rehúso,Danny Ocean,Honduras,2017,2189510,1
81,Despacito (Featuring Daddy Yankee),Luis Fonsi,Honduras,2017,1805570,2
82,Shape of You,Ed Sheeran,Honduras,2017,1768658,3
83,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,Honduras,2017,1571083,4
84,Felices los 4,Maluma,Honduras,2017,1346665,5
85,Ahora Dice,"Chris Jedi, J Balvin, Ozuna, Arcangel",Honduras,2017,1337634,6
86,Otra vez (feat. J Balvin),Zion & Lennox,Honduras,2017,1307386,7
87,Escápate Conmigo,"Wisin, Ozuna",Honduras,2017,1263522,8
88,El Amante,Nicky Jam,Honduras,2017,1186773,9
89,Sigo Extrañándote,J Balvin,Honduras,2017,1176076,10
90,Tusa,"KAROL G, Nicki Minaj",Honduras,2020,2730089,1
91,Vete,Bad Bunny,Honduras,2020,2661859,2
92,Safaera,"Bad Bunny, Jowell & Randy, Ñengo Flow",Honduras,2020,2590808,3
93,Ignorantes,"Bad Bunny, Sech",Honduras,2020,2561118,4
94,Hawái,Maluma,Honduras,2020,2363918,5
95,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Honduras,2020,2357123,6
96,Si Veo a Tu Mamá,Bad Bunny,Honduras,2020,2291970,7
97,Blinding Lights,The Weeknd,Honduras,2020,2273124,8
98,Rojo,J Balvin,Honduras,2020,2267764,9
99,La Jeepeta - Remix,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",Honduras,2020,2242320,10
100,FRIENDS,"Marshmello, Anne-Marie",Hungary,2018,2160469,1
101,In My Mind,"Dynoro, Gigi D'Agostino",Hungary,2018,1949676,2
102,Solo (feat. Demi Lovato),Clean Bandit,Hungary,2018,1914780,3
103,One Kiss (with Dua Lipa),Calvin Harris,Hungary,2018,1821003,4
104,Nevermind,Dennis Lloyd,Hungary,2018,1813311,5
105,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,Hungary,2018,1746585,6
106,IDGAF,Dua Lipa,Hungary,2018,1734122,7
107,Havana (feat. Young Thug),Camila Cabello,Hungary,2018,1635014,8
108,Nem Tudja Senki,Follow The Flow,Hungary,2018,1532545,9
109,Youngblood,5 Seconds of Summer,Hungary,2018,1409372,10
110,Mind1,"Azahriah, DESH",Hungary,2021,4901597,1
111,The Business,Tiësto,Hungary,2021,4674254,2
112,MONTERO (Call Me By Your Name),Lil Nas X,Hungary,2021,4460877,3
113,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers",Hungary,2021,4125494,4
114,RÉT,"Azahriah, DESH",Hungary,2021,3837079,5
115,Astronaut In The Ocean,Masked Wolf,Hungary,2021,3706992,6
116,Levitating (feat. DaBaby),Dua Lipa,Hungary,2021,3702078,7
117,Bad Habits,Ed Sheeran,Hungary,2021,3626526,8
118,good 4 u,Olivia Rodrigo,Hungary,2021,3487043,9
119,Head & Heart (feat. MNEK),Joel Corry,Hungary,2021,3428608,10
120,Shayad,"Pritam, Arijit Singh",India,2020,43411564,1
121,"""Ghungroo (From """"War"""")""","Arijit Singh, Shilpa Rao",India,2020,34530603,2
122,"""Tujhe Kitna Chahne Lage (From """"Kabir Singh"""")""","Arijit Singh, Mithoon",India,2020,34255948,3
123,Falling,Trevor Daniel,India,2020,33601943,4
124,Makhna,"Tanishk Bagchi, Yasser Desai, Asees Kaur",India,2020,33344859,5
125,Blinding Lights,The Weeknd,India,2020,31474678,6
126,"""Garmi (From """"Street Dancer 3D"""") (feat. Varun Dhawan)""","Badshah, Neha Kakkar",India,2020,31096825,7
127,"""Tu Hi Yaar Mera (From """"Pati Patni Aur Woh"""")""","Rochak Kohli, Arijit Singh, Neha Kakkar",India,2020,30485666,8
128,Liggi,Ritviz,India,2020,29492371,9
129,"""Malang (Title Track) [From """"Malang - Unleash The Madness""""]""",Ved Sharma,India,2020,29044101,10
130,To the Bone,Pamungkas,Indonesia,2021,89724958,1
131,Blue Jeans,GANGGA,Indonesia,2021,68868445,2
132,Bertaut,Nadin Amizah,Indonesia,2021,64928709,3
133,Here's Your Perfect,Jamie Miller,Indonesia,2021,59374741,4
134,happier,Olivia Rodrigo,Indonesia,2021,51855340,5
135,At My Worst,Pink Sweat$,Indonesia,2021,51511415,6
136,double take,dhruv,Indonesia,2021,47344803,7
137,Heartbreak Anniversary,Giveon,Indonesia,2021,47296969,8
138,Lantas,Juicy Luicy,Indonesia,2021,45179627,9
139,It's You,Sezairi,Indonesia,2021,43898538,10
140,Blinding Lights,The Weeknd,Ireland,2020,14493933,1
141,Roses - Imanbek Remix,SAINt JHN,Ireland,2020,12635219,2
142,ROCKSTAR (feat. Roddy Ricch),DaBaby,Ireland,2020,9995522,3
143,Head & Heart (feat. MNEK),Joel Corry,Ireland,2020,9361589,4
144,Watermelon Sugar,Harry Styles,Ireland,2020,8851194,5
145,Don't Start Now,Dua Lipa,Ireland,2020,8512460,6
146,Before You Go,Lewis Capaldi,Ireland,2020,8484943,7
147,Dance Monkey,Tones And I,Ireland,2020,8158364,8
148,Giants,Dermot Kennedy,Ireland,2020,7936035,9
149,The Box,Roddy Ricch,Ireland,2020,7929493,10
150,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",New Zealand,2019,10372713,1
151,bad guy,Billie Eilish,New Zealand,2019,9121202,2
152,Wow.,Post Malone,New Zealand,2019,8172884,3
153,Someone You Loved,Lewis Capaldi,New Zealand,2019,8065125,4
154,Dance Monkey,Tones And I,New Zealand,2019,7515801,5
155,Señorita,"Shawn Mendes, Camila Cabello",New Zealand,2019,7480301,6
156,I Don't Care (with Justin Bieber),Ed Sheeran,New Zealand,2019,7434220,7
157,7 rings,Ariana Grande,New Zealand,2019,7212272,8
158,Shallow,"Lady Gaga, Bradley Cooper",New Zealand,2019,7071844,9
159,Eastside (with Halsey & Khalid),benny blanco,New Zealand,2019,6395349,10
160,Dance Monkey,Tones And I,Norway,2019,28046454,1
161,Shallow,"Lady Gaga, Bradley Cooper",Norway,2019,24450353,2
162,Someone You Loved,Lewis Capaldi,Norway,2019,19820822,3
163,Señorita,"Shawn Mendes, Camila Cabello",Norway,2019,19590319,4
164,bad guy,Billie Eilish,Norway,2019,18645358,5
165,HALLO,"Isah, Dutty Dior",Norway,2019,16744985,6
166,I Don't Care (with Justin Bieber),Ed Sheeran,Norway,2019,14828333,7
167,Sweet but Psycho,Ava Max,Norway,2019,13748034,8
168,Always Remember Us This Way,Lady Gaga,Norway,2019,13561240,9
169,Raske Briller,Nicolay Ramm,Norway,2019,13549825,10
170,Imahe,Magnus Haven,Philippines,2020,53918712,1
171,Beautiful Scars,Maximillian,Philippines,2020,44889499,2
172,Make It With You,Ben&Ben,Philippines,2020,44368025,3
173,Intentions (feat. Quavo),Justin Bieber,Philippines,2020,43667925,4
174,Someone You Loved,Lewis Capaldi,Philippines,2020,41494552,5
175,Don't Start Now,Dua Lipa,Philippines,2020,40797697,6
176,Pagtingin,Ben&Ben,Philippines,2020,38937198,7
177,Memories,Maroon 5,Philippines,2020,37961944,8
178,Teka Lang,Emman,Philippines,2020,37958825,9
179,Dynamite,BTS,Philippines,2020,37777837,10
180,Fiołkowe Pole,"Sobel, Piotrek Lewandowski",Poland,2021,30209504,1
181,Kiss cam (podryw roku),Mata,Poland,2021,30035928,2
182,Ale jazz!,"sanah, Vito Bambino",Poland,2021,29938305,3
183,Disney,Kizo,Poland,2021,28963366,4
184,Bandyta,"Sobel, PSR",Poland,2021,28266471,5
185,Patoreakcja,Mata,Poland,2021,25461436,6
186,Papuga,"Mata, Quebonafide, Malik Montana",Poland,2021,23691281,7
187,BLUEBERRY,Guzior,Poland,2021,23656038,8
188,etc. (na disco),sanah,Poland,2021,22532524,9
189,FALA,"Guzior, Oskar83",Poland,2021,22492899,10
190,Señorita,"Shawn Mendes, Camila Cabello",Singapore,2019,13345763,1
191,怎麼了,Eric Chou,Singapore,2019,9134822,2
192,Boy With Luv (feat. Halsey),BTS,Singapore,2019,9079043,3
193,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Singapore,2019,8808728,4
194,7 rings,Ariana Grande,Singapore,2019,8750915,5
195,Someone You Loved,Lewis Capaldi,Singapore,2019,8743543,6
196,I Don't Care (with Justin Bieber),Ed Sheeran,Singapore,2019,8087059,7
197,Kill This Love,BLACKPINK,Singapore,2019,8053984,8
198,i'm so tired...,"Lauv, Troye Sivan",Singapore,2019,7877792,9
199,bad guy,Billie Eilish,Singapore,2019,7448074,10
200,bad guy,Billie Eilish,Slovakia,2019,1677430,1
201,Dance Monkey,Tones And I,Slovakia,2019,1664176,2
202,Señorita,"Shawn Mendes, Camila Cabello",Slovakia,2019,1523278,3
203,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Slovakia,2019,1153209,4
204,I Don't Care (with Justin Bieber),Ed Sheeran,Slovakia,2019,1143427,5
205,Someone You Loved,Lewis Capaldi,Slovakia,2019,1119735,6
206,7 rings,Ariana Grande,Slovakia,2019,1077569,7
207,Beautiful People (feat. Khalid),Ed Sheeran,Slovakia,2019,1062765,8
208,Wow.,Post Malone,Slovakia,2019,1050096,9
209,Shallow,"Lady Gaga, Bradley Cooper",Slovakia,2019,1035871,10
210,Sin Pijama,"Becky G, Natti Natasha",Spain,2018,61345239,1
211,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Spain,2018,58885264,2
212,Vaina Loca,"Ozuna, Manuel Turizo",Spain,2018,51187599,3
213,Usted,"Juan Magán, Mala Rodríguez",Spain,2018,50525979,4
214,Me Niego (feat. Ozuna & Wisin),Reik,Spain,2018,49794262,5
215,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofía Reyes,Spain,2018,48826831,6
216,Duro y Suave,"Leslie Grace, Noriel",Spain,2018,43639764,7
217,X,"Nicky Jam, J Balvin",Spain,2018,41352991,8
218,La Cintura,Alvaro Soler,Spain,2018,40209950,9
219,TELÉFONO,Aitana,Spain,2018,39815391,10
220,tystnar i luren,"Miriam Bryant, Victor Leksell",Sweden,2021,34954933,1
221,Samma gamla vanliga,A36,Sweden,2021,27863802,2
222,Gamora,"Hov1, Einár",Sweden,2021,27759632,3
223,Svag,Victor Leksell,Sweden,2021,25348461,4
224,STAY (with Justin Bieber),The Kid LAROI,Sweden,2021,23670032,5
225,Du måste finnas,Newkid,Sweden,2021,23295581,6
226,Barn av vår tid,Hov1,Sweden,2021,22747948,7
227,Lose my mind,Myra Granberg,Sweden,2021,22554972,8
228,Bad Habits,Ed Sheeran,Sweden,2021,21971355,9
229,Starkare,Newkid,Sweden,2021,18266563,10
230,Geceler,Ezhel,Turkey,2018,22601858,1
231,Heyecanı Yok,Gazapizm,Turkey,2018,17551449,2
232,Yalnız Çiçek,"Aleyna Tilki, Emrah Karaduman",Turkey,2018,16365457,3
233,İmkansızım,Ezhel,Turkey,2018,16278406,4
234,Elbet Bir Gün,Canbay & Wolker,Turkey,2018,13313352,5
235,Kazıdık Tırnaklarla,Ezhel,Turkey,2018,12947436,6
236,Vuracak,Merve Özbey,Turkey,2018,12803428,7
237,Şehrimin Tadı,Ezhel,Turkey,2018,12060394,8
238,Mary Jane (Radio Edit),Burry Soprano,Turkey,2018,11620719,9
239,Yanıyoruz,Burak King,Turkey,2018,11450951,10
240,Someone You Loved,Lewis Capaldi,United Kingdom,2019,122276807,1
241,bad guy,Billie Eilish,United Kingdom,2019,77685522,2
242,Vossi Bop,Stormzy,United Kingdom,2019,71461472,3
243,I Don't Care (with Justin Bieber),Ed Sheeran,United Kingdom,2019,70266310,4
244,Location (feat. Burna Boy),Dave,United Kingdom,2019,66057210,5
245,Piece Of Your Heart,"MEDUZA, Goodboys",United Kingdom,2019,64732375,6
246,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",United Kingdom,2019,64572330,7
247,7 rings,Ariana Grande,United Kingdom,2019,63914517,8
248,Wow.,Post Malone,United Kingdom,2019,61988909,9
249,Ladbroke Grove,AJ Tracey,United Kingdom,2019,60897884,10
250,Hawái,Maluma,Bolivia,2020,4660502,1
251,Tusa,"KAROL G, Nicki Minaj",Bolivia,2020,4645668,2
252,Pa' Olvidarme De Ella,"Piso 21, Christian Nodal",Bolivia,2020,3629174,3
253,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Bolivia,2020,3243499,4
254,Rojo,J Balvin,Bolivia,2020,3198479,5
255,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Bolivia,2020,3165871,6
256,La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers",Bolivia,2020,3097778,7
257,"Ay, DiOs Mío!",KAROL G,Bolivia,2020,2971159,8
258,Blinding Lights,The Weeknd,Bolivia,2020,2915546,9
259,La Jeepeta - Remix,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",Bolivia,2020,2908319,10
260,Batom de Cereja - Ao Vivo,Israel & Rodolffo,Brazil,2021,192874988,1
261,Meu Pedaço de Pecado,João Gomes,Brazil,2021,166292255,2
262,Facas - Ao Vivo,"Diego & Victor Hugo, Bruno & Marrone",Brazil,2021,160415088,3
263,Baby Me Atende,"Matheus Fernandes, Dilsinho",Brazil,2021,159667729,4
264,"Ele É Ele, Eu Sou Eu","Wesley Safadão, Os Barões Da Pisadinha",Brazil,2021,155880641,5
