,title,artist,date,n
105,Dura,Daddy Yankee,2018-02,206
106,Yonaguni,Bad Bunny,2021-09,206
107,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",2019-10,205
108,The Box,Roddy Ricch,2020-01,203
109,positions,Ariana Grande,2020-11,203
110,good 4 u,Olivia Rodrigo,2021-05,203
111,WAP (feat. Megan Thee Stallion),Cardi B,2020-08,201
112,STAY (with Justin Bieber),The Kid LAROI,2021-07,201
113,Hawái,Maluma,2020-08,199
114,ROCKSTAR (feat. Roddy Ricch),DaBaby,2020-05,198
115,I Love It (& Lil Pump),Kanye West,2018-09,195
116,All I Want for Christmas Is You,Mariah Carey,2018-12,195
117,Callaita,"Bad Bunny, Tainy",2019-07,195
118,MIA (feat. Drake),Bad Bunny,2018-10,194
119,Bandido,"Myke Towers, Juhn",2021-03,193
120,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",2018-07,192
121,In My Mind,"Dynoro, Gigi D'Agostino",2018-09,191
122,Memories,Maroon 5,2019-11,188
123,Yonaguni,Bad Bunny,2021-08,187
124,Sucker,Jonas Brothers,2019-03,184
125,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",2019-11,182
126,Look What You Made Me Do,Taylor Swift,2017-09,179
127,Shallow,"Lady Gaga, Bradley Cooper",2018-10,174
128,FRIENDS,"Marshmello, Anne-Marie",2018-03,172
129,Butter,BTS,2021-06,172
130,How You Like That,BLACKPINK,2020-07,171
131,HUMBLE.,Kendrick Lamar,2017-04,169
132,Pa Mí - Remix,"Dalex, Rafa Pabön, KHEA, Sech, Cazzu, Feid, Lenny Tavárez",2019-04,168
133,Todo De Ti,Rauw Alejandro,2021-06,168
134,Permission to Dance,BTS,2021-07,163
135,Lovesick Girls,BLACKPINK,2020-10,163
136,Dance Monkey,Tones And I,2020-02,162
137,The Box,Roddy Ricch,2020-03,161
138,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",2020-07,159
