,artist,date,n
150,"Bad Bunny, Tainy",2019-06,153
151,Justin Bieber,2021-03,152
152,Post Malone,2019-01,150
153,Drake,2018-01,150
154,Bad Bunny,2018-02,149
155,Maroon 5,2018-06,149
156,Internet Money,2020-10,149
157,"Pedro Capó, Farruko",2018-12,148
158,Tones And I,2019-08,148
159,Farruko,2021-08,147
160,Bad Bunny,2018-11,145
161,SAINt JHN,2020-04,144
162,XXXTENTACION,2018-06,143
163,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",2019-07,143
164,Travis Scott,2019-10,142
165,Maroon 5,2019-10,142
166,Sech,2020-06,141
167,Bad Bunny,2020-03,138
168,Camila Cabello,2018-01,138
169,BTS,2021-05,136
170,"Lady Gaga, Bradley Cooper",2018-11,134
171,Ozuna,2017-10,134
172,Imagine Dragons,2017-07,133
173,"Natti Natasha, Ozuna",2017-10,133
174,J Balvin,2020-05,130
175,Calvin Harris,2018-06,130
176,The Weeknd,2020-05,128
177,"Camila Cabello, Young Thug",2017-11,127
178,Post Malone,2018-05,126
179,Mariah Carey,2017-12,126
180,"Post Malone, Swae Lee",2019-01,125
181,"The Chainsmokers, Coldplay",2017-04,123
182,Axwell /\ Ingrosso,2017-08,123
183,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",2020-08,122
184,Masked Wolf,2021-02,122
185,Bad Bunny,2018-03,121
186,"Camila Cabello, Young Thug",2017-12,121
187,"Dalex, Rafa Pabön, KHEA, Sech, Cazzu, Feid, Lenny Tavárez",2019-03,120
188,"Daddy Yankee, Snow",2019-04,120
189,"THE SCOTTS, Travis Scott, Kid Cudi",2020-04,120
190,Taylor Swift,2017-08,120
191,"Luis Fonsi, Demi Lovato",2017-12,120
192,Paulo Londra,2018-11,119
193,Sam Smith,2017-10,119
194,"Jawsh 685, Jason Derulo",2020-08,117
195,Ed Sheeran,2021-07,115
196,"Bad Bunny, Jhay Cortez",2021-03,115
197,Danny Ocean,2017-06,113
198,"Bad Bunny, Prince Royce, J Balvin, Mambo Kingz, DJ Luian",2017-11,112
199,Lil Nas X,2021-08,112
200,"Marshmello, Anne-Marie",2018-04,110
201,"Sebastian Yatra, Myke Towers",2021-05,109
202,The Weeknd,2018-04,108
203,BTS,2020-08,108
204,Billie Eilish,2020-11,108
205,Mariah Carey,2019-12,107
206,DJ Khaled,2017-07,107
207,Wham!,2020-12,107
208,Måneskin,2021-05,107
209,Eminem,2017-12,107
210,"Sech, Darell",2019-07,105
211,Billie Eilish,2019-11,105
212,Luis Fonsi,2017-05,105
213,BTS,2020-11,104
214,"Los Legendarios, Wisin, Jhay Cortez",2021-05,103
215,Maroon 5,2018-07,102
216,Paulo Londra,2019-01,102
217,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",2020-06,101
218,The Kid LAROI,2021-10,101
219,"Bad Bunny, Jowell & Randy, Ñengo Flow",2020-05,99
220,Eminem,2018-09,99
221,The Weeknd,2020-01,99
222,"Myke Towers, Juhn",2021-01,99
223,Rauw Alejandro,2021-05,99
224,SAINt JHN,2020-05,98
225,BLACKPINK,2019-04,98
226,BTS,2019-04,97
227,Piso 21,2017-12,96
228,Camilo,2020-05,95
229,Justin Bieber,2020-03,95
230,"Daddy Yankee, Snow",2019-02,94
231,"THE SCOTTS, Travis Scott, Kid Cudi",2020-05,92
232,"Anuel AA, KAROL G",2019-01,92
233,Dua Lipa,2017-09,92
234,Bad Bunny,2020-05,91
235,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",2018-04,91
236,BTS,2018-05,90
237,6ix9ine,2020-05,90
238,J Balvin,2020-04,90
239,"Los Legendarios, Wisin, Jhay Cortez",2021-03,90
240,"KAROL G, Nicki Minaj",2019-11,89
241,Eminem,2020-01,89
242,Childish Gambino,2018-05,88
243,Drake,2020-05,88
244,Lil Nas X,2019-04,88
245,Post Malone,2019-09,88
246,24kGoldn,2020-11,88
247,"Selena Gomez, Marshmello",2017-11,88
248,Olivia Rodrigo,2021-03,86
249,"Becky G, Bad Bunny",2017-10,85
250,"Dynoro, Gigi D'Agostino",2018-10,83
251,Calvin Harris,2018-04,82
252,"Lady Gaga, Bradley Cooper",2019-03,82
253,ROSÉ,2021-03,82
254,J Balvin,2020-06,81
255,Kendrick Lamar,2018-02,81
256,"Gera MX, Christian Nodal",2021-05,81
257,Ed Sheeran,2017-11,81
258,"Bad Bunny, Sech",2020-02,80
259,"Marshmello, Bastille",2018-10,79
260,"Becky G, Natti Natasha",2018-07,78
261,Ariana Grande,2018-04,77
262,"Becky G, Paulo Londra",2018-09,76
263,"Powfu, beabadoobee",2020-04,76
264,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",2017-05,76
265,Doja Cat,2021-05,76
266,David Guetta,2017-06,75
267,BLACKPINK,2020-08,75
268,"Jay Wheeler, DJ Nelson, Myke Towers",2020-08,75
269,Glass Animals,2021-10,75
270,"Selena Gomez, Marshmello",2017-12,75
271,Eminem,2018-01,74
272,Ariana Grande,2018-05,73
273,Shakira,2017-01,73
274,BTS,2020-10,73
275,The Weeknd,2020-06,72
276,MORGENSHTERN,2021-01,72
277,"Carlos Vives, Sebastian Yatra",2017-09,72
278,Bad Bunny,2018-12,71
279,Clean Bandit,2017-04,71
280,"ZAYN, Sia",2017-10,71
281,"Big Baby Tape, kizaru",2021-11,71
282,Kendrick Lamar,2018-03,70
283,Danny Ocean,2017-04,70
284,Ariana Grande,2020-10,70
285,Ava Max,2019-01,69
286,"Pedro Capó, Farruko",2019-02,69
287,Farruko,2021-09,69
288,Danny Ocean,2017-07,68
289,"J Balvin, Zion & Lennox",2018-08,67
290,J Balvin,2020-03,67
291,Sam Smith,2017-09,67
292,Maroon 5,2019-12,66
293,Taylor Swift,2021-11,66
294,"Luis Fonsi, Demi Lovato",2018-01,66
295,Ava Max,2018-11,65
296,BTS,2019-05,65
297,"Rauw Alejandro, Farruko",2019-11,65
298,BTS,2020-12,65
299,SAINt JHN,2020-06,64
300,Clean Bandit,2018-06,64
301,"ZAYN, Sia",2017-09,64
302,Clean Bandit,2018-07,63
303,"Lil Peep, XXXTENTACION",2018-09,63
304,"Trueno, Bizarrap, Taiu, TATOOL",2020-08,63
305,Axwell /\ Ingrosso,2017-09,63
306,"Bad Bunny, Jowell & Randy, Ñengo Flow",2020-06,62
307,"Calvin Harris, Jessie Reyez",2018-09,62
308,Arizona Zervas,2019-11,62
309,Justin Bieber,2020-02,62
310,Tones And I,2020-03,62
311,"Maluma, Nego do Borel",2018-01,62
312,"The Weeknd, Daft Punk",2017-01,61
313,"J Balvin, Bad Bunny",2019-10,61
314,"KAROL G, Nicki Minaj",2020-03,61
315,"Ozuna, Manuel Turizo",2018-07,60
316,"Avicii, Aloe Blacc",2019-04,60
317,Lil Nas X,2019-06,60
318,Bausa,2017-11,60
319,"6ix9ine, Anuel AA",2018-09,59
320,The Weeknd,2020-07,59
321,Piso 21,2017-11,59
322,Maluma,2021-09,59
323,"Aventura, Bad Bunny",2021-08,59
324,"TINI, L-Gante",2021-12,59
325,benny blanco,2018-08,58
326,"J Balvin, Zion & Lennox",2018-07,57
327,Lewis Capaldi,2019-03,57
328,BLACKPINK,2019-05,57
329,"Sech, Darell",2019-04,57
330,"Shawn Mendes, Camila Cabello",2019-10,57
331,Maluma,2017-07,57
332,Rauw Alejandro,2021-07,57
333,Ariana Grande,2020-12,57
334,Bad Bunny,2021-10,57
335,"TINI, L-Gante",2021-11,57
336,Giveon,2021-03,56
337,"Gera MX, Christian Nodal",2021-04,56
338,Manuel Turizo,2017-09,56
339,Ariana Grande,2020-05,55
340,"Drake, Michael Jackson",2018-07,55
341,Lady Gaga,2020-05,55
342,Kendrick Lamar,2017-05,55
343,Justin Bieber,2017-08,55
344,"TINI, Maria Becerra",2021-05,55
345,Sam Smith,2017-11,55
346,Tainy,2020-07,54
347,SLAVA MARLOW,2020-11,54
348,Ed Sheeran,2017-12,54
349,Wolfine,2018-01,54
350,"Maluma, Nego do Borel",2017-12,54
351,Ava Max,2018-10,53
352,BLACKPINK,2018-06,53
353,Ava Max,2018-12,53
354,Billie Eilish,2019-03,53
355,Post Malone,2018-12,53
356,Imagine Dragons,2017-06,53
357,Internet Money,2020-11,53
358,"Bruno Mars, Anderson .Paak, Silk Sonic",2021-03,53
359,Bausa,2017-12,53
360,Drake,2021-09,52
361,"Zac Efron, Zendaya",2018-01,52
362,Post Malone,2018-06,51
363,Capital Bra,2018-06,51
364,"Lil Peep, XXXTENTACION",2018-10,51
365,JENNIE,2018-12,51
366,DJ-MK,2020-08,51
367,SLAVA MARLOW,2020-10,51
368,BLACKPINK,2020-06,50
369,"Lady Gaga, Bradley Cooper",2019-02,50
370,David Guetta,2017-07,50
371,Anuel AA,2018-09,49
372,Wham!,2018-12,49
373,"Nio Garcia, Flow La Movie",2021-05,49
374,"Tiago PZK, LIT killah",2021-08,49
375,Wolfine,2018-02,48
376,"Capital Bra, Ufo361",2018-05,48
377,"J Balvin, Bad Bunny",2019-07,48
378,Dua Lipa,2017-08,48
379,Bausa,2018-01,48
380,The Chainsmokers,2018-02,47
381,5 Seconds of Summer,2018-06,47
382,Bad Bunny,2019-11,47
383,SAINt JHN,2020-03,47
384,Lil Nas X,2019-05,46
385,"DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago",2019-04,46
386,"Dua Lipa, BLACKPINK",2018-10,46
387,DJ Khaled,2017-06,46
388,SLAVA MARLOW,2020-12,46
389,LISA,2021-09,46
390,"Sech, Ozuna",2019-10,45
391,Tiësto,2021-01,45
392,"Mc Davi, Mc Pedrinho, Mc Don Juan",2021-06,45
393,"Bad Bunny, Prince Royce, J Balvin, Mambo Kingz, DJ Luian",2018-01,45
394,Dua Lipa,2018-02,44
395,IU,2020-05,44
396,Rudimental,2018-03,44
397,Capital Bra,2019-01,44
398,"Samra, Capital Bra",2019-05,44
399,24kGoldn,2020-12,44
400,Polo G,2021-04,44
401,The Kid LAROI,2021-11,44
402,BTS,2021-08,44
403,Victor Leksell,2020-05,43
404,Victor Leksell,2020-06,43
405,"Pedro Capó, Farruko",2018-11,43
406,PNL,2019-04,43
407,Manuel Turizo,2017-07,43
408,Ozuna,2020-07,43
409,DJ-MK,2020-07,43
410,Rauw Alejandro,2020-07,43
411,Drake,2021-03,43
412,Post Malone,2018-01,43
413,"Post Malone, Swae Lee",2018-12,42
414,Olivia Rodrigo,2021-07,42
415,Post Malone,2018-04,41
416,JENNIE,2018-11,41
417,Tainy,2019-10,41
418,Billie Eilish,2019-12,41
419,"Jay Chou, 阿信",2019-09,41
420,Imagine Dragons,2017-08,41
421,Internet Money,2020-12,41
422,"Bruno Mars, Anderson .Paak, Silk Sonic",2021-04,41
423,"KASIMIR1441, badmómzjay, WILDBWOYS",2021-02,41
424,"Carlos Vives, Sebastian Yatra",2017-10,41
425,Ozuna,2017-09,41
426,"Becky G, Bad Bunny",2017-09,41
427,Clean Bandit,2017-01,40
428,Dua Lipa,2018-03,40
429,benny blanco,2018-09,40
430,"Lady Gaga, Bradley Cooper",2019-01,40
431,Arizona Zervas,2019-12,40
432,Billie Eilish,2020-02,40
433,"The Chainsmokers, Coldplay",2017-05,40
434,Joel Corry,2020-08,40
435,Mariah Carey,2020-11,40
436,Ed Sheeran,2017-10,40
437,"Rauw Alejandro, Farruko",2019-10,39
438,Nathan Evans,2021-03,39
439,"Bizarrap, L-Gante",2021-03,39
440,"Joey Montana, Sebastian Yatra",2017-10,39
441,"Elton John, Dua Lipa",2021-11,39
442,Dean Lewis,2018-09,38
443,"Carlos Vives, Sebastian Yatra",2017-08,38
444,Ed Sheeran,2017-06,38
445,Apache 207,2020-07,38
446,DaBaby,2020-08,38
447,"Tion Wayne, Russ Millions",2021-05,38
448,"Lil Tjay, 6LACK",2021-02,38
449,"Camila Cabello, Young Thug",2018-01,38
450,"Anuel AA, Bad Bunny",2020-06,37
451,"The Chainsmokers, Coldplay",2017-03,37
452,Crowd Lu,2021-01,37
453,Ed Sheeran,2021-10,37
454,"Aventura, Bad Bunny",2021-09,37
455,MERO,2018-12,36
456,"Capital Bra, Summer Cem, KC Rebell",2019-04,36
457,Macklemore,2017-08,36
458,Crowd Lu,2020-12,36
459,INSTASAMKA,2021-09,36
460,Kodak Black,2018-10,35
461,Selena Gomez,2019-10,35
462,Manuel Turizo,2017-08,35
463,KAROL G,2020-12,35
464,Dua Lipa,2017-10,35
465,"Luis Fonsi, Demi Lovato",2017-11,35
466,LISA,2021-10,35
467,"Natti Natasha, Ozuna",2017-12,35
468,"Bonez MC, RAF Camora, Gzuz",2018-09,34
469,Ed Sheeran,2017-07,34
470,Egor Kreed,2021-07,34
471,The Kid LAROI,2020-12,34
472,Farruko,2021-10,34
473,"Elton John, Dua Lipa",2021-10,34
474,The Kid LAROI,2021-12,34
475,Glass Animals,2021-09,34
476,Bruno Mars,2017-01,33
477,Avicii,2018-04,33
478,"Dynoro, Gigi D'Agostino",2018-07,33
479,"Alan Walker, Sabrina Carpenter, Farruko",2019-04,33
480,Travis Scott,2019-11,33
481,DJ Khaled,2017-08,33
482,Kygo,2017-03,33
483,Sech,2020-07,33
484,Internet Money,2020-09,33
485,KAROL G,2021-01,33
486,"Yzomandias, Nik Tendo",2020-08,33
487,Taylor Swift,2020-07,33
488,Lil Nas X,2021-11,33
489,Kanye West,2018-10,32
490,JENNIE,2019-01,32
491,Mahmood,2019-05,32
492,"Sech, Ozuna",2019-11,32
493,Axwell /\ Ingrosso,2017-07,32
494,"Topic, A7S",2020-08,32
495,Harry Styles,2020-08,32
496,"Jay Wheeler, DJ Nelson, Myke Towers",2020-07,32
497,Giveon,2021-02,32
498,Ozuna,2017-11,32
499,Bausa,2017-10,32
500,"TACONAFIDE, Quebonafide, Taco Hemingway",2018-05,31
501,"Alex Rose, Cazzu, Rauw Alejandro, Lenny Tavárez",2018-07,31
502,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",2018-08,31
503,Burry Soprano,2018-10,31
504,Aimyon,2019-01,31
505,Aimyon,2019-03,31
506,Ben Fero,2019-03,31
507,Aimyon,2019-05,31
508,Marília Mendonça,2019-07,31
509,Official HIGE DANdism,2019-07,31
510,Aseel Hameem,2019-07,31
511,Official HIGE DANdism,2019-10,31
512,Aseel Hameem,2019-08,31
513,Official HIGE DANdism,2019-08,31
514,Gambi,2019-10,31
515,Norm Ender,2019-08,31
516,高爾宣 OSN,2020-01,31
517,Official HIGE DANdism,2019-12,31
518,"Gradur, Heuss L'enfoiré",2019-12,31
519,"Piruka, Bluay",2020-01,31
520,高爾宣 OSN,2019-12,31
521,Henrique & Juliano,2020-01,31
522,831,2020-03,31
