,artist,date,n
695,Tiësto,2021-02,28
696,"Hứa Kim Tuyền, Hoàng Duyên",2021-04,28
697,MACE,2021-02,28
698,Crowd Lu,2021-02,28
699,"AP Dhillon, Gminxr, Gurinder Gill, Shinda Kahlon",2021-02,28
700,Sơn Tùng M-TP,2021-02,28
701,Tagne,2021-05,28
702,sangiovanni,2021-06,28
703,"Elton John, Dua Lipa",2021-09,28
704,"Draganov, Inkonnu",2021-10,28
705,Maria Becerra,2021-09,28
706,"Nicky Jam, J Balvin",2018-05,27
707,"JóiPé, Króli",2018-05,27
708,Vald,2018-02,27
709,Sfera Ebbasta,2018-02,27
710,MC G15,2017-01,27
711,Haki,2020-06,27
712,Apache 207,2020-05,27
713,Piso 21,2018-02,27
714,Bushido,2018-07,27
715,Travis Scott,2018-08,27
716,Bazzi,2018-09,27
717,Dawid Podsiadło,2018-10,27
718,Davina Michelle,2018-11,27
719,Aimyon,2018-12,27
720,Aseel Hameem,2019-06,27
721,"J Balvin, Bad Bunny",2019-09,27
722,"Murda, Ezhel",2019-10,27
723,Damso,2017-05,27
724,Hussain Aljassmi,2020-09,27
725,"Bizarrap, Nicky Jam",2021-07,27
726,william,2020-07,27
727,william,2020-10,27
728,"Mad Clip, Hawk, Sapranov, Light",2020-10,27
729,Sfera Ebbasta,2020-12,27
730,Hamza Namira,2021-01,27
731,Os Barões Da Pisadinha,2020-11,27
732,Sfera Ebbasta,2020-11,27
733,"nublu, Mikael Gabriel",2020-11,27
734,BTS,2021-01,27
735,Yuri NR5,2020-12,27
736,"MORGENSHTERN, Timati",2020-09,27
737,ElGrandeToto,2021-03,27
738,Glass Animals,2021-03,27
739,The Weeknd,2021-03,27
740,EggPlantEgg,2021-06,27
741,"Tilly Birds, MILLI",2021-06,27
742,Major Lazer,2017-09,27
743,Snor,2021-08,27
744,MC 張天賦,2021-11,27
745,"Static & Ben El, Netta",2021-11,27
746,Imagine Dragons,2021-11,27
747,"Quebonafide, Duit, Daria Zawiałow",2020-06,26
748,Wegz,2020-05,26
749,Niack,2020-06,26
750,"The Chainsmokers, Halsey",2017-01,26
751,"Post Malone, 21 Savage",2018-02,26
752,"Sivas, NODE, Gilli",2018-06,26
753,"Norlie & KKV, estraden",2018-06,26
754,Mr.Children,2018-10,26
755,"Felipe Araújo, Ferrugem",2018-11,26
756,nublu,2018-12,26
757,"Lady Gaga, Bradley Cooper",2018-12,26
758,Wet Bed Gang,2019-05,26
759,Nicolay Ramm,2019-03,26
760,"5MIINUST, nublu",2019-07,26
761,"Sin Boy, Mad Clip, Ypo, iLLEOo",2019-03,26
762,"Capital Bra, Samra",2019-06,26
763,Trevor Daniel,2019-12,26
764,"Branco, Gilli",2020-02,26
765,"Pritam, Arijit Singh",2020-03,26
766,Henrique & Juliano,2020-02,26
767,Ninho,2020-03,26
768,Major Lazer,2017-08,26
769,Bad Bunny,2020-04,26
770,Drake,2017-03,26
771,"Lil Kleine, Boef",2017-06,26
772,"Rack, Saske",2021-07,26
773,"Taco Hemingway, Lanek",2020-08,26
774,Vaidas Baumila,2021-07,26
775,Niack,2020-09,26
776,Idan Rafael Haviv,2020-10,26
777,Reynmen,2020-12,26
778,Masked Wolf,2021-01,26
779,L.A.B.,2020-12,26
780,"CKay, ElGrandeToto",2020-12,26
781,"KASIMIR1441, badmómzjay, WILDBWOYS",2021-01,26
782,"Bilal Wahib, Ronnie Flex",2021-03,26
783,EggPlantEgg,2021-04,26
784,Justin Bieber,2021-05,26
785,UZI,2021-06,26
786,"Sebastian Yatra, Myke Towers",2021-04,26
787,"Mata, Quebonafide, Malik Montana",2021-09,26
788,"Kaleb Di Masi, Ecko, Papichamp, Blunted Vato, Bruno LC",2021-09,26
789,Ed Sheeran,2021-09,26
790,"Mata, Trooh Hippi",2021-11,26
791,"Tobias Rahim, andreas odbjerg",2021-10,26
792,"Azahriah, DESH",2021-10,26
793,Maluma,2021-10,26
794,KESI,2018-05,25
795,Mabel Matiz,2018-02,25
796,"Pritam, Arijit Singh",2020-06,25
797,Bosh,2020-06,25
798,william,2020-06,25
799,"MC Kevinho, Simone & Simaria",2018-03,25
800,Dawid Podsiadło,2018-06,25
801,Post Malone,2018-02,25
802,"nublu, Reket",2018-07,25
803,"Matheus & Kauan, Anitta",2018-07,25
804,Davina Michelle,2018-12,25
805,Charlie Charles,2019-05,25
806,MERO,2019-03,25
807,"Mente Fuerte, Hawk, Baghdad",2019-07,25
808,NODE,2019-10,25
809,Julinho Ksd,2019-11,25
810,Dree Low,2019-09,25
811,"MACHETE, Dani Faiv, tha Supreme",2019-07,25
812,"nublu, gameboy tetris",2019-09,25
813,"SNIK, Tamta",2019-08,25
814,"Kontrafakt, Mirez, Dalyb, Zayo, Dokkeytino",2020-01,25
815,"J-AX, Fedez",2017-08,25
816,Wham!,2019-12,25
817,Danny Ocean,2017-05,25
818,"J-AX, Fedez",2017-07,25
819,"Noa Kirel, Ilan Peled",2021-07,25
820,Ezhel,2021-07,25
821,SNIK,2020-08,25
822,"Mc Zaac, Anitta, Tyga",2020-07,25
823,"Didomido, Eglo G",2020-08,25
824,ICEKIID,2020-07,25
825,Os Barões Da Pisadinha,2020-10,25
826,Ezhel,2020-11,25
827,ElGrandeToto,2021-02,25
828,Israel & Rodolffo,2021-04,25
829,A36,2021-06,25
830,Naps,2021-05,25
831,Soso Maness,2021-06,25
832,Ed Sheeran,2017-09,25
833,"Tanishk Bagchi, Jubin Nautiyal, Asees Kaur",2021-10,25
834,"Cledos, ibe, Averagekidluke, A36",2021-10,25
835,Arthur Nery,2021-10,25
836,Mariah Carey,2021-12,25
837,Sefo,2021-08,25
838,"Coldplay, BTS",2021-09,25
839,Faisal Abdulkareem,2020-06,24
840,Gusttavo Lima,2020-05,24
841,"Weird Genius, Sara Fajira",2020-06,24
842,Ed Sheeran,2018-03,24
843,Pop Pongkool,2018-05,24
844,Bro,2018-03,24
845,"Frenna, Lil Kleine",2018-09,24
846,DA PUMP,2018-09,24
847,Lukas Graham,2018-09,24
848,"Becky G, Paulo Londra",2018-08,24
849,Wet Bed Gang,2018-10,24
850,Da LAB,2018-09,24
851,Canbay & Wolker,2018-08,24
852,Gülşen,2019-01,24
853,Dawid Podsiadło,2018-11,24
854,"KC Rebell, Summer Cem, Capital Bra",2019-02,24
855,"Eno, MERO",2019-02,24
856,"Sin Boy, Mad Clip, Ypo, iLLEOo",2019-05,24
857,Gülşen,2018-12,24
858,Duncan Laurence,2019-05,24
859,Gambi,2019-11,24
860,MEYOU,2019-10,24
861,"Dadá Boladão, Tati Zaqui, OIK",2019-11,24
862,"Arijit Singh, B Praak",2019-09,24
863,"Camilo, Pedro Capó",2019-09,24
864,Capital Bra,2018-12,24
865,"Davina Michelle, Snelle",2020-04,24
866,Gusttavo Lima,2020-04,24
867,Avicii,2017-08,24
868,Wegz,2020-08,24
869,Bonez MC,2020-10,24
870,EggPlantEgg,2021-05,24
871,Haloo Helsinki!,2021-03,24
872,Payung Teduh,2017-09,24
873,Montez,2021-08,24
874,Salmo,2021-10,24
875,Inkonnu,2021-11,24
876,João Gomes,2021-08,24
877,"Alan Walker, Noah Cyrus, Digital Farm Animals",2017-11,24
878,Ed Sheeran,2021-08,24
879,Farruko,2021-11,24
880,"Marília Mendonça, Maiara & Maraisa",2021-11,24
881,"Kalash, Damso",2018-01,24
882,"C. Tangana, Nathy Peluso",2021-10,24
883,"Big Baby Tape, kizaru",2021-10,24
884,"Olexesh, Edin",2018-03,23
885,Gazapizm,2018-04,23
886,Migos,2017-01,23
887,"Jhay Cortez, Bad Bunny",2020-06,23
888,Kanye West,2018-06,23
889,BTS,2018-06,23
890,"J Balvin, Zion & Lennox",2018-06,23
891,SHAUN,2018-08,23
892,Aya Nakamura,2018-08,23
893,Polycat,2018-09,23
894,Burry Soprano,2018-11,23
895,"Lil Peep, XXXTENTACION",2018-11,23
896,"Kris Kross Amsterdam, Maan, Tabitha",2019-01,23
897,Paulo Londra,2019-05,23
898,"Dalex, Rafa Pabön, KHEA, Sech, Cazzu, Feid, Lenny Tavárez",2019-02,23
899,ProfJam,2019-03,23
900,"Post Malone, Swae Lee",2019-03,23
901,"J Balvin, Bad Bunny",2019-11,23
902,Aseel Hameem,2019-09,23
903,Aitch,2019-09,23
904,Fred De Palma,2019-08,23
905,"TINI, Lalo Ebratt",2019-10,23
906,Herra Hnetusmjör,2019-12,23
907,"Elastinen, Jenni Vartiainen",2020-02,23
908,"Black Eyed Peas, J Balvin",2019-10,23
909,Hoang Thuy Linh,2020-04,23
910,Rauw Alejandro,2020-08,23
911,Internet Money,2021-01,23
912,Madrigal,2021-01,23
913,"13 Organisé, SCH, Kofs, Jul, Naps, Soso Maness, Elams, Solda, Houari",2020-10,23
914,"Bausa, Apache 207",2021-03,23
915,Ran Danker,2021-05,23
916,Kali Uchis,2021-03,23
917,Pamungkas,2021-03,23
918,"Azahriah, DESH",2021-06,23
919,"Sevn Alias, Lil Kleine, Boef",2017-10,23
920,Wegz,2021-09,23
921,"JóiPé, Króli",2017-09,23
922,Post Malone,2017-12,23
923,"Avine Vinny, Matheus Fernandes",2021-10,23
924,IV Of Spades,2018-03,22
925,Lartiste,2018-04,22
926,"Juan Caoile, Kyleswish",2020-06,22
927,Mỹ Tâm,2018-04,22
928,Tilly Birds,2020-05,22
929,Josylvio,2018-02,22
930,"Weird Genius, Sara Fajira",2020-05,22
931,"Becky G, Paulo Londra",2018-10,22
932,Vegedream,2018-09,22
933,Marília Mendonça,2018-10,22
934,Mads Hansen,2018-07,22
935,BLACKPINK,2018-07,22
936,"Takagi & Ketra, Giusy Ferreri, Sean Kingston",2018-07,22
937,DJ Snake,2018-12,22
938,John Lundvik,2019-03,22
939,Capital Bra,2019-02,22
940,Samra,2018-11,22
941,This Band,2019-02,22
942,"Nekfeu, Damso",2019-06,22
943,Charlie Charles,2019-06,22
944,"Tymek, Big Scythe",2019-03,22
945,"Lunay, Daddy Yankee, Bad Bunny",2019-05,22
946,Stamp,2019-11,22
947,Lil Tecca,2019-08,22
948,"SNIK, Tamta",2019-09,22
949,"Capital Bra, Samra, LEA",2019-09,22
950,LOLO,2020-01,22
951,Apache 207,2019-10,22
952,"Camilo, Pedro Capó",2019-08,22
953,"nublu, gameboy tetris",2019-08,22
954,"Dímelo Flow, Arcangel, Sech",2020-02,22
955,"ElGrandeToto, Draganov, Don Bigg, Khtek",2020-02,22
956,"Jasmine Sandlas, Garry Sandhu, Tanishk Bagchi, Intense",2020-01,22
957,Victor Leksell,2020-03,22
958,Henrique & Juliano,2020-03,22
959,"Murda, Ezhel",2020-02,22
960,The Weeknd,2019-11,22
961,"Pritam, Arijit Singh",2020-07,22
962,BLACKPINK,2020-09,22
963,Tainy,2020-08,22
964,Eason Chan,2020-12,22
965,Harnoor,2021-01,22
966,"Omar Kamal, Hassan Shakosh",2020-10,22
967,Ezhel,2020-10,22
968,"13 Organisé, SCH, Kofs, Jul, Naps, Soso Maness, Elams, Solda, Houari",2020-11,22
969,The Kid LAROI,2021-01,22
970,BRÍET,2020-10,22
971,"Sobel, Piotrek Lewandowski",2021-05,22
972,Boza,2021-05,22
973,The Weeknd,2021-02,22
974,Tagne,2021-04,22
975,"Bad Bunny, Jhay Cortez",2020-10,22
976,"Rack, Saske",2021-06,22
977,Coez,2017-10,22
978,Rauw Alejandro,2021-08,22
979,"Busta 929, Boohle",2021-11,22
980,"Kalash, Damso",2017-10,22
981,"Tiago PZK, Trueno",2021-11,22
982,Coez,2017-12,22
983,"Eli Türkoğlu, Tuğçe Kandemir",2018-05,21
984,"Capital Bra, Loredana",2020-05,21
985,Çağatay Akman,2017-01,21
986,"Aleyna Tilki, Emrah Karaduman",2018-07,21
987,"Alan Walker, Au/Ra, Tomine Harket",2018-08,21
988,Ariana Grande,2018-08,21
989,Måneskin,2018-10,21
990,"Erik Follestad, Linni Meister",2018-12,21
991,"Kris Kross Amsterdam, Maan, Tabitha",2019-02,21
992,"Herra Hnetusmjör, Huginn",2019-03,21
993,Paloma Mami,2019-04,21
994,Shindy,2019-01,21
995,Don Patricio,2019-03,21
996,JVG,2019-06,21
997,"Viktor Sheen, Nik Tendo, Calin, Hasan",2019-06,21
998,"Ufo361, Ezhel",2019-11,21
999,Official HIGE DANdism,2019-06,21
1000,"B Praak, Akshay Kumar & Nupur Sanon",2019-11,21
1001,tha Supreme,2019-11,21
1002,Moha La Squale,2019-08,21
1003,"Arijit Singh, Shilpa Rao",2019-12,21
1004,"5MIINUST, Villemdrillem",2020-01,21
1005,"Alan Walker, Sabrina Carpenter, Farruko",2019-03,21
1006,Snelle,2020-01,21
1007,ANNA,2020-03,21
1008,Tilly Birds,2020-04,21
1009,Crowd Lu,2017-07,21
1010,"Taco Hemingway, Lanek",2020-07,21
1011,"Peter Pann, Separ, Kali",2021-07,21
1012,"BLOODY VINYL, Slait, tha Supreme",2020-10,21
1013,"Guzior, Oskar83",2020-11,21
1014,Bonez MC,2020-11,21
1015,Abdullah Al Mukhles,2021-05,21
1016,Young Leosia,2021-02,21
1017,"Bizarrap, L-Gante",2021-04,21
1018,Ran Danker,2021-06,21
1019,Abdullah Al Mukhles,2021-06,21
1020,Lil Nas X,2021-03,21
1021,"El Joker, Haram",2021-08,21
1022,"zzoilo, Aitana",2021-11,21
1023,"Cledos, ibe, Averagekidluke, A36",2021-09,21
1024,GONE.Fludd,2021-10,21
1025,"El Alfa, Chael Produciendo, Farruko",2021-09,21
1026,"MC Kekel, MC Rita",2018-05,20
1027,Hov1,2018-04,20
1028,"Noa Kirel, שחר סאול",2020-06,20
1029,nublu,2018-08,20
1030,Polycat,2018-08,20
1031,juan karlos,2018-11,20
1032,"Lost Frequencies, Zonderling",2018-01,20
1033,"Dave, Fredo",2018-10,20
1034,"Dynoro, Gigi D'Agostino",2018-11,20
1035,George Ezra,2018-10,20
1036,Salmo,2018-11,20
1037,"Becky G, Prince Royce, DJ Luian, Mambo Kingz, Anuel AA",2018-11,20
1038,MERO,2019-01,20
1039,"ZAYN, Zhavia Ward",2019-05,20
1040,KitschKrieg,2018-10,20
1041,MERO,2018-11,20
1042,"Loredana, Mozzik",2019-08,20
1043,"Kalazh44, Capital Bra, Samra, Nimo, Luciano",2019-06,20
1044,"DJ Snake, J Balvin",2019-07,20
1045,Duki,2019-09,20
1046,Luan Santana,2019-09,20
1047,PNL,2019-03,20
1048,Miss Li,2019-11,20
1049,Faisal Abdulkareem,2020-04,20
1050,"Shiva, Eiffel 65",2020-04,20
1051,21 Savage,2017-08,20
1052,"Quebonafide, Duit, Daria Zawiałow",2020-04,20
1053,Danny Ocean,2017-08,20
1054,"Juju, Loredana, Miksu / Macloud",2020-01,20
1055,Magnus Haven,2020-02,20
1056,KESI,2020-08,20
1057,831,2020-08,20
1058,"Morvasu, TangBadVoice",2020-08,20
1059,Pashanim,2021-07,20
1060,DJ-MK,2020-09,20
1061,Soso Maness,2021-07,20
1062,"Jimilian, Fouli",2020-10,20
1063,Branco,2020-11,20
1064,"Trueno, Bizarrap, Taiu, TATOOL",2020-07,20
1065,"Tilly Birds, MILLI",2021-05,20
1066,Pamungkas,2021-05,20
1067,EDIS,2021-04,20
1068,"Wegz, LZHYMR",2021-05,20
1069,Zack Tabudlo,2021-05,20
1070,優里,2021-05,20
1071,"RAF Camora, Bonez MC",2021-07,20
1072,SLAVA MARLOW,2021-02,20
1073,"Wegz, LZHYMR",2021-04,20
1074,Israel & Rodolffo,2021-03,20
1075,Edan 呂爵安,2021-06,20
1076,Niska,2017-09,20
1077,OBOY,2021-10,20
1078,"Joey Montana, Sebastian Yatra",2017-09,20
1079,"Samey, Gleb, Natalia Hulejova",2021-09,20
1080,Ed Sheeran,2021-11,20
1081,Mata,2021-08,20
1082,Pikku G,2017-12,20
1083,"Tanishk Bagchi, Jubin Nautiyal, Asees Kaur",2021-08,20
1084,BLANCO,2021-09,20
1085,"Ronnie Flex, Maan",2017-12,20
1086,"Anitta, Mc Zaac, Maejor",2018-02,19
1087,Zion & Lennox,2017-01,19
1088,TWICE,2020-06,19
1089,Drake,2020-06,19
1090,"MC Kekel, MC Rita",2018-06,19
1091,"Bonez MC, RAF Camora, Gzuz",2018-10,19
1092,Wet Bed Gang,2018-08,19
1093,Marília Mendonça,2018-09,19
1094,Aitana,2018-08,19
1095,"$hirak, Lil Kleine",2018-07,19
1096,"Takagi & Ketra, Giusy Ferreri, Sean Kingston",2018-08,19
1097,"KESI, Gilli",2018-08,19
1098,PNL,2018-08,19
1099,Burry Soprano,2018-09,19
1100,"Felipe Araújo, Ferrugem",2019-01,19
1101,"Heuss L'enfoiré, Sofiane",2019-02,19
1102,Mahmood,2019-02,19
1103,"Priceless, Frenna, Murda",2019-03,19
1104,"PDL, Skusta Clee, Jnske, Bullet D, Yuridope, Flow G",2019-03,19
1105,Aseel Hameem,2019-10,19
1106,Nenny,2019-09,19
1107,Ronnie Ferrari,2019-08,19
1108,Tainy,2019-09,19
1109,Surfaces,2020-03,19
1110,Henrique & Juliano,2019-12,19
1111,Red Velvet,2019-12,19
1112,Payung Teduh,2017-08,19
1113,william,2020-09,19
1114,Tiara Andini,2020-08,19
1115,ROSALÍA,2020-07,19
1116,"Guru Randhawa, Nikhita Gandhi, Tanishk Bagchi, Nora Fatehi",2020-11,19
1117,"Tiago PZK, LIT Killah",2021-07,19
1118,Apache 207,2021-01,19
1119,Jamie Miller,2021-07,19
1120,Budi Doremi,2020-11,19
1121,"sanah, Vito Bambino",2021-03,19
1122,Omer Adam,2021-03,19
1123,Nadin Amizah,2021-02,19
1124,sangiovanni,2021-05,19
1125,"Mc Davi, Mc Pedrinho, Mc Don Juan",2021-05,19
1126,"Dzharakhov, Markul",2021-06,19
1127,Coez,2017-11,19
1128,"Wegz, Disco Misr",2021-11,19
1129,Feid,2021-09,19
1130,Henrique & Juliano,2021-09,19
1131,G-Eazy,2018-01,19
1132,Ersay Üner,2017-12,19
1133,"RAF Camora, Luciano",2021-09,19
1134,ROSALÍA,2021-11,19
1135,"Galena, Azis",2021-12,19
1136,"Cris Mj, Marcianeke, Simon la Letra, Stars Music Chile",2021-11,19
1137,"Kalash, Damso",2017-12,19
1138,"Marshmello, Anne-Marie",2018-05,18
1139,Bad Bunny,2017-01,18
1140,Sfera Ebbasta,2018-03,18
1141,Mỹ Tâm,2018-03,18
1142,"Cardi B, Bad Bunny, J Balvin",2018-06,18
1143,nublu,2018-09,18
1144,George Ezra,2018-07,18
1145,Stormy,2020-06,18
1146,"OG-ANIC, Lazyloxy",2018-10,18
1147,"Alex Rose, Cazzu, Rauw Alejandro, Lenny Tavárez",2018-06,18
1148,"DAOKO, Kenshi Yonezu",2018-06,18
1149,"Alex Rose, Cazzu, Rauw Alejandro, Lenny Tavárez",2018-08,18
1150,"Marshmello, Bastille",2018-09,18
1151,KitschKrieg,2018-11,18
1152,A-Lin,2018-12,18
1153,"Alan Walker, Sabrina Carpenter, Farruko",2019-05,18
1154,JVG,2019-02,18
1155,Ninho,2019-03,18
1156,Orelsan,2018-11,18
1157,Paulo Londra,2019-04,18
1158,Shindy,2019-05,18
1159,"Felipe Araújo, Ferrugem",2018-12,18
1160,"Sachet Tandon, Sachet-Parampara",2019-06,18
1161,Snelle,2019-09,18
1162,MEYOU,2019-09,18
1163,"Camilo, Pedro Capó",2019-10,18
1164,"Mente Fuerte, Hawk, Baghdad",2019-06,18
1165,tha Supreme,2020-01,18
1166,"French Montana, Swae Lee",2017-08,18
1167,TIX,2020-03,18
1168,nublu,2020-04,18
1169,"Kontrafakt, Mirez, Dalyb, Zayo, Dokkeytino",2019-12,18
1170,"Powfu, beabadoobee",2020-03,18
1171,Stormy,2020-07,18
1172,"Boomdabash, Alessandra Amoroso",2020-07,18
1173,"Reto, Kubi Producent",2020-10,18
1174,"FM95BLÖ, Sverrir Bergmann, Jóhanna Guðrún",2021-07,18
1175,Pop Smoke,2020-08,18
1176,MORGENSHTERN,2020-08,18
1177,"5MIINUST, Hendrik Sal-Saller",2020-08,18
1178,Billkin,2020-11,18
1179,"J Balvin, Maria Becerra",2021-07,18
1180,"Dua Lipa, Angèle",2020-11,18
1181,Brenda Lee,2020-12,18
1182,Dizzy DROS,2020-11,18
1183,"VLOSPA, Light",2020-11,18
1184,SLAVA MARLOW,2021-03,18
1185,kostromin,2021-02,18
1186,Zack Tabudlo,2021-04,18
1187,ElGrandeToto,2021-06,18
1188,Sơn Tùng M-TP,2021-06,18
1189,Naps,2021-08,18
1190,"Kaleb Di Masi, Ecko, Papichamp, Blunted Vato, Bruno LC",2021-10,18
1191,"Cledos, ibe, Averagekidluke, A36",2021-11,18
1192,Vũ.,2021-11,18
1193,"Ryan Castro, Feid",2021-11,18
1194,JVG,2018-01,18
1195,"Camila Cabello, Young Thug",2017-10,18
1196,Capo Plaza,2018-05,17
1197,Melanie Martinez,2020-05,17
1198,Bro,2018-04,17
1199,"Ronnie Flex, Famke Louise",2018-03,17
1200,Lil Dicky,2018-05,17
1201,Vegas Jones,2018-04,17
1202,"Zedd, Maren Morris, Grey",2018-04,17
1203,SNIK,2020-06,17
1204,Gilli,2020-06,17
1205,Juice WRLD,2018-06,17
1206,Faisal Abdulkareem,2020-05,17
1207,Lukas Graham,2018-10,17
1208,ONEMANSHOW Foundation,2018-09,17
1209,BTS,2018-07,17
1210,BLACKPINK,2018-09,17
1211,"Becky G, Natti Natasha",2018-08,17
1212,"JóiPé, Króli, GDRN, SZK",2019-01,17
1213,"Bizzey, Frenna, KM, Ramiks",2018-10,17
1214,Einár,2019-02,17
1215,KESI,2019-01,17
1216,Ezhel,2019-02,17
1217,DJ Snake,2018-09,17
1218,Capital Bra,2019-04,17
1219,Sfera Ebbasta,2019-03,17
1220,Eliad,2019-10,17
1221,Einár,2019-06,17
1222,Taylor Swift,2019-06,17
1223,BEHM,2019-11,17
1224,BEHM,2019-12,17
1225,Gazapizm,2020-04,17
1226,THE ROOP,2020-03,17
1227,"SNIK, Mad Clip",2020-03,17
1228,Boef,2017-04,17
1229,Niska,2017-07,17
1230,SAINt JHN,2020-07,17
1231,BRÍET,2020-12,17
1232,Newkid,2020-12,17
1233,Tiësto,2020-12,17
1234,Os Barões Da Pisadinha,2020-12,17
1235,Aseel Hameem,2020-12,17
1236,Three Man Down,2020-12,17
1237,Taylor Swift,2020-12,17
1238,"Hov1, Einár",2021-03,17
1239,Crowd Lu,2021-03,17
1240,MORGENSHTERN,2021-02,17
1241,Mata,2021-04,17
1242,Raviv Kaner,2021-02,17
1243,Yzomandias,2021-02,17
1244,"Miriam Bryant, Victor Leksell",2021-02,17
1245,"Frenna, Diquenza",2017-11,17
1246,Astrid S,2017-09,17
1247,Maluma,2021-11,17
1248,Brenda Lee,2021-12,17
1249,Mart Hoogkamer,2021-08,17
1250,"Natti Natasha, Ozuna",2017-09,17
1251,Lady Gaga,2020-06,16
1252,5MIINUST,2020-06,16
1253,FELIX SANDMAN,2018-03,16
1254,"Murda, Ezhel",2020-05,16
1255,Zé Neto & Cristiano,2018-04,16
1256,Official HIGE DANdism,2020-05,16
1257,"Ex Battalion, O.C. Dawgs",2018-02,16
1258,"Murda, Ezhel",2020-06,16
1259,Pop Pongkool,2018-03,16
1260,"Pritam, Arijit Singh",2020-05,16
1261,Drake,2018-06,16
1262,"Topic, A7S",2020-06,16
1263,Dosseh,2018-05,16
1264,"TACONAFIDE, Quebonafide, Taco Hemingway",2018-03,16
1265,"Matheus & Kauan, Anitta",2018-08,16
1266,benny blanco,2018-10,16
1267,5 Seconds of Summer,2018-07,16
1268,Halsey,2018-10,16
1269,"December Avenue, Moira Dela Torre",2019-01,16
1270,"Bonez MC, RAF Camora",2018-10,16
1271,"Eyal Golan, Benaia Barabi",2019-05,16
1272,MC Kevin o Chris,2019-05,16
1273,juan karlos,2018-10,16
1274,"Anuel AA, Bad Bunny",2020-05,16
1275,Salmo,2018-12,16
1276,"Khalid, Disclosure",2019-03,16
1277,Apache 207,2019-09,16
1278,Ariana Grande,2019-09,16
1279,"Gradur, Heuss L'enfoiré",2020-01,16
1280,"Black Eyed Peas, J Balvin",2019-12,16
1281,"Shawn Mendes, Camila Cabello",2020-01,16
1282,Bispo,2019-10,16
1283,"Loredana, Rymez",2020-03,16
1284,Ninho,2020-04,16
1285,"Pritam, Arijit Singh",2020-02,16
1286,Reino Nordin,2017-04,16
1287,Gazapizm,2020-03,16
1288,Oğuzhan Koç,2020-07,16
1289,"Will Ferrell, My Marianne",2020-07,16
1290,Edan 呂爵安,2021-07,16
1291,"Didomido, Eglo G",2020-09,16
1292,"KitschKrieg, Jamule, SFR",2020-08,16
1293,Lil Nas X,2020-12,16
1294,7ari,2020-10,16
1295,Abdullah Al Farwan,2020-10,16
1296,Mad Clip,2020-12,16
1297,"Kofs, Soso Maness, Elams, Jul, SCH, Naps, Solda, Houari, 13 Organisé",2020-08,16
1298,"Miriam Bryant, Yasin",2020-11,16
1299,"Maiyarap, MILLI",2020-10,16
1300,Bubbi Morthens,2021-03,16
1301,"Light, Hawk",2021-02,16
1302,Anatomy Rabbit,2021-02,16
1303,"DJ Ivis, Tarcísio do Acordeon",2021-02,16
1304,"Rochy RD, Myke Towers, Nicki Nicole",2021-02,16
1305,Aleyna Tilki,2017-09,16
1306,"Samey, Gleb, Natalia Hulejova",2021-10,16
1307,"Coldplay, BTS",2021-11,16
1308,"Static & Ben El, Netta",2021-09,16
1309,Sefo,2021-09,16
1310,Calin,2021-11,16
1311,"Logic, Alessia Cara, Khalid",2017-09,16
1312,"Rack, Saske",2021-08,16
1313,GAYLE,2021-12,16
1314,Floni,2017-12,16
1315,BNK48,2018-01,16
1316,Bich Phuong,2020-06,15
1317,IV Of Spades,2018-04,15
1318,"andrei, Killa Fonic, Nane, bbno$, Azteca",2020-06,15
1319,Ed Sheeran,2018-02,15
1320,ZAYN,2018-05,15
1321,IV Of Spades,2018-06,15
1322,"Alan Walker, Julie Bergan, K-391, SEUNGRI",2018-05,15
1323,"Alex Rose, Cazzu, Rauw Alejandro, Lenny Tavárez",2018-09,15
1324,Bonez MC,2020-06,15
1325,YOASOBI,2020-05,15
1326,The Weeknd,2018-03,15
1327,XXXTENTACION,2018-07,15
1328,Damso,2018-06,15
1329,Capital Bra,2018-05,15
1330,Calvin Harris,2018-07,15
1331,Dawid Podsiadło,2018-07,15
1332,Jolin Tsai,2019-01,15
1333,"Becky G, Prince Royce, DJ Luian, Mambo Kingz, Anuel AA",2018-12,15
1334,Bonez MC,2020-05,15
1335,Maluma,2019-04,15
1336,"Lord Siva, Vera",2019-04,15
1337,PNL,2019-05,15
1338,Samra,2019-04,15
1339,Juju,2019-05,15
1340,"Viktor Sheen, Nik Tendo, Calin, Hasan",2019-05,15
1341,nublu,2018-11,15
1342,Gilli,2019-05,15
1343,"Samra, Capital Bra",2019-06,15
1344,MERO,2019-06,15
1345,"Julinho Ksd, Yuran, Trista",2019-10,15
1346,Marília Mendonça,2019-08,15
1347,"Bedoes, Lanek",2019-11,15
1348,"Jay Chou, 阿信",2019-10,15
1349,Taylor Swift,2019-08,15
1350,"Đen, Phương Anh Đào",2019-12,15
1351,ATYPISK,2019-11,15
1352,"Murda, Ezhel",2020-03,15
1353,"Nerieš, Separ",2020-03,15
1354,Lewis Capaldi,2019-11,15
1355,Daði Freyr,2020-03,15
1356,Mata,2019-12,15
1357,"Nimo, Hava",2019-12,15
1358,"Quebonafide, Natalia Szroeder",2020-02,15
1359,Victor Leksell,2020-01,15
1360,Victor Leksell,2020-04,15
1361,Aron Can,2017-03,15
1362,"Ronnie Flex, Boef",2017-05,15
1363,Maluma,2017-04,15
1364,"French Montana, Swae Lee",2017-07,15
1365,El Papi,2020-08,15
1366,Bosh,2020-07,15
1367,"Benny Jamz, Gilli, KESI, B.O.C",2021-07,15
